,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,258871000.0,401110000.0,328392000.0,202349000.0
Repurchase Of Capital Stock,0.0,-48231000.0,-125000000.0,-49879000.0
Repayment Of Debt,0.0,0.0,-364695000.0,-619616000.0
Issuance Of Debt,0.0,0.0,246869000.0,0.0
Issuance Of Capital Stock,778000.0,3875000.0,3141000.0,167369000.0
Capital Expenditure,-5101000.0,-2855000.0,-9399000.0,-29573000.0
Interest Paid Supplemental Data,326983000.0,70662000.0,40669000.0,101045000.0
Income Tax Paid Supplemental Data,19496000.0,1625000.0,1343000.0,26103000.0
End Cash Position,378131000.0,319948000.0,802501000.0,493294000.0
Beginning Cash Position,319948000.0,802501000.0,493294000.0,436032000.0
Changes In Cash,58183000.0,-482553000.0,309207000.0,57262000.0
Financing Cash Flow,383416000.0,375182000.0,316858000.0,1743646000.0
Cash Flow From Continuing Financing Activities,383416000.0,375182000.0,316858000.0,1743646000.0
Net Other Financing Charges,,,-2580000.0,-2261000.0
Proceeds From Stock Option Exercised,-2494000.0,-3228000.0,-2580000.0,-2261000.0
Cash Dividends Paid,-103285000.0,-98767000.0,-96175000.0,-84518000.0
Preferred Stock Dividend Paid,,-11868000.0,-11868000.0,-5658000.0
Common Stock Dividend Paid,,-86899000.0,-84307000.0,-78860000.0
Net Preferred Stock Issuance,,0.0,0.0,166356000.0
Preferred Stock Issuance,,0.0,0.0,166356000.0
Net Common Stock Issuance,778000.0,-44356000.0,-121859000.0,-48866000.0
Common Stock Payments,0.0,-48231000.0,-125000000.0,-49879000.0
Common Stock Issuance,778000.0,3875000.0,3141000.0,1013000.0
Net Issuance Payments Of Debt,-398004000.0,1200967000.0,-350844000.0,-704981000.0
Net Short Term Debt Issuance,-398004000.0,1200967000.0,-233018000.0,-85365000.0
Net Long Term Debt Issuance,0.0,0.0,-117826000.0,-619616000.0
Long Term Debt Payments,0.0,0.0,-364695000.0,-619616000.0
Long Term Debt Issuance,0.0,0.0,246869000.0,0.0
Investing Cash Flow,-589205000.0,-1261700000.0,-345442000.0,-1918306000.0
Cash Flow From Continuing Investing Activities,-589205000.0,-1261700000.0,-345442000.0,-1918306000.0
Net Other Investing Changes,56815000.0,17447000.0,-83842000.0,9092000.0
Net Investment Purchase And Sale,551390000.0,-31449000.0,-1089770000.0,-504401000.0
Sale Of Investment,1098386000.0,406401000.0,562118000.0,660901000.0
Purchase Of Investment,-546996000.0,-437850000.0,-1651888000.0,-1165302000.0
Net Business Purchase And Sale,,,0.0,0.0
Sale Of Business,,,0.0,0.0
Purchase Of Business,,,0.0,0.0
Net PPE Purchase And Sale,-5101000.0,-2855000.0,-9399000.0,-29573000.0
Purchase Of PPE,-5101000.0,-2855000.0,-9399000.0,-29573000.0
Operating Cash Flow,263972000.0,403965000.0,337791000.0,231922000.0
Cash Flow From Continuing Operating Activities,263972000.0,403965000.0,337791000.0,231922000.0
Change In Working Capital,-26490000.0,69703000.0,-52381000.0,-34273000.0
Change In Other Current Liabilities,21861000.0,109205000.0,-135629000.0,103916000.0
Change In Other Current Assets,-48351000.0,-39502000.0,83248000.0,-138189000.0
Other Non Cash Items,-40123000.0,3804000.0,56380000.0,-58576000.0
Stock Based Compensation,11101000.0,10609000.0,10091000.0,9258000.0
Asset Impairment Charge,1930000.0,4903000.0,16958000.0,5526000.0
Deferred Tax,2171000.0,25055000.0,43512000.0,2690000.0
Deferred Income Tax,2171000.0,25055000.0,43512000.0,2690000.0
Depreciation Amortization Depletion,40958000.0,45432000.0,50732000.0,43106000.0
Depreciation And Amortization,40958000.0,45432000.0,50732000.0,43106000.0
Amortization Cash Flow,28045000.0,31275000.0,34847000.0,27888000.0
Amortization Of Intangibles,28045000.0,31275000.0,34847000.0,27888000.0
Depreciation,12913000.0,14157000.0,15885000.0,15218000.0
Operating Gains Losses,40989000.0,-9079000.0,9470000.0,18822000.0
Gain Loss On Investment Securities,40989000.0,3000.0,-5225000.0,-12294000.0
Gain Loss On Sale Of Business,0.0,-9082000.0,0.0,0.0
Net Income From Continuing Operations,201818000.0,234510000.0,263917000.0,158228000.0
