,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,34104830.0,32309899.0,30796692.0,29471614.0
Ordinary Shares Number,30506753.0,31688544.0,32498215.0,33017814.0
Share Issued,64611583.0,63998443.0,63294907.0,62489428.0
Total Debt,39282000.0,13720000.0,19530000.0,29814000.0
Tangible Book Value,149531000.0,150634000.0,165568000.0,173064000.0
Invested Capital,188112000.0,189760000.0,205498000.0,211055000.0
Working Capital,58464000.0,55473000.0,71610000.0,108883000.0
Net Tangible Assets,149531000.0,150634000.0,165568000.0,173064000.0
Capital Lease Obligations,39282000.0,13720000.0,19530000.0,28614000.0
Common Stock Equity,188112000.0,189760000.0,205498000.0,209855000.0
Total Capitalization,188112000.0,189760000.0,205498000.0,209855000.0
Total Equity Gross Minority Interest,188112000.0,189760000.0,205498000.0,209855000.0
Stockholders Equity,188112000.0,189760000.0,205498000.0,209855000.0
Gains Losses Not Affecting Retained Earnings,-3905000.0,-10953000.0,-223000.0,1772000.0
Other Equity Adjustments,-3905000.0,-10953000.0,-223000.0,1772000.0
Treasury Stock,236003000.0,217744000.0,179645000.0,137793000.0
Retained Earnings,20788000.0,23407000.0,6493000.0,-16393000.0
Additional Paid In Capital,407122000.0,394941000.0,378766000.0,362164000.0
Capital Stock,110000.0,109000.0,107000.0,105000.0
Common Stock,110000.0,109000.0,107000.0,105000.0
Total Liabilities Net Minority Interest,149405000.0,134071000.0,143866000.0,148268000.0
Total Non Current Liabilities Net Minority Interest,65208000.0,39614000.0,47923000.0,53509000.0
Other Non Current Liabilities,17142000.0,16308000.0,,
Employee Benefits,16662000.0,17755000.0,22895000.0,21830000.0
Non Current Pension And Other Postretirement Benefit Plans,16662000.0,17755000.0,22895000.0,21830000.0
Non Current Deferred Liabilities,,16308000.0,13637000.0,12243000.0
Non Current Deferred Revenue,,16308000.0,13637000.0,12243000.0
Long Term Debt And Capital Lease Obligation,31404000.0,5551000.0,11391000.0,19436000.0
Long Term Capital Lease Obligation,31404000.0,5551000.0,11391000.0,19436000.0
Current Liabilities,84197000.0,94457000.0,95943000.0,94759000.0
Other Current Liabilities,461000.0,5150000.0,,11684000.0
Current Deferred Liabilities,38820000.0,36634000.0,41591000.0,37182000.0
Current Deferred Revenue,38820000.0,36634000.0,41591000.0,37182000.0
Current Debt And Capital Lease Obligation,7878000.0,8169000.0,8139000.0,10378000.0
Current Capital Lease Obligation,7878000.0,8169000.0,8139000.0,9178000.0
Current Debt,,,,1200000.0
Other Current Borrowings,,,,1200000.0
Pensionand Other Post Retirement Benefit Plans Current,16715000.0,17999000.0,21000000.0,16930000.0
Current Provisions,2137000.0,2704000.0,3509000.0,2962000.0
Payables And Accrued Expenses,18186000.0,23801000.0,21704000.0,15623000.0
Current Accrued Expenses,8356000.0,9657000.0,9615000.0,7164000.0
Payables,9830000.0,14144000.0,12089000.0,8459000.0
Other Payable,2274000.0,2806000.0,4226000.0,1475000.0
Accounts Payable,7556000.0,11338000.0,7863000.0,6984000.0
Total Assets,337517000.0,323831000.0,349364000.0,358123000.0
Total Non Current Assets,194856000.0,173901000.0,181811000.0,154481000.0
Other Non Current Assets,,,94000.0,94000.0
Defined Pension Benefit,17202000.0,17933000.0,22724000.0,20597000.0
Non Current Deferred Assets,6208000.0,9073000.0,8905000.0,12081000.0
Non Current Deferred Taxes Assets,6208000.0,9073000.0,8905000.0,12081000.0
Non Current Accounts Receivable,16798000.0,13099000.0,,
Investments And Advances,68462000.0,77188000.0,89307000.0,54895000.0
Investmentin Financial Assets,68462000.0,77188000.0,89307000.0,54895000.0
Available For Sale Securities,68462000.0,77188000.0,89307000.0,54895000.0
Goodwill And Other Intangible Assets,38581000.0,39126000.0,39930000.0,36791000.0
Other Intangible Assets,1021000.0,1566000.0,2370000.0,569000.0
Goodwill,37560000.0,37560000.0,37560000.0,36222000.0
Net PPE,47605000.0,17482000.0,20851000.0,30023000.0
Accumulated Depreciation,-20522000.0,-38108000.0,-35929000.0,-34240000.0
Gross PPE,68127000.0,55590000.0,56780000.0,64263000.0
Leases,8748000.0,3375000.0,3184000.0,3213000.0
Other Properties,36712000.0,13517000.0,16457000.0,25430000.0
Machinery Furniture Equipment,22667000.0,38698000.0,37139000.0,35620000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,142661000.0,149930000.0,167553000.0,203642000.0
Restricted Cash,,0.0,5100000.0,5100000.0
Inventory,43959000.0,36377000.0,23988000.0,29193000.0
Finished Goods,25217000.0,21836000.0,8725000.0,15817000.0
Raw Materials,18742000.0,14541000.0,15263000.0,13376000.0
Receivables,60506000.0,66430000.0,58153000.0,43149000.0
Other Receivables,9381000.0,10006000.0,9197000.0,8631000.0
Accounts Receivable,51125000.0,56424000.0,48956000.0,34518000.0
Allowance For Doubtful Accounts Receivable,-505000.0,-463000.0,-233000.0,-548000.0
Gross Accounts Receivable,51630000.0,56887000.0,49189000.0,35066000.0
Cash Cash Equivalents And Short Term Investments,38196000.0,47123000.0,80312000.0,126200000.0
Other Short Term Investments,7650000.0,22588000.0,889000.0,85266000.0
Cash And Cash Equivalents,30546000.0,24535000.0,79423000.0,40934000.0
