,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,59141.664347,377308.954744,-45357.277978,-502175.948918
Tax Rate For Calcs,0.38909,0.167247,0.148712,0.256474
Normalized EBITDA,18381000.0,35236000.0,43005000.0,41530000.0
Total Unusual Items,152000.0,2256000.0,-305000.0,-1958000.0
Total Unusual Items Excluding Goodwill,152000.0,2256000.0,-305000.0,-1958000.0
Net Income From Continuing Operation Net Minority Interest,8780000.0,28466000.0,33751000.0,27248000.0
Reconciled Depreciation,2596000.0,2984000.0,2432000.0,2268000.0
Reconciled Cost Of Revenue,86034000.0,96315000.0,78029000.0,70958000.0
EBITDA,18533000.0,37492000.0,42700000.0,39572000.0
EBIT,15937000.0,34508000.0,40268000.0,37304000.0
Net Interest Income,1144000.0,2121000.0,1815000.0,427000.0
Interest Expense,1565000.0,325000.0,621000.0,657000.0
Interest Income,3036000.0,2804000.0,2656000.0,1252000.0
Normalized Income,8687141.664347,26587308.954744,34010642.722022,28703824.051082
Net Income From Continuing And Discontinued Operation,8780000.0,28466000.0,33751000.0,27248000.0
Total Expenses,229959000.0,243774000.0,209396000.0,182424000.0
Total Operating Income As Reported,14424000.0,31319000.0,39524000.0,38350000.0
Diluted Average Shares,31579000.0,32500000.0,33846000.0,32916000.0
Basic Average Shares,31401000.0,31849000.0,32703000.0,31440000.0
Diluted EPS,0.28,0.88,1.0,0.83
Basic EPS,0.28,0.89,1.03,0.87
Diluted NI Availto Com Stockholders,8780000.0,28466000.0,33751000.0,27248000.0
Net Income Common Stockholders,8780000.0,28466000.0,33751000.0,27248000.0
Net Income,8780000.0,28466000.0,33751000.0,27248000.0
Net Income Including Noncontrolling Interests,8780000.0,28466000.0,33751000.0,27248000.0
Net Income Continuous Operations,8780000.0,28466000.0,33751000.0,27248000.0
Tax Provision,5592000.0,5717000.0,5896000.0,9399000.0
Pretax Income,14372000.0,34183000.0,39647000.0,36647000.0
Other Income Expense,-1196000.0,743000.0,-1692000.0,-2130000.0
Securities Amortization,1348000.0,1513000.0,1387000.0,172000.0
Gain On Sale Of Security,152000.0,2256000.0,-305000.0,-1958000.0
Net Non Operating Interest Income Expense,1144000.0,2121000.0,1815000.0,427000.0
Total Other Finance Cost,327000.0,358000.0,220000.0,168000.0
Interest Expense Non Operating,1565000.0,325000.0,621000.0,657000.0
Interest Income Non Operating,3036000.0,2804000.0,2656000.0,1252000.0
Operating Income,14424000.0,31319000.0,39524000.0,38350000.0
Operating Expense,143925000.0,147459000.0,131367000.0,111466000.0
Research And Development,57169000.0,59842000.0,53396000.0,46072000.0
Selling General And Administration,86756000.0,87617000.0,77971000.0,65394000.0
Selling And Marketing Expense,70243000.0,70123000.0,62057000.0,51217000.0
General And Administrative Expense,16513000.0,17494000.0,15914000.0,14177000.0
Other Gand A,16513000.0,17494000.0,15914000.0,14177000.0
Gross Profit,158349000.0,178778000.0,170891000.0,149816000.0
Cost Of Revenue,86034000.0,96315000.0,78029000.0,70958000.0
Total Revenue,244383000.0,275093000.0,248920000.0,220774000.0
Operating Revenue,244383000.0,275093000.0,248920000.0,220774000.0
