,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.21,0.27,0.001
Normalized EBITDA,-63047000.0,-103646000.0,-177445000.0,-102919000.0
Net Income From Continuing Operation Net Minority Interest,-78020000.0,-108180000.0,-180966000.0,-102680000.0
Reconciled Depreciation,11647000.0,2706000.0,2761000.0,1371000.0
Reconciled Cost Of Revenue,14148000.0,5664000.0,1091000.0,0.0
EBITDA,-63047000.0,-103646000.0,-177445000.0,-102919000.0
EBIT,-74694000.0,-106352000.0,-180206000.0,-104290000.0
Net Interest Income,14222000.0,5118000.0,529000.0,1516000.0
Interest Expense,2775000.0,0.0,0.0,
Interest Income,16997000.0,5118000.0,529000.0,1516000.0
Normalized Income,-78020000.0,-108180000.0,-180966000.0,-102680000.0
Net Income From Continuing And Discontinued Operation,-78020000.0,-108180000.0,-180966000.0,-102680000.0
Total Expenses,267204000.0,245500000.0,226340000.0,154408000.0
Total Operating Income As Reported,-91691000.0,-111470000.0,-180735000.0,-104290000.0
Diluted Average Shares,143236000.0,141915000.0,129369000.0,118473000.0
Basic Average Shares,143236000.0,141915000.0,129369000.0,118473000.0
Diluted EPS,-0.54,-0.76,-1.4,-0.87
Basic EPS,-0.54,-0.76,-1.4,-0.87
Diluted NI Availto Com Stockholders,-78020000.0,-108180000.0,-180966000.0,-102680000.0
Net Income Common Stockholders,-78020000.0,-108180000.0,-180966000.0,-102680000.0
Net Income,-78020000.0,-108180000.0,-180966000.0,-102680000.0
Net Income Including Noncontrolling Interests,-78020000.0,-108180000.0,-180966000.0,-102680000.0
Net Income Continuous Operations,-78020000.0,-108180000.0,-180966000.0,-102680000.0
Tax Provision,551000.0,1828000.0,760000.0,-94000.0
Pretax Income,-77469000.0,-106352000.0,-180206000.0,-102774000.0
Other Income Expense,,,,-6809000.0
Other Non Operating Income Expenses,,,,-6809000.0
Net Non Operating Interest Income Expense,14222000.0,5118000.0,529000.0,1516000.0
Interest Expense Non Operating,2775000.0,0.0,0.0,
Interest Income Non Operating,16997000.0,5118000.0,529000.0,1516000.0
Operating Income,-91691000.0,-111470000.0,-180735000.0,-104290000.0
Operating Expense,253056000.0,239836000.0,225249000.0,154408000.0
Other Operating Expenses,8379000.0,-1523000.0,574000.0,6809000.0
Depreciation Amortization Depletion Income Statement,,,2098000.0,1289000.0
Depreciation And Amortization In Income Statement,,,2098000.0,1289000.0
Amortization,,,2098000.0,1289000.0
Amortization Of Intangibles Income Statement,,,2098000.0,1289000.0
Research And Development,49641000.0,44988000.0,51139000.0,50327000.0
Selling General And Administration,195036000.0,196371000.0,173536000.0,97272000.0
General And Administrative Expense,195036000.0,196371000.0,173536000.0,97272000.0
Other Gand A,75757000.0,85804000.0,173536000.0,97272000.0
Salaries And Wages,119279000.0,110567000.0,105423000.0,53752000.0
Gross Profit,161365000.0,128366000.0,44514000.0,50118000.0
Cost Of Revenue,14148000.0,5664000.0,1091000.0,0.0
Total Revenue,175513000.0,134030000.0,45605000.0,50118000.0
Operating Revenue,175513000.0,134030000.0,45605000.0,50118000.0
