,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-64556000.0,-55695000.0,-34535000.0,-25092000.0
Repurchase Of Capital Stock,,,,0.0
Repayment Of Debt,,,,-34000.0
Issuance Of Capital Stock,95786000.0,95199000.0,165925000.0,9907000.0
Capital Expenditure,-709000.0,-1094000.0,-2125000.0,-771000.0
End Cash Position,41850000.0,122370000.0,149211000.0,17487000.0
Beginning Cash Position,122370000.0,149211000.0,17487000.0,32543000.0
Changes In Cash,-80520000.0,-26841000.0,131724000.0,-15056000.0
Financing Cash Flow,97290000.0,95629000.0,166259000.0,10036000.0
Cash Flow From Continuing Financing Activities,97290000.0,95629000.0,166259000.0,10036000.0
Net Other Financing Charges,,,-15000.0,-34000.0
Proceeds From Stock Option Exercised,1504000.0,430000.0,349000.0,163000.0
Net Preferred Stock Issuance,92616000.0,86650000.0,87228000.0,9907000.0
Preferred Stock Payments,,,,0.0
Preferred Stock Issuance,92616000.0,86650000.0,87228000.0,9907000.0
Net Common Stock Issuance,3170000.0,8549000.0,78697000.0,0.0
Common Stock Issuance,3170000.0,8549000.0,78697000.0,0.0
Net Issuance Payments Of Debt,,,,-34000.0
Net Long Term Debt Issuance,,,,-34000.0
Long Term Debt Payments,,,,-34000.0
Investing Cash Flow,-113963000.0,-67869000.0,-2125000.0,-771000.0
Cash Flow From Continuing Investing Activities,-113963000.0,-67869000.0,-2125000.0,-771000.0
Net Investment Purchase And Sale,-113254000.0,-66775000.0,0.0,
Sale Of Investment,120397000.0,53009000.0,0.0,
Purchase Of Investment,-233651000.0,-119784000.0,0.0,
Net PPE Purchase And Sale,-709000.0,-1094000.0,-2125000.0,-771000.0
Purchase Of PPE,-709000.0,-1094000.0,-2125000.0,-771000.0
Operating Cash Flow,-63847000.0,-54601000.0,-32410000.0,-24321000.0
Cash Flow From Continuing Operating Activities,-63847000.0,-54601000.0,-32410000.0,-24321000.0
Change In Working Capital,4441000.0,-3846000.0,-315000.0,-3679000.0
Change In Other Current Liabilities,-1322000.0,-744000.0,,
Change In Other Current Assets,-86000.0,-423000.0,0.0,
Change In Payables And Accrued Expense,2270000.0,574000.0,3260000.0,-3514000.0
Change In Accrued Expense,3310000.0,234000.0,2206000.0,-1793000.0
Change In Payable,-1040000.0,340000.0,1054000.0,-1721000.0
Change In Account Payable,-1040000.0,340000.0,1054000.0,-1721000.0
Change In Prepaid Assets,3579000.0,-3253000.0,-3575000.0,-165000.0
Other Non Cash Items,1837000.0,968000.0,15000.0,-3000.0
Stock Based Compensation,8772000.0,6412000.0,2307000.0,736000.0
Amortization Of Securities,-3992000.0,-527000.0,0.0,
Depreciation Amortization Depletion,1295000.0,1177000.0,831000.0,831000.0
Depreciation And Amortization,1295000.0,1177000.0,831000.0,831000.0
Depreciation,1295000.0,1177000.0,831000.0,831000.0
Operating Gains Losses,208000.0,-22000.0,3000.0,-3000.0
Gain Loss On Investment Securities,,,11000.0,-3000.0
Gain Loss On Sale Of PPE,208000.0,-22000.0,3000.0,0.0
Net Income From Continuing Operations,-76408000.0,-58763000.0,-35251000.0,-22206000.0
