,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,13878000.0,-60415000.0,-27300000.0,101381000.0
Repayment Of Debt,-74683000.0,-54551000.0,-1312940000.0,-57961000.0
Issuance Of Debt,70000000.0,114700000.0,1474531000.0,194651000.0
Issuance Of Capital Stock,,0.0,477688000.0,50000000.0
Capital Expenditure,-8794000.0,-12013000.0,-15950000.0,-15237000.0
Interest Paid Supplemental Data,137854000.0,102532000.0,58959000.0,73051000.0
Income Tax Paid Supplemental Data,1137000.0,1586000.0,5279000.0,2171000.0
End Cash Position,43942000.0,19217000.0,30490000.0,137345000.0
Beginning Cash Position,19217000.0,30490000.0,137345000.0,3327000.0
Changes In Cash,24725000.0,-11273000.0,-106855000.0,134018000.0
Financing Cash Flow,10847000.0,62420000.0,586326000.0,210944000.0
Cash Flow From Continuing Financing Activities,10847000.0,62420000.0,586326000.0,210944000.0
Net Other Financing Charges,14585000.0,-1744000.0,-56246000.0,24254000.0
Proceeds From Stock Option Exercised,945000.0,4015000.0,3293000.0,0.0
Net Common Stock Issuance,,0.0,477688000.0,50000000.0
Common Stock Issuance,,0.0,477688000.0,50000000.0
Net Issuance Payments Of Debt,-4683000.0,60149000.0,161591000.0,136690000.0
Net Short Term Debt Issuance,15000000.0,20000000.0,120000000.0,0.0
Short Term Debt Payments,-35000000.0,-20000000.0,-30000000.0,0.0
Short Term Debt Issuance,50000000.0,40000000.0,150000000.0,0.0
Net Long Term Debt Issuance,-19683000.0,40149000.0,41591000.0,136690000.0
Long Term Debt Payments,-39683000.0,-34551000.0,-1282940000.0,-57961000.0
Long Term Debt Issuance,20000000.0,74700000.0,1324531000.0,194651000.0
Investing Cash Flow,-8794000.0,-25291000.0,-681831000.0,-193544000.0
Cash Flow From Continuing Investing Activities,-8794000.0,-25291000.0,-681831000.0,-193544000.0
Net Other Investing Changes,-2678000.0,,,
Net Investment Purchase And Sale,0.0,-11725000.0,1034000.0,0.0
Sale Of Investment,,0.0,1887000.0,0.0
Purchase Of Investment,0.0,-11725000.0,-853000.0,0.0
Net Business Purchase And Sale,0.0,-1553000.0,-666915000.0,-178307000.0
Sale Of Business,0.0,460000.0,0.0,
Purchase Of Business,0.0,-2013000.0,-666915000.0,-178307000.0
Net Intangibles Purchase And Sale,-2678000.0,0.0,,
Purchase Of Intangibles,-2678000.0,0.0,,
Net PPE Purchase And Sale,-6116000.0,-12013000.0,-15950000.0,-15237000.0
Purchase Of PPE,-6116000.0,-12013000.0,-15950000.0,-15237000.0
Operating Cash Flow,22672000.0,-48402000.0,-11350000.0,116618000.0
Cash Flow From Continuing Operating Activities,22672000.0,-48402000.0,-11350000.0,116618000.0
Change In Working Capital,-23396000.0,-42223000.0,-71328000.0,56536000.0
Change In Other Working Capital,-1793000.0,-7369000.0,-23764000.0,51304000.0
Change In Other Current Liabilities,-6021000.0,-24630000.0,-24336000.0,-6792000.0
Change In Other Current Assets,-16653000.0,-1708000.0,4475000.0,-4280000.0
Change In Payables And Accrued Expense,9404000.0,-14654000.0,-25724000.0,4480000.0
Change In Accrued Expense,23324000.0,-10729000.0,-14026000.0,11291000.0
Change In Interest Payable,,,,2398000.0
Change In Payable,-13920000.0,-3925000.0,-11698000.0,-6811000.0
Change In Account Payable,-13920000.0,-3925000.0,-11698000.0,-6811000.0
Change In Prepaid Assets,6988000.0,9365000.0,6829000.0,3261000.0
Change In Receivables,-15321000.0,-3227000.0,-8808000.0,8563000.0
Changes In Account Receivables,-15321000.0,-3227000.0,-8808000.0,8563000.0
Other Non Cash Items,106000.0,7780000.0,8698000.0,7534000.0
Stock Based Compensation,13157000.0,15893000.0,14425000.0,3275000.0
Provisionand Write Offof Assets,,,,3275000.0
Asset Impairment Charge,105136000.0,675346000.0,117702000.0,75727000.0
Deferred Tax,1015000.0,-115000.0,1313000.0,-6425000.0
Deferred Income Tax,1015000.0,-115000.0,1313000.0,-6425000.0
Depreciation Amortization Depletion,30098000.0,38816000.0,35389000.0,30224000.0
Depreciation And Amortization,30098000.0,38816000.0,35389000.0,30224000.0
Depreciation,30098000.0,38816000.0,35389000.0,30224000.0
Operating Gains Losses,31080000.0,-81865000.0,-505000.0,6797000.0
Gain Loss On Investment Securities,28273000.0,-85367000.0,-14317000.0,4881000.0
Gain Loss On Sale Of PPE,2807000.0,3502000.0,110000.0,1843000.0
Gain Loss On Sale Of Business,,,0.0,0.0
Net Income From Continuing Operations,-134524000.0,-662034000.0,-117044000.0,-57050000.0
