,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,23743475754.0,23743475754.0,22281017159.0,22281017159.0
Share Issued,23743475754.0,23743475754.0,22281017159.0,22281017159.0
Net Debt,48164087000000.0,56220893000000.0,37658293000000.0,24678947000000.0
Total Debt,65541339000000.0,72116775000000.0,73282326000000.0,58624766000000.0
Tangible Book Value,-1359244000000.0,-1064111000000.0,1542935000000.0,2132247000000.0
Invested Capital,82324011000000.0,88583745000000.0,96295979000000.0,79282064000000.0
Net Tangible Assets,-1359244000000.0,-1064111000000.0,1542935000000.0,2132247000000.0
Common Stock Equity,16782672000000.0,16466970000000.0,23013653000000.0,20657298000000.0
Total Capitalization,82324011000000.0,88583745000000.0,96295979000000.0,79282064000000.0
Total Equity Gross Minority Interest,31520416000000.0,30821659000000.0,39471647000000.0,35439557000000.0
Minority Interest,14737744000000.0,14354689000000.0,16457994000000.0,14782259000000.0
Stockholders Equity,16782672000000.0,16466970000000.0,23013653000000.0,20657298000000.0
Gains Losses Not Affecting Retained Earnings,-544219000000.0,-1146565000000.0,1117182000000.0,862013000000.0
Other Equity Adjustments,-544219000000.0,-1146565000000.0,1117182000000.0,862013000000.0
Retained Earnings,7731773000000.0,8018417000000.0,13383391000000.0,11302134000000.0
Additional Paid In Capital,9571374000000.0,9571374000000.0,8490799000000.0,8470870000000.0
Capital Stock,23744000000.0,23744000000.0,22281000000.0,22281000000.0
Common Stock,23744000000.0,23744000000.0,22281000000.0,22281000000.0
Total Liabilities Net Minority Interest,269661180000000.0,264769577000000.0,327432278000000.0,287456313000000.0
Derivative Product Liabilities,2371927000000.0,1761174000000.0,1105723000000.0,1509201000000.0
Employee Benefits,907808000000.0,890019000000.0,1163076000000.0,1201855000000.0
Non Current Deferred Liabilities,6076940000000.0,5578358000000.0,4880533000000.0,3763074000000.0
Non Current Deferred Revenue,530300000000.0,515688000000.0,548167000000.0,581100000000.0
Non Current Deferred Taxes Liabilities,5546640000000.0,5062670000000.0,4332366000000.0,3181974000000.0
Long Term Debt And Capital Lease Obligation,65541339000000.0,72116775000000.0,73282326000000.0,58624766000000.0
Long Term Debt,65541339000000.0,72116775000000.0,73282326000000.0,58624766000000.0
Long Term Provisions,1083283000000.0,1227171000000.0,1150261000000.0,912850000000.0
Current Debt And Capital Lease Obligation,,,806066000000.0,864499000000.0
Current Debt,,,806066000000.0,864499000000.0
Commercial Paper,,,806066000000.0,864499000000.0
Payables And Accrued Expenses,5218463000000.0,4088786000000.0,5063866000000.0,4340249000000.0
Payables,5218463000000.0,4088786000000.0,5063866000000.0,4340249000000.0
Other Payable,117371000000.0,111081000000.0,150282000000.0,105396000000.0
Dividends Payable,527984000000.0,220815000000.0,598534000000.0,648874000000.0
Total Tax Payable,1098931000000.0,953154000000.0,1086755000000.0,921898000000.0
Income Tax Payable,1098931000000.0,953154000000.0,1086755000000.0,921898000000.0
Accounts Payable,3474177000000.0,2803736000000.0,3228295000000.0,2664081000000.0
Total Assets,301181596000000.0,295591236000000.0,366903925000000.0,322895870000000.0
Investments And Advances,49089930000000.0,44897822000000.0,55661063000000.0,46996018000000.0
Available For Sale Securities,34425693000000.0,33674477000000.0,44664373000000.0,36061764000000.0
Trading Securities,13373554000000.0,9800002000000.0,9823861000000.0,9904932000000.0
Long Term Equity Investment,1290683000000.0,1423343000000.0,1172829000000.0,1029322000000.0
Goodwill And Other Intangible Assets,18141916000000.0,17531081000000.0,21470718000000.0,18525051000000.0
Other Intangible Assets,15939694000000.0,15282864000000.0,12984158000000.0,10811234000000.0
Goodwill,2202222000000.0,2248217000000.0,8486560000000.0,7713817000000.0
Net PPE,5858749000000.0,6141848000000.0,8092632000000.0,8042721000000.0
Accumulated Depreciation,-3634656000000.0,-3511294000000.0,-5180730000000.0,-4413498000000.0
Gross PPE,9493405000000.0,9653142000000.0,13273362000000.0,12456219000000.0
Leases,202886000000.0,198725000000.0,483602000000.0,464407000000.0
Construction In Progress,149480000000.0,143250000000.0,221217000000.0,150335000000.0
Other Properties,817622000000.0,818298000000.0,2407725000000.0,767668000000.0
Machinery Furniture Equipment,4183950000000.0,4006690000000.0,3872496000000.0,5051703000000.0
Buildings And Improvements,3331481000000.0,3562475000000.0,5108418000000.0,4872520000000.0
Land And Improvements,807986000000.0,923704000000.0,1179904000000.0,1149586000000.0
Prepaid Assets,,,765561000000.0,590390000000.0
Receivables,28214062000000.0,25163231000000.0,19869613000000.0,15342133000000.0
Other Receivables,28214062000000.0,25163231000000.0,19869613000000.0,13066183000000.0
Accounts Receivable,,,2219197000000.0,2275950000000.0
Cash And Cash Equivalents,17377252000000.0,15895882000000.0,35624033000000.0,33945819000000.0
Cash Equivalents,1623075000000.0,629687000000.0,1708035000000.0,1389896000000.0
Cash Financial,3809112000000.0,3766861000000.0,6376462000000.0,6338009000000.0
Cash Cash Equivalents And Federal Funds Sold,18597861000000.0,17032857000000.0,36642829000000.0,34025535000000.0
