,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.0,0.0
Normalized EBITDA,-74590000.0,-36906000.0
Net Income From Continuing Operation Net Minority Interest,-69333000.0,-36906000.0
EBITDA,-74590000.0,-36906000.0
EBIT,-74590000.0,-36906000.0
Net Interest Income,5257000.0,0.0
Interest Income,5257000.0,0.0
Normalized Income,-69333000.0,-36906000.0
Net Income From Continuing And Discontinued Operation,-69333000.0,-36906000.0
Total Expenses,74590000.0,36906000.0
Total Operating Income As Reported,-74590000.0,-36906000.0
Diluted Average Shares,31956657.0,31956657.0
Basic Average Shares,31956657.0,31956657.0
Diluted EPS,-2.169595,-1.154877
Basic EPS,-2.169595,-1.154877
Diluted NI Availto Com Stockholders,-69333000.0,-36906000.0
Net Income Common Stockholders,-69333000.0,-36906000.0
Net Income,-69333000.0,-36906000.0
Net Income Including Noncontrolling Interests,-69333000.0,-36906000.0
Net Income Continuous Operations,-69333000.0,-36906000.0
Pretax Income,-69333000.0,-36906000.0
Net Non Operating Interest Income Expense,5257000.0,0.0
Interest Income Non Operating,5257000.0,0.0
Operating Income,-74590000.0,-36906000.0
Operating Expense,74590000.0,36906000.0
Research And Development,64884000.0,30433000.0
Selling General And Administration,9706000.0,6473000.0
General And Administrative Expense,9706000.0,6473000.0
Other Gand A,9706000.0,6473000.0
Total Revenue,0.0,0.0
Operating Revenue,0.0,0.0
