,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-39126.0,-815010.0,406840.25981,11126430.0
Tax Rate For Calcs,0.003,0.21,0.1698,0.27
Normalized EBITDA,-136083000.0,-93723000.0,-84784000.0,-31607000.0
Total Unusual Items,-13042000.0,-3881000.0,2396000.0,41209000.0
Total Unusual Items Excluding Goodwill,-13042000.0,-3881000.0,2396000.0,41209000.0
Net Income From Continuing Operation Net Minority Interest,-160276000.0,-137464000.0,-77329000.0,7028000.0
Reconciled Depreciation,1766000.0,1493000.0,815000.0,1690000.0
Reconciled Cost Of Revenue,846000.0,0.0,0.0,4458000.0
EBITDA,-149125000.0,-97604000.0,-82388000.0,9602000.0
EBIT,-150891000.0,-99097000.0,-83203000.0,7912000.0
Net Interest Income,-9886000.0,-12342000.0,-9942000.0,-12994000.0
Interest Expense,9886000.0,12342000.0,9942000.0,12994000.0
Normalized Income,-147273126.0,-134398010.0,-79318159.74019,-23054570.0
Net Income From Continuing And Discontinued Operation,-160276000.0,-137464000.0,-77329000.0,7028000.0
Total Expenses,165812000.0,95216000.0,85599000.0,58995000.0
Total Operating Income As Reported,-137849000.0,-98561000.0,-85546000.0,5815000.0
Diluted Average Shares,80174000.0,60094000.0,58535000.0,54941000.0
Basic Average Shares,80174000.0,60094000.0,58535000.0,52996000.0
Diluted EPS,-2.0,-2.29,-1.32,0.13
Basic EPS,-2.0,-2.29,-1.32,0.13
Diluted NI Availto Com Stockholders,-160276000.0,-137464000.0,-77329000.0,7028000.0
Net Income Common Stockholders,-160276000.0,-137464000.0,-77329000.0,7028000.0
Net Income,-160276000.0,-137464000.0,-77329000.0,7028000.0
Net Income Including Noncontrolling Interests,-160276000.0,-137464000.0,-77329000.0,7028000.0
Net Income Continuous Operations,-160276000.0,-137464000.0,-77329000.0,7028000.0
Tax Provision,-501000.0,26025000.0,-15816000.0,-12110000.0
Pretax Income,-160777000.0,-111439000.0,-93145000.0,-5082000.0
Other Income Expense,-13042000.0,-3881000.0,2396000.0,44573000.0
Other Non Operating Income Expenses,,,217000.0,3364000.0
Special Income Charges,-13129000.0,-3345000.0,53000.0,42041000.0
Gain On Sale Of Business,,,0.0,45760000.0
Other Special Charges,13129000.0,,,
Impairment Of Capital Assets,,,,0.0
Restructuring And Mergern Acquisition,0.0,3345000.0,-53000.0,3719000.0
Gain On Sale Of Security,87000.0,-536000.0,2343000.0,-832000.0
Net Non Operating Interest Income Expense,-9886000.0,-12342000.0,-9942000.0,-12994000.0
Interest Expense Non Operating,9886000.0,12342000.0,9942000.0,12994000.0
Operating Income,-137849000.0,-95216000.0,-85599000.0,-36661000.0
Operating Expense,164966000.0,95216000.0,85599000.0,53253000.0
Depreciation Amortization Depletion Income Statement,,,0.0,406000.0
Depreciation And Amortization In Income Statement,,,0.0,406000.0
Amortization,,,0.0,406000.0
Amortization Of Intangibles Income Statement,,,0.0,406000.0
Research And Development,13261000.0,20700000.0,17104000.0,20442000.0
Selling General And Administration,151705000.0,74516000.0,68495000.0,32405000.0
Gross Profit,27117000.0,0.0,0.0,16592000.0
Cost Of Revenue,846000.0,0.0,0.0,5742000.0
Total Revenue,27963000.0,0.0,0.0,22334000.0
Operating Revenue,27963000.0,0.0,0.0,22334000.0
