,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-9853000.0,-56505000.0,-86993000.0,-56178000.0
Repurchase Of Capital Stock,0.0,0.0,-169000000.0,-195743000.0
Repayment Of Debt,-6946000.0,-112034000.0,-2139000.0,-2582000.0
Issuance Of Debt,0.0,67367000.0,3471000.0,4472000.0
Issuance Of Capital Stock,1570000.0,1448000.0,630801000.0,322288000.0
Capital Expenditure,-18304000.0,-27804000.0,-18326000.0,-12049000.0
Interest Paid Supplemental Data,12367000.0,18654000.0,17870000.0,17985000.0
End Cash Position,1985630000.0,1634387000.0,1805163000.0,390078000.0
Beginning Cash Position,1634387000.0,1805163000.0,390078000.0,276973000.0
Changes In Cash,351243000.0,-170776000.0,1415085000.0,113105000.0
Financing Cash Flow,290846000.0,-1727000.0,1567859000.0,193794000.0
Cash Flow From Continuing Financing Activities,290846000.0,-1727000.0,1567859000.0,193794000.0
Net Other Financing Charges,293989000.0,39922000.0,1104726000.0,65359000.0
Proceeds From Stock Option Exercised,2233000.0,1570000.0,0.0,0.0
Net Preferred Stock Issuance,0.0,0.0,-169000000.0,275308000.0
Preferred Stock Payments,0.0,0.0,-169000000.0,-46980000.0
Preferred Stock Issuance,,1448000.0,2820000.0,322288000.0
Net Common Stock Issuance,1570000.0,1448000.0,630801000.0,-148763000.0
Common Stock Payments,,0.0,0.0,-148763000.0
Common Stock Issuance,1570000.0,1448000.0,630801000.0,0.0
Net Issuance Payments Of Debt,-6946000.0,-44667000.0,1332000.0,1890000.0
Net Long Term Debt Issuance,-6946000.0,-44667000.0,1332000.0,1890000.0
Long Term Debt Payments,-6946000.0,-112034000.0,-2139000.0,-2582000.0
Long Term Debt Issuance,0.0,67367000.0,3471000.0,4472000.0
Investing Cash Flow,51946000.0,-140348000.0,-84107000.0,-36560000.0
Cash Flow From Continuing Investing Activities,51946000.0,-140348000.0,-84107000.0,-36560000.0
Net Other Investing Changes,-1416000.0,-2899000.0,-4355000.0,-4707000.0
Net Investment Purchase And Sale,71666000.0,-108878000.0,0.0,0.0
Sale Of Investment,345661000.0,276144000.0,0.0,0.0
Purchase Of Investment,-273995000.0,-385022000.0,0.0,0.0
Net Investment Properties Purchase And Sale,0.0,-767000.0,-14050000.0,25000.0
Sale Of Investment Properties,,,,25000.0
Purchase Of Investment Properties,0.0,-767000.0,-14050000.0,
Net Business Purchase And Sale,0.0,0.0,-47381000.0,-19829000.0
Purchase Of Business,0.0,0.0,-47381000.0,-19829000.0
Net Intangibles Purchase And Sale,-16050000.0,-24655000.0,-16931000.0,-11346000.0
Purchase Of Intangibles,-16050000.0,-24655000.0,-16931000.0,-11346000.0
Net PPE Purchase And Sale,-2254000.0,-3149000.0,-1390000.0,-703000.0
Sale Of PPE,0.0,0.0,5000.0,0.0
Purchase Of PPE,-2254000.0,-3149000.0,-1395000.0,-703000.0
Operating Cash Flow,8451000.0,-28701000.0,-68667000.0,-44129000.0
Cash Flow From Continuing Operating Activities,8451000.0,-28701000.0,-68667000.0,-44129000.0
Change In Working Capital,-22170000.0,-3231000.0,-2438000.0,15606000.0
Change In Other Working Capital,-1335000.0,-338000.0,17758000.0,-2587000.0
Change In Other Current Liabilities,-523000.0,-224000.0,-540000.0,-978000.0
Change In Other Current Assets,1605000.0,-707000.0,-2367000.0,359000.0
Change In Payables And Accrued Expense,-14119000.0,10651000.0,-10817000.0,25768000.0
Change In Accrued Expense,-16981000.0,14036000.0,1560000.0,11619000.0
Change In Payable,2862000.0,-3385000.0,-12377000.0,14149000.0
Change In Account Payable,2862000.0,-3385000.0,-12377000.0,14149000.0
Change In Prepaid Assets,491000.0,-2324000.0,-1759000.0,-1245000.0
Change In Receivables,-8289000.0,-10289000.0,-4713000.0,-5711000.0
Changes In Account Receivables,-8289000.0,-10289000.0,-4713000.0,-5711000.0
Other Non Cash Items,2826000.0,3645000.0,56259000.0,2095000.0
Stock Based Compensation,40856000.0,31838000.0,21428000.0,1630000.0
Provisionand Write Offof Assets,2957000.0,4989000.0,2147000.0,1442000.0
Asset Impairment Charge,0.0,2777000.0,1412000.0,997000.0
Amortization Of Securities,-5326000.0,-2108000.0,0.0,0.0
Deferred Tax,721000.0,216000.0,-4728000.0,181000.0
Deferred Income Tax,721000.0,216000.0,-4728000.0,181000.0
Depreciation Amortization Depletion,35912000.0,32842000.0,30738000.0,27514000.0
Depreciation And Amortization,35912000.0,32842000.0,30738000.0,27514000.0
Operating Gains Losses,,1615000.0,26164000.0,7652000.0
Gain Loss On Investment Securities,,,26128000.0,7638000.0
Gain Loss On Sale Of PPE,0.0,36000.0,36000.0,14000.0
Net Income From Continuing Operations,-47325000.0,-101284000.0,-199649000.0,-101246000.0
