,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,-628148.539712,-2284470.0
Tax Rate For Calcs,0.21,0.21,0.022809,0.27
Normalized EBITDA,3301000.0,-47372000.0,-125923000.0,-44957000.0
Total Unusual Items,0.0,0.0,-27540000.0,-8461000.0
Total Unusual Items Excluding Goodwill,0.0,0.0,-27540000.0,-8461000.0
Net Income From Continuing Operation Net Minority Interest,-47325000.0,-101284000.0,-199649000.0,-101246000.0
Reconciled Depreciation,35912000.0,32842000.0,30738000.0,27514000.0
Reconciled Cost Of Revenue,121307000.0,117864000.0,100090000.0,83755000.0
EBITDA,3301000.0,-47372000.0,-153463000.0,-53418000.0
EBIT,-32611000.0,-80214000.0,-184201000.0,-80932000.0
Net Interest Income,7371000.0,-13585000.0,-19447000.0,-18405000.0
Interest Expense,13519000.0,20749000.0,20108000.0,20080000.0
Interest Income,20890000.0,7164000.0,661000.0,1675000.0
Normalized Income,-47325000.0,-101284000.0,-172737148.539712,-95069470.0
Net Income From Continuing And Discontinued Operation,-47325000.0,-101284000.0,-199649000.0,-101246000.0
Total Expenses,434221000.0,403728000.0,355731000.0,260074000.0
Total Operating Income As Reported,-53501000.0,-87378000.0,-108734000.0,-75070000.0
Diluted Average Shares,201887669.0,198045805.0,85061417.0,168083683.0
Basic Average Shares,201887669.0,198045805.0,85061417.0,168083683.0
Diluted EPS,-0.23,-0.51,-2.64,-0.989638
Basic EPS,-0.23,-0.51,-2.64,-0.989638
Diluted NI Availto Com Stockholders,-47325000.0,-101284000.0,-224290000.0,-166342000.0
Net Income Common Stockholders,-47325000.0,-101284000.0,-224290000.0,-166342000.0
Otherunder Preferred Stock Dividend,0.0,0.0,15141000.0,21682000.0
Preferred Stock Dividends,,,9500000.0,43414000.0
Net Income,-47325000.0,-101284000.0,-199649000.0,-101246000.0
Net Income Including Noncontrolling Interests,-47325000.0,-101284000.0,-199649000.0,-101246000.0
Net Income Continuous Operations,-47325000.0,-101284000.0,-199649000.0,-101246000.0
Tax Provision,1195000.0,321000.0,-4660000.0,234000.0
Pretax Income,-46130000.0,-100963000.0,-204309000.0,-101012000.0
Other Income Expense,,,-77540000.0,-8461000.0
Other Non Operating Income Expenses,,,-50000000.0,
Special Income Charges,0.0,0.0,-1412000.0,-924000.0
Impairment Of Capital Assets,0.0,0.0,1412000.0,924000.0
Gain On Sale Of Security,,,-26128000.0,-7537000.0
Net Non Operating Interest Income Expense,7371000.0,-13585000.0,-19447000.0,-18405000.0
Interest Expense Non Operating,13519000.0,20749000.0,20108000.0,20080000.0
Interest Income Non Operating,20890000.0,7164000.0,661000.0,1675000.0
Operating Income,-53501000.0,-87378000.0,-107322000.0,-74146000.0
Operating Expense,312914000.0,285864000.0,255641000.0,176319000.0
Depreciation Amortization Depletion Income Statement,35912000.0,32842000.0,30738000.0,27514000.0
Depreciation And Amortization In Income Statement,35912000.0,32842000.0,30738000.0,27514000.0
Research And Development,97555000.0,83905000.0,65147000.0,44500000.0
Selling General And Administration,179447000.0,169117000.0,159756000.0,104305000.0
Selling And Marketing Expense,77523000.0,77733000.0,63939000.0,47910000.0
General And Administrative Expense,101924000.0,91384000.0,95817000.0,56395000.0
Other Gand A,101924000.0,91384000.0,95817000.0,56395000.0
Gross Profit,259413000.0,198486000.0,148319000.0,102173000.0
Cost Of Revenue,121307000.0,117864000.0,100090000.0,83755000.0
Total Revenue,380720000.0,316350000.0,248409000.0,185928000.0
Operating Revenue,380720000.0,316350000.0,248409000.0,185928000.0
