,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,1279928.0,522176.0,318550.0,283087.0
Share Issued,1279928.0,522176.0,318550.0,283087.0
Net Debt,9018000.0,,,
Total Debt,15395000.0,16359000.0,15466000.0,17053000.0
Tangible Book Value,-6202000.0,4146000.0,9723000.0,13076000.0
Invested Capital,8091000.0,18311000.0,22010000.0,26066000.0
Working Capital,-7138000.0,3041000.0,21085000.0,20433000.0
Net Tangible Assets,-6202000.0,4146000.0,9723000.0,13076000.0
Capital Lease Obligations,1102000.0,2194000.0,3179000.0,4063000.0
Common Stock Equity,-6202000.0,4146000.0,9723000.0,13076000.0
Total Capitalization,-6202000.0,4146000.0,22010000.0,22476000.0
Total Equity Gross Minority Interest,-6202000.0,4146000.0,9723000.0,13076000.0
Stockholders Equity,-6202000.0,4146000.0,9723000.0,13076000.0
Retained Earnings,-420696000.0,-402376000.0,-384753000.0,-367341000.0
Additional Paid In Capital,414493000.0,406514000.0,394471000.0,380332000.0
Capital Stock,1000.0,8000.0,5000.0,85000.0
Common Stock,1000.0,8000.0,5000.0,85000.0
Preferred Stock,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,19972000.0,20049000.0,19762000.0,20119000.0
Total Non Current Liabilities Net Minority Interest,672000.0,2103000.0,15056000.0,12657000.0
Other Non Current Liabilities,672000.0,1001000.0,575000.0,
Long Term Debt And Capital Lease Obligation,0.0,1102000.0,14481000.0,12657000.0
Long Term Capital Lease Obligation,0.0,1102000.0,2194000.0,3257000.0
Long Term Debt,,,12287000.0,9400000.0
Current Liabilities,19300000.0,17946000.0,4706000.0,7462000.0
Current Deferred Liabilities,172000.0,141000.0,123000.0,28000.0
Current Deferred Revenue,172000.0,141000.0,123000.0,28000.0
Current Debt And Capital Lease Obligation,15395000.0,15257000.0,985000.0,4396000.0
Current Capital Lease Obligation,1102000.0,1092000.0,985000.0,806000.0
Current Debt,14293000.0,14165000.0,,3590000.0
Other Current Borrowings,14293000.0,14165000.0,,3590000.0
Pensionand Other Post Retirement Benefit Plans Current,2311000.0,1401000.0,1609000.0,1703000.0
Payables And Accrued Expenses,1422000.0,1147000.0,1989000.0,1335000.0
Current Accrued Expenses,601000.0,476000.0,562000.0,598000.0
Payables,821000.0,671000.0,1427000.0,737000.0
Total Tax Payable,44000.0,40000.0,33000.0,43000.0
Accounts Payable,777000.0,631000.0,1394000.0,694000.0
Total Assets,13770000.0,24195000.0,29485000.0,33195000.0
Total Non Current Assets,1608000.0,3208000.0,3694000.0,5300000.0
Other Non Current Assets,19000.0,312000.0,420000.0,510000.0
Net PPE,1589000.0,2896000.0,3274000.0,4790000.0
Accumulated Depreciation,-4107000.0,-3956000.0,-4351000.0,-4353000.0
Gross PPE,5696000.0,6852000.0,7625000.0,9143000.0
Leases,320000.0,320000.0,320000.0,311000.0
Other Properties,3597000.0,4760000.0,5541000.0,6809000.0
Machinery Furniture Equipment,1779000.0,1772000.0,1764000.0,2023000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,12162000.0,20987000.0,25791000.0,27895000.0
Other Current Assets,575000.0,362000.0,300000.0,
Prepaid Assets,,,300000.0,350000.0
Inventory,5298000.0,4965000.0,4601000.0,3876000.0
Finished Goods,2070000.0,1574000.0,2097000.0,1792000.0
Work In Process,25000.0,17000.0,1000.0,180000.0
Raw Materials,3203000.0,3374000.0,2503000.0,1904000.0
Receivables,1014000.0,1057000.0,1393000.0,1484000.0
Accounts Receivable,1014000.0,1057000.0,1393000.0,1484000.0
Allowance For Doubtful Accounts Receivable,-41000.0,-73000.0,-6000.0,-19000.0
Gross Accounts Receivable,1055000.0,1130000.0,1399000.0,1503000.0
Cash Cash Equivalents And Short Term Investments,5275000.0,14603000.0,19497000.0,22185000.0
Cash And Cash Equivalents,5275000.0,14603000.0,19497000.0,22185000.0
