,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-85395000.0,-122925000.0,-87009000.0,296708000.0
Issuance Of Capital Stock,,230000.0,1465000.0,531748000.0
Capital Expenditure,,-1943000.0,-4000.0,-26000.0
End Cash Position,143823000.0,188658000.0,764680000.0,850224000.0
Beginning Cash Position,188658000.0,764680000.0,850224000.0,21768000.0
Changes In Cash,-44835000.0,-576022000.0,-85544000.0,828456000.0
Financing Cash Flow,257000.0,370000.0,1465000.0,531748000.0
Cash Flow From Continuing Financing Activities,257000.0,370000.0,1465000.0,531748000.0
Proceeds From Stock Option Exercised,257000.0,370000.0,0.0,0.0
Net Preferred Stock Issuance,,0.0,0.0,214116000.0
Preferred Stock Issuance,,0.0,0.0,214116000.0
Net Common Stock Issuance,,230000.0,1465000.0,317632000.0
Common Stock Issuance,,230000.0,1465000.0,317632000.0
Investing Cash Flow,40303000.0,-455410000.0,-4000.0,-26000.0
Cash Flow From Continuing Investing Activities,40303000.0,-455410000.0,-4000.0,-26000.0
Net Investment Purchase And Sale,40303000.0,-453467000.0,0.0,0.0
Sale Of Investment,602665000.0,91885000.0,0.0,0.0
Purchase Of Investment,-562362000.0,-545352000.0,0.0,0.0
Net PPE Purchase And Sale,0.0,-1943000.0,-4000.0,-26000.0
Purchase Of PPE,0.0,-1943000.0,-4000.0,-26000.0
Operating Cash Flow,-85395000.0,-120982000.0,-87005000.0,296734000.0
Cash Flow From Continuing Operating Activities,-85395000.0,-120982000.0,-87005000.0,296734000.0
Change In Working Capital,16163000.0,-46586000.0,-247845000.0,300205000.0
Change In Other Working Capital,,,-301367000.0,301367000.0
Change In Other Current Liabilities,-161000.0,765000.0,0.0,0.0
Change In Other Current Assets,98000.0,-1494000.0,-161000.0,0.0
Change In Payables And Accrued Expense,14362000.0,-39606000.0,54166000.0,11949000.0
Change In Accrued Expense,12661000.0,-37623000.0,43877000.0,12437000.0
Change In Payable,1701000.0,-1983000.0,10289000.0,-488000.0
Change In Account Payable,1701000.0,-1983000.0,10289000.0,-488000.0
Change In Prepaid Assets,1864000.0,-6251000.0,-483000.0,-7296000.0
Change In Receivables,,0.0,0.0,-5815000.0
Changes In Account Receivables,,,,-5815000.0
Stock Based Compensation,49428000.0,46718000.0,39621000.0,7457000.0
Amortization Of Securities,-15446000.0,-5465000.0,0.0,0.0
Depreciation Amortization Depletion,416000.0,260000.0,29000.0,19000.0
Depreciation And Amortization,416000.0,260000.0,29000.0,19000.0
Net Income From Continuing Operations,-135956000.0,-115909000.0,121190000.0,-10947000.0
