,2024-10-31,2023-10-31,2022-10-31,2021-10-31,2020-10-31
Free Cash Flow,-18023245.0,49209658.0,69703135.0,48847854.0,
Repayment Of Debt,-59999167.0,-162992908.0,-20014711.0,-123998587.0,
Issuance Of Debt,25000000.0,163000000.0,45000000.0,124000000.0,
Issuance Of Capital Stock,103623107.0,,,,
End Cash Position,2517927.0,571441.0,7367.0,661425.0,
Beginning Cash Position,571441.0,7367.0,661425.0,368430.0,
Changes In Cash,1946486.0,564074.0,-654058.0,292995.0,
Financing Cash Flow,19969731.0,-48645584.0,-70357193.0,-48554859.0,
Net Other Financing Charges,0.0,0.0,0.0,0.0,
Cash Dividends Paid,-48483957.0,-48652676.0,-95342482.0,-48556272.0,
Common Stock Dividend Paid,-48483957.0,-48652676.0,-95342482.0,-48556272.0,
Net Common Stock Issuance,103623107.0,,,,
Common Stock Issuance,103623107.0,,,,
Net Issuance Payments Of Debt,-34999167.0,7092.0,24985289.0,1413.0,
Net Long Term Debt Issuance,-34999167.0,7092.0,24985289.0,1413.0,
Long Term Debt Payments,-59999167.0,-162992908.0,-20014711.0,-123998587.0,
Long Term Debt Issuance,25000000.0,163000000.0,45000000.0,124000000.0,
Operating Cash Flow,-18023245.0,49209658.0,69703135.0,48847854.0,
Change In Working Capital,9005778.0,2535647.0,3324100.0,-27484202.0,
Change In Other Current Liabilities,72376.0,-10305.0,3331.0,-39080.0,
Change In Other Current Assets,-82167.0,122790.0,9348.0,16470.0,
Change In Payable,3481495.0,5796346.0,-17665567.0,-6408163.0,
Change In Receivables,5534074.0,-3373184.0,20976988.0,-21053429.0,
Other Non Cash Items,-4339553.0,-5603880.0,-1115051.0,-270529.0,
Gain Loss On Investment Securities,-129136333.0,61366469.0,244520984.0,-109680924.0,
Net Foreign Currency Exchange Gain Loss,,,,-768911.0,-439544.0
Net Income From Continuing Operations,106501275.0,-7022540.0,-170856036.0,189556493.0,
