,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Ordinary Shares Number,86229677.0,86229677.0,86229677.0,86229677.0
Share Issued,86229677.0,86229677.0,86229677.0,86229677.0
Net Debt,5325495.0,8152220.0,939042.0,694587.0
Total Debt,5381345.0,8261610.0,1045459.0,694598.0
Tangible Book Value,966421294.0,910948934.0,1036685870.0,1102272659.0
Invested Capital,971802639.0,919210544.0,1037731329.0,1102967257.0
Net Tangible Assets,966421294.0,910948934.0,1036685870.0,1102272659.0
Common Stock Equity,966421294.0,910948934.0,1036685870.0,1102272659.0
Total Capitalization,971802639.0,919210544.0,1037731329.0,1102967257.0
Total Equity Gross Minority Interest,966421294.0,910948934.0,1036685870.0,1102272659.0
Stockholders Equity,966421294.0,910948934.0,1036685870.0,1102272659.0
Retained Earnings,-186587194.0,-244371898.0,-118796442.0,-60496542.0
Additional Paid In Capital,1152146191.0,1154458535.0,1154620015.0,1161906904.0
Capital Stock,862297.0,862297.0,862297.0,862297.0
Common Stock,862297.0,862297.0,862297.0,862297.0
Total Liabilities Net Minority Interest,24817042.0,19198900.0,37506891.0,53500722.0
Derivative Product Liabilities,1889973.0,5442593.0,24486944.0,29714616.0
Long Term Debt And Capital Lease Obligation,5381345.0,8261610.0,1045459.0,694598.0
Payables,17060209.0,4860089.0,11349153.0,21917839.0
Other Payable,951007.0,938214.0,1122367.0,6188546.0
Total Tax Payable,402852.0,433291.0,460828.0,
Accounts Payable,15706350.0,3488584.0,9765958.0,15729293.0
Total Assets,991238336.0,930147834.0,1074192761.0,1155773381.0
Investments And Advances,968786555.0,899929466.0,1042283675.0,1113117706.0
Investmentin Financial Assets,968786555.0,899929466.0,1042283675.0,1113117706.0
Available For Sale Securities,7585463.0,10074438.0,,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,960482799.0,889365029.0,1040089514.0,1110349251.0
Receivables,19961777.0,18854562.0,18926739.0,18519804.0
Cash And Cash Equivalents,55850.0,109390.0,106417.0,5579406.0
Cash Financial,55850.0,109390.0,106417.0,5579406.0
Cash Cash Equivalents And Federal Funds Sold,2490004.0,11363806.0,12982347.0,24135871.0
