,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,0.0,,,
Ordinary Shares Number,14569500.0,9747754.0,6764901.0,5760793.0
Share Issued,14569500.0,9747754.0,6764901.0,5760793.0
Net Debt,24690000.0,38366000.0,68166000.0,110642000.0
Total Debt,39220000.0,77540000.0,111114000.0,149983000.0
Tangible Book Value,-19888000.0,-22268000.0,-35075000.0,-62812000.0
Invested Capital,16940000.0,51003000.0,72989000.0,83611000.0
Working Capital,12432000.0,-10543000.0,66386000.0,75018000.0
Net Tangible Assets,-19888000.0,-22264000.0,-35071000.0,-62812000.0
Capital Lease Obligations,2392000.0,4269000.0,3050000.0,3560000.0
Common Stock Equity,-19888000.0,-22268000.0,-35075000.0,-62812000.0
Preferred Stock Equity,,4000.0,4000.0,
Total Capitalization,16214000.0,-5406000.0,72913000.0,83058000.0
Total Equity Gross Minority Interest,-19888000.0,-22264000.0,-35071000.0,-62812000.0
Stockholders Equity,-19888000.0,-22264000.0,-35071000.0,-62812000.0
Gains Losses Not Affecting Retained Earnings,-612000.0,-400000.0,-60000.0,91000.0
Other Equity Adjustments,-612000.0,-400000.0,-60000.0,91000.0
Treasury Stock,45067000.0,45067000.0,45067000.0,45067000.0
Retained Earnings,-668857000.0,-607239000.0,-570668000.0,-492966000.0
Additional Paid In Capital,694634000.0,630428000.0,580652000.0,475072000.0
Capital Stock,14000.0,14000.0,72000.0,58000.0
Common Stock,14000.0,10000.0,68000.0,58000.0
Preferred Stock,0.0,4000.0,4000.0,0.0
Total Liabilities Net Minority Interest,51254000.0,87279000.0,118118000.0,156237000.0
Total Non Current Liabilities Net Minority Interest,39220000.0,20722000.0,111173000.0,149268000.0
Other Non Current Liabilities,1164000.0,874000.0,808000.0,335000.0
Non Current Accrued Expenses,0.0,663000.0,0.0,
Non Current Deferred Liabilities,1122000.0,0.0,,
Non Current Deferred Revenue,1122000.0,0.0,,
Long Term Debt And Capital Lease Obligation,36934000.0,19185000.0,110365000.0,148933000.0
Long Term Capital Lease Obligation,832000.0,2327000.0,2381000.0,3063000.0
Long Term Debt,36102000.0,16858000.0,107984000.0,145870000.0
Current Liabilities,12034000.0,66557000.0,6945000.0,6969000.0
Current Deferred Liabilities,1545000.0,547000.0,451000.0,376000.0
Current Deferred Revenue,1545000.0,547000.0,451000.0,376000.0
Current Debt And Capital Lease Obligation,2286000.0,58355000.0,749000.0,1050000.0
Current Capital Lease Obligation,1560000.0,1942000.0,669000.0,497000.0
Current Debt,726000.0,56413000.0,80000.0,553000.0
Other Current Borrowings,726000.0,56413000.0,80000.0,553000.0
Payables And Accrued Expenses,8203000.0,7655000.0,5745000.0,5543000.0
Current Accrued Expenses,3407000.0,3154000.0,3762000.0,4253000.0
Interest Payable,164000.0,472000.0,909000.0,1262000.0
Payables,4796000.0,4501000.0,1983000.0,1290000.0
Accounts Payable,4796000.0,4501000.0,1983000.0,1290000.0
Total Assets,31366000.0,65015000.0,83047000.0,93425000.0
Total Non Current Assets,6900000.0,9001000.0,9716000.0,11438000.0
Other Non Current Assets,1816000.0,1242000.0,1817000.0,2120000.0
Net PPE,5084000.0,7759000.0,7899000.0,9318000.0
Accumulated Depreciation,-11011000.0,-10821000.0,-10799000.0,-10835000.0
Gross PPE,16095000.0,18580000.0,18698000.0,20153000.0
Construction In Progress,109000.0,114000.0,683000.0,0.0
Other Properties,8834000.0,11252000.0,11159000.0,12852000.0
Machinery Furniture Equipment,7152000.0,7214000.0,6856000.0,7301000.0
Current Assets,24466000.0,56014000.0,73331000.0,81987000.0
Other Current Assets,1516000.0,2025000.0,1558000.0,1780000.0
Hedging Assets Current,3419000.0,0.0,,
Prepaid Assets,380000.0,818000.0,768000.0,1172000.0
Inventory,3310000.0,5194000.0,5067000.0,9216000.0
Finished Goods,1394000.0,1252000.0,2099000.0,2383000.0
Work In Process,648000.0,2115000.0,1625000.0,1942000.0
Raw Materials,1268000.0,1827000.0,1343000.0,4891000.0
Receivables,2622000.0,2416000.0,2320000.0,1550000.0
Accounts Receivable,2622000.0,2416000.0,2320000.0,1550000.0
Allowance For Doubtful Accounts Receivable,-590000.0,-324000.0,-140000.0,-445000.0
Gross Accounts Receivable,3212000.0,2740000.0,2460000.0,1995000.0
Cash Cash Equivalents And Short Term Investments,13219000.0,45561000.0,63618000.0,68269000.0
Other Short Term Investments,1081000.0,10656000.0,23720000.0,32488000.0
Cash And Cash Equivalents,12138000.0,34905000.0,39898000.0,35781000.0
