,2024-05-31,2023-05-31,2022-05-31,2021-05-31,2020-05-31
Ordinary Shares Number,5908939.0,5853847.0,2097294.0,2097294.0,
Share Issued,5908939.0,5853847.0,2097294.0,2097294.0,
Total Debt,183346.0,275164.0,205666.0,293601.0,
Tangible Book Value,5230242.0,4112070.0,184712.0,345648.0,
Invested Capital,7838155.0,6819547.0,343212.0,507448.0,
Working Capital,5168815.0,4508261.0,96037.0,328811.0,
Net Tangible Assets,5234467.0,4137070.0,184712.0,345648.0,
Capital Lease Obligations,36752.0,102576.0,47166.0,131801.0,
Common Stock Equity,7691561.0,6646959.0,184712.0,345648.0,
Preferred Stock Equity,4225.0,25000.0,,,
Total Capitalization,7695786.0,6671959.0,186912.0,503187.0,
Total Equity Gross Minority Interest,7695786.0,6671959.0,184712.0,345648.0,
Stockholders Equity,7695786.0,6671959.0,184712.0,345648.0,
Retained Earnings,-134270.0,-3466992.0,-5291567.0,-5108664.0,
Additional Paid In Capital,7825240.0,10113365.0,5472084.0,5450117.0,
Capital Stock,4816.0,25586.0,4195.0,4195.0,
Common Stock,591.0,586.0,4195.0,4195.0,
Preferred Stock,4225.0,25000.0,0.0,0.0,
Total Liabilities Net Minority Interest,3278575.0,3497355.0,709203.0,917116.0,
Total Non Current Liabilities Net Minority Interest,480530.0,642694.0,2200.0,204705.0,
Non Current Deferred Liabilities,480530.0,605942.0,0.0,,
Non Current Deferred Revenue,480530.0,605942.0,0.0,,
Long Term Debt And Capital Lease Obligation,0.0,36752.0,2200.0,204705.0,
Long Term Capital Lease Obligation,0.0,36752.0,0.0,47166.0,
Long Term Debt,,,2200.0,157539.0,166698.0
Current Liabilities,2798045.0,2854661.0,707003.0,712411.0,
Other Current Liabilities,5734.0,833.0,,,
Current Deferred Liabilities,1060073.0,1010794.0,16522.0,106949.0,
Current Deferred Revenue,1060073.0,1010794.0,16522.0,106949.0,
Current Debt And Capital Lease Obligation,183346.0,238412.0,203466.0,88896.0,
Current Capital Lease Obligation,36752.0,65824.0,47166.0,84635.0,
Current Debt,146594.0,172588.0,156300.0,4261.0,
Other Current Borrowings,,2200.0,3300.0,4261.0,5002.0
Current Notes Payable,146594.0,172588.0,156300.0,,
Payables And Accrued Expenses,1548892.0,1604622.0,487015.0,516566.0,
Current Accrued Expenses,95919.0,46808.0,22549.0,22824.0,
Interest Payable,0.0,10343.0,,,
Payables,1452973.0,1557814.0,487015.0,493742.0,
Other Payable,,2200.0,3300.0,3300.0,3300.0
Dueto Related Parties Current,11798.0,158072.0,25452.0,54304.0,
Total Tax Payable,473579.0,488936.0,0.0,,
Income Tax Payable,242296.0,230913.0,0.0,,
Accounts Payable,967596.0,908606.0,458263.0,436138.0,
Total Assets,10974361.0,10169314.0,893915.0,1262764.0,
Total Non Current Assets,3007501.0,2806392.0,90875.0,221542.0,
Other Non Current Assets,16895.0,12195.0,16277.0,39874.0,
Non Current Prepaid Assets,,,16277.0,16277.0,16277.0
Non Current Deferred Assets,231587.0,,,,
Non Current Deferred Taxes Assets,231587.0,,,,
Goodwill And Other Intangible Assets,2461319.0,2534889.0,0.0,,0.0
Other Intangible Assets,309104.0,382674.0,,,
Goodwill,2152215.0,2152215.0,0.0,,
Net PPE,297700.0,259308.0,74598.0,165391.0,
Accumulated Depreciation,-190221.0,-101184.0,-229429.0,-138636.0,
Gross PPE,487921.0,360492.0,304027.0,304027.0,
Other Properties,30709.0,131970.0,235748.0,235748.0,
Machinery Furniture Equipment,325242.0,228522.0,68279.0,68279.0,
Buildings And Improvements,131970.0,131970.0,235748.0,235748.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,7966860.0,7362922.0,803040.0,1041222.0,
Other Current Assets,809126.0,801360.0,,2430.0,13708.0
Prepaid Assets,,,0.0,2430.0,13708.0
Inventory,3394023.0,1311864.0,323388.0,450978.0,
Other Inventories,,,,-39874.0,
Finished Goods,3190344.0,1198218.0,29249.0,15056.0,
Raw Materials,203679.0,113646.0,294139.0,475796.0,
Receivables,509835.0,417016.0,105921.0,90877.0,
Accounts Receivable,509835.0,417016.0,105921.0,90877.0,
Allowance For Doubtful Accounts Receivable,-93312.0,-95480.0,-9820.0,-2879.0,
Gross Accounts Receivable,603147.0,512496.0,115741.0,93756.0,
Cash Cash Equivalents And Short Term Investments,3253876.0,4832682.0,373731.0,496937.0,
Cash And Cash Equivalents,3253876.0,4832682.0,373731.0,496937.0,
Cash Financial,3253876.0,4832682.0,373731.0,496937.0,
