,2023-12-31,2022-12-31,2021-12-31
Treasury Shares Number,0.0,,
Ordinary Shares Number,403254.0,402883.0,402883.0
Share Issued,403254.0,402883.0,402883.0
Net Debt,,3107344.0,
Total Debt,885947.0,7728280.0,992019.0
Tangible Book Value,2702265.0,-36479877.0,-25863612.0
Invested Capital,2913146.0,-29660310.0,-24773900.0
Working Capital,932384.0,1913851.0,7279142.0
Net Tangible Assets,2702265.0,-36479877.0,-25863612.0
Capital Lease Obligations,885947.0,1128280.0,0.0
Common Stock Equity,2913146.0,-36260310.0,-25765919.0
Total Capitalization,2913146.0,-29660310.0,-24773900.0
Total Equity Gross Minority Interest,2913146.0,-36260310.0,-25765919.0
Stockholders Equity,2913146.0,-36260310.0,-25765919.0
Retained Earnings,-48598333.0,-37314552.0,-26634186.0
Additional Paid In Capital,51510269.0,1054138.0,868163.0
Capital Stock,1210.0,104.0,104.0
Common Stock,1210.0,104.0,104.0
Total Liabilities Net Minority Interest,2202340.0,43427753.0,35967252.0
Total Non Current Liabilities Net Minority Interest,599145.0,41205721.0,34757665.0
Preferred Securities Outside Stock Equity,0.0,33694542.0,33694542.0
Derivative Product Liabilities,35453.0,70283.0,71104.0
Long Term Debt And Capital Lease Obligation,563692.0,7440896.0,992019.0
Long Term Capital Lease Obligation,563692.0,840896.0,0.0
Long Term Debt,,6600000.0,992019.0
Current Liabilities,1603195.0,2222032.0,1209587.0
Current Deferred Liabilities,0.0,156000.0,15000.0
Current Deferred Revenue,0.0,156000.0,15000.0
Current Debt And Capital Lease Obligation,322255.0,287384.0,
Current Capital Lease Obligation,322255.0,287384.0,0.0
Pensionand Other Post Retirement Benefit Plans Current,31074.0,27082.0,43473.0
Payables And Accrued Expenses,1249866.0,1751566.0,1151114.0
Current Accrued Expenses,352594.0,966879.0,432012.0
Interest Payable,0.0,223792.0,59181.0
Payables,897272.0,784687.0,719102.0
Total Tax Payable,,0.0,1302.0
Income Tax Payable,,0.0,1302.0
Accounts Payable,897272.0,784687.0,717800.0
Total Assets,5115486.0,7167443.0,10201333.0
Total Non Current Assets,2579907.0,3031560.0,1712604.0
Other Non Current Assets,47760.0,47507.0,48201.0
Non Current Deferred Assets,742229.0,800831.0,620029.0
Goodwill And Other Intangible Assets,210881.0,219567.0,97693.0
Other Intangible Assets,210881.0,219567.0,97693.0
Net PPE,1579037.0,1963655.0,946681.0
Accumulated Depreciation,-401987.0,-286549.0,-168984.0
Gross PPE,1981024.0,2250204.0,1115665.0
Leases,28855.0,28855.0,28855.0
Other Properties,1882096.0,2151276.0,1016737.0
Machinery Furniture Equipment,55141.0,55141.0,55141.0
Buildings And Improvements,14932.0,14932.0,14932.0
Properties,0.0,0.0,0.0
Current Assets,2535579.0,4135883.0,8488729.0
Current Deferred Assets,67859.0,216886.0,0.0
Prepaid Assets,448257.0,160133.0,110289.0
Receivables,223474.0,266208.0,334178.0
Taxes Receivable,125219.0,83388.0,173311.0
Accounts Receivable,98255.0,182820.0,160867.0
Cash Cash Equivalents And Short Term Investments,1795989.0,3492656.0,8044262.0
Cash And Cash Equivalents,1795989.0,3492656.0,8044262.0
