,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,499999.0,349999.0,384529.0,265461.0
Preferred Shares Number,,,928965058.0,
Ordinary Shares Number,347633997.0,347659609.0,345681681.0,343765463.0
Share Issued,348133996.0,348009608.0,346066210.0,344030924.0
Net Debt,9294033000.0,8721422000.0,6944932000.0,4295699000.0
Total Debt,26337780000.0,23972603000.0,24909306000.0,19881326000.0
Tangible Book Value,-22791095000.0,-20434023000.0,-19691041000.0,-15319018000.0
Invested Capital,-10136479000.0,-9617730000.0,-8314272000.0,-6788236000.0
Working Capital,-9704733000.0,-10184169000.0,-5863917000.0,-4795208000.0
Net Tangible Assets,-22791095000.0,-20434023000.0,-19691041000.0,-15319018000.0
Capital Lease Obligations,15146411000.0,14582833000.0,14890575000.0,12520812000.0
Common Stock Equity,-21327848000.0,-19007500000.0,-18333003000.0,-14148750000.0
Total Capitalization,-11553184000.0,-11498811000.0,-9337662000.0,-7646568000.0
Total Equity Gross Minority Interest,-21327848000.0,-19007500000.0,-18333003000.0,-14148750000.0
Stockholders Equity,-21327848000.0,-19007500000.0,-18333003000.0,-14148750000.0
Other Equity Interest,789000.0,61000.0,120000.0,20625000.0
Gains Losses Not Affecting Retained Earnings,2032716000.0,1975379000.0,1952270000.0,1948542000.0
Other Equity Adjustments,2032716000.0,1975379000.0,1952270000.0,1948542000.0
Treasury Stock,9041000.0,10204000.0,11959000.0,13182000.0
Retained Earnings,-25667133000.0,-23286677000.0,-22564310000.0,-18351102000.0
Capital Stock,2314821000.0,2313941000.0,2290876000.0,2246367000.0
Common Stock,2314821000.0,2313941000.0,2290876000.0,2246367000.0
Total Liabilities Net Minority Interest,41860757000.0,37728793000.0,36866476000.0,29943207000.0
Total Non Current Liabilities Net Minority Interest,27111877000.0,22672688000.0,25156223000.0,19730576000.0
Other Non Current Liabilities,828512000.0,931760000.0,1120334000.0,312423000.0
Derivative Product Liabilities,840000.0,175210000.0,209542000.0,247265000.0
Tradeand Other Payables Non Current,2604893000.0,1091438000.0,915610000.0,431578000.0
Non Current Deferred Liabilities,39526000.0,0.0,,0.0
Non Current Deferred Taxes Liabilities,39526000.0,0.0,,0.0
Long Term Debt And Capital Lease Obligation,21233683000.0,18065574000.0,20388251000.0,16750645000.0
Long Term Capital Lease Obligation,11459019000.0,10556885000.0,11392910000.0,10248463000.0
Long Term Debt,9774664000.0,7508689000.0,8995341000.0,6502182000.0
Long Term Provisions,2404423000.0,2408706000.0,2522486000.0,1988665000.0
Current Liabilities,14748880000.0,15056105000.0,11710253000.0,10212631000.0
Other Current Liabilities,219267000.0,152038000.0,405193000.0,684308000.0
Current Deferred Liabilities,5205876000.0,4140025000.0,3063816000.0,2488872000.0
Current Deferred Revenue,5205876000.0,4140025000.0,3063816000.0,2488872000.0
Current Debt And Capital Lease Obligation,5104097000.0,5907029000.0,4521055000.0,3130681000.0
Current Capital Lease Obligation,3687392000.0,4025948000.0,3497665000.0,2272349000.0
Current Debt,1416705000.0,1881081000.0,1023390000.0,858332000.0
Other Current Borrowings,1125858000.0,1127729000.0,1023390000.0,858332000.0
Line Of Credit,290847000.0,753352000.0,,
Current Provisions,736430000.0,834288000.0,977103000.0,853810000.0
Payables And Accrued Expenses,3483210000.0,4022725000.0,2743086000.0,3054960000.0
Current Accrued Expenses,474797000.0,479412000.0,459697000.0,400371000.0
Payables,3008413000.0,3543313000.0,2283389000.0,2654589000.0
Other Payable,75900000.0,84985000.0,92793000.0,65785000.0
Total Tax Payable,730572000.0,1025485000.0,656422000.0,192335000.0
Accounts Payable,2277841000.0,2517828000.0,1534174000.0,2396469000.0
Total Assets,20532909000.0,18721293000.0,18533473000.0,15794457000.0
Total Non Current Assets,15488762000.0,13849357000.0,12687137000.0,10377034000.0
Other Non Current Assets,143781000.0,328005000.0,126100000.0,149508000.0
Non Current Prepaid Assets,1777803000.0,1514393000.0,1866872000.0,1253774000.0
Non Current Accounts Receivable,16210000.0,105860000.0,197999000.0,189482000.0
Financial Assets,0.0,235896000.0,270640000.0,349093000.0
