,2024-02-29,2023-02-28,2022-02-28,2021-02-28,2020-02-29
Tax Effect Of Unusual Items,0.0,0.0,0.0,-4713617.652416,
Tax Rate For Calcs,0.219,0.251886,0.318,0.29268,
Normalized EBITDA,316591000.0,252065000.0,111475000.0,96091000.0,
Total Unusual Items,,0.0,1797000.0,-16105000.0,-18632000.0
Total Unusual Items Excluding Goodwill,,0.0,1797000.0,-16105000.0,-18632000.0
Net Income From Continuing Operation Net Minority Interest,101607000.0,66339000.0,49817000.0,27183000.0,
Reconciled Depreciation,79423000.0,74590000.0,32081000.0,32094000.0,
Reconciled Cost Of Revenue,1174128000.0,1027706000.0,379445000.0,357675000.0,
EBITDA,316591000.0,252065000.0,111475000.0,79986000.0,
EBIT,237168000.0,177475000.0,79394000.0,47892000.0,
Net Interest Income,-107065000.0,-88800000.0,-6363000.0,-9461000.0,
Interest Expense,107065000.0,88800000.0,6363000.0,9461000.0,
Normalized Income,101607000.0,66339000.0,49817000.0,38574382.347584,
Net Income From Continuing And Discontinued Operation,101607000.0,-52974000.0,84022000.0,39614000.0,
Total Expenses,1315989000.0,1150011000.0,446379000.0,416992000.0,
Total Operating Income As Reported,221600000.0,173638000.0,79219000.0,47477000.0,
Diluted Average Shares,25209000.0,24978000.0,25077000.0,26045000.0,
Basic Average Shares,25041000.0,24828000.0,24858580.0,25891503.0,
Diluted EPS,3.46,-2.47,3.35,1.52,
Basic EPS,3.48,-2.47,3.38,1.53,
Diluted NI Availto Com Stockholders,87207000.0,-61214000.0,84022000.0,39614000.0,
Net Income Common Stockholders,87207000.0,-61214000.0,84022000.0,39614000.0,
Preferred Stock Dividends,14400000.0,8240000.0,,,
Net Income,101607000.0,-52974000.0,84022000.0,39614000.0,
Net Income Including Noncontrolling Interests,101607000.0,-52974000.0,84022000.0,39614000.0,
Net Income Discontinuous Operations,0.0,-119313000.0,34205000.0,12431000.0,
Net Income Continuous Operations,101607000.0,66339000.0,49817000.0,27183000.0,
Tax Provision,28496000.0,22336000.0,23214000.0,11248000.0,
Pretax Income,130103000.0,88675000.0,73031000.0,38431000.0,
Other Income Expense,15568000.0,3837000.0,175000.0,-15690000.0,
Other Non Operating Income Expenses,161000.0,1240000.0,175000.0,415000.0,
Special Income Charges,,0.0,1797000.0,-16105000.0,-18632000.0
Gain On Sale Of Business,,,,,-18632000.0
Restructuring And Mergern Acquisition,,0.0,-1797000.0,16105000.0,18632000.0
Earnings From Equity Interest,15407000.0,2597000.0,0.0,0.0,
Net Non Operating Interest Income Expense,-107065000.0,-88800000.0,-6363000.0,-9461000.0,
Interest Expense Non Operating,107065000.0,88800000.0,6363000.0,9461000.0,
Operating Income,221600000.0,173638000.0,79219000.0,63582000.0,
Operating Expense,141861000.0,122305000.0,66934000.0,59317000.0,
Depreciation Amortization Depletion Income Statement,,,,101573000.0,129002000.0
Depreciation And Amortization In Income Statement,,,,101573000.0,129002000.0
Depreciation Income Statement,,,,101573000.0,129002000.0
Selling General And Administration,141861000.0,122305000.0,66934000.0,59317000.0,
General And Administrative Expense,,,,5561000.0,10251000.0
Other Gand A,,,,5561000.0,10251000.0
Gross Profit,363461000.0,295943000.0,146153000.0,122899000.0,
Cost Of Revenue,1174128000.0,1027706000.0,379445000.0,357675000.0,
Total Revenue,1537589000.0,1323649000.0,525598000.0,480574000.0,
Operating Revenue,1537589000.0,1323649000.0,525598000.0,480574000.0,
