,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-10806717.0,3126022.0,-2525730.0,3211372.0
Issuance Of Capital Stock,13176717.0,0.0,,
Capital Expenditure,-773863.0,-373111.0,-19153.0,-150955.0
Interest Paid Supplemental Data,302486.0,261703.0,7987.0,5036.0
Income Tax Paid Supplemental Data,794910.0,688790.0,683350.0,854853.0
End Cash Position,7402890.0,5032890.0,3035321.0,5561051.0
Beginning Cash Position,5032890.0,3035321.0,5561051.0,3060093.0
Changes In Cash,2370000.0,1997569.0,-2525730.0,2500958.0
Financing Cash Flow,13176717.0,-1128453.0,0.0,-1314295.0
Cash Flow From Continuing Financing Activities,13176717.0,-1128453.0,0.0,-1314295.0
Net Other Financing Charges,,-1128453.0,,-1314295.0
Net Common Stock Issuance,13176717.0,0.0,,
Common Stock Issuance,13176717.0,0.0,,
Investing Cash Flow,-773863.0,-373111.0,-19153.0,452926.0
Cash Flow From Continuing Investing Activities,-773863.0,-373111.0,-19153.0,452926.0
Net Business Purchase And Sale,,,0.0,603881.0
Sale Of Business,,,0.0,603881.0
Net PPE Purchase And Sale,-773863.0,-373111.0,-19153.0,-150955.0
Purchase Of PPE,-773863.0,-373111.0,-19153.0,-150955.0
Operating Cash Flow,-10032854.0,3499133.0,-2506577.0,3362327.0
Cash Flow From Continuing Operating Activities,-10032855.0,3499133.0,-2506577.0,3362327.0
Change In Working Capital,-11341710.0,-524902.0,-5965899.0,36609.0
Change In Other Working Capital,,291860.0,-262310.0,
Change In Other Current Liabilities,-120781.0,-83859.0,-112685.0,-121493.0
Change In Payables And Accrued Expense,14501110.0,-5420756.0,232502.0,-914326.0
Change In Accrued Expense,218115.0,78242.0,30878.0,10388.0
Change In Payable,14282995.0,-5498998.0,201624.0,-924714.0
Change In Account Payable,14779300.0,-5644677.0,228653.0,-596932.0
Change In Tax Payable,-496305.0,145679.0,-27029.0,-327782.0
Change In Income Tax Payable,-496305.0,145679.0,-27029.0,-327782.0
Change In Prepaid Assets,-19042364.0,3580806.0,-3765499.0,-27135.0
Change In Receivables,-6679675.0,1107047.0,-2057907.0,1099563.0
Changes In Account Receivables,-6679675.0,-402941.0,-1334210.0,1372799.0
Other Non Cash Items,1.0,-1750.0,,
Asset Impairment Charge,613.0,48399.0,0.0,11714.0
Depreciation Amortization Depletion,313714.0,183040.0,182214.0,146896.0
Depreciation And Amortization,313714.0,183040.0,182214.0,146896.0
Depreciation,313714.0,183040.0,182214.0,146896.0
Operating Gains Losses,-138122.0,109346.0,-291860.0,289385.0
Earnings Losses From Equity Investments,,,0.0,27075.0
Gain Loss On Investment Securities,-138122.0,109346.0,-291860.0,262310.0
Net Income From Continuing Operations,1132650.0,3685000.0,3568968.0,2877723.0
