,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,34348369.0,34194018.0,34252632.0,35159200.0
Share Issued,34348369.0,34194018.0,34252632.0,35159200.0
Net Debt,227800000.0,,,
Total Debt,530923000.0,279009000.0,328135000.0,424518000.0
Tangible Book Value,1273886000.0,1073871000.0,1302351000.0,1271717000.0
Invested Capital,2134955000.0,1680236000.0,1958706000.0,2031439000.0
Net Tangible Assets,1273886000.0,1073871000.0,1302351000.0,1271717000.0
Capital Lease Obligations,48659000.0,55205000.0,59756000.0,59343000.0
Common Stock Equity,1652691000.0,1456432000.0,1690327000.0,1666264000.0
Total Capitalization,2134955000.0,1680236000.0,1958706000.0,2031439000.0
Total Equity Gross Minority Interest,1652691000.0,1456432000.0,1690327000.0,1666264000.0
Stockholders Equity,1652691000.0,1456432000.0,1690327000.0,1666264000.0
Gains Losses Not Affecting Retained Earnings,-289135000.0,-362769000.0,184000.0,69069000.0
Other Equity Adjustments,-289135000.0,-362769000.0,184000.0,69069000.0
Retained Earnings,642175000.0,525242000.0,390762000.0,247316000.0
Capital Stock,1299651000.0,1293959000.0,1299381000.0,1349879000.0
Common Stock,1299651000.0,1293959000.0,1299381000.0,1349879000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,14017700000.0,14376999000.0,15114545000.0,13365359000.0
Employee Benefits,45975000.0,44293000.0,46684000.0,45460000.0
Long Term Debt And Capital Lease Obligation,530923000.0,279009000.0,328135000.0,424518000.0
Long Term Capital Lease Obligation,48659000.0,55205000.0,59756000.0,59343000.0
Long Term Debt,482264000.0,223804000.0,268379000.0,365175000.0
Payables And Accrued Expenses,,200839000.0,148303000.0,143300000.0
Current Accrued Expenses,,200839000.0,148303000.0,143300000.0
Total Assets,15670391000.0,15833431000.0,16804872000.0,15031623000.0
Investments And Advances,3432838000.0,3935313000.0,4186896000.0,2769286000.0
Held To Maturity Securities,1059055000.0,1117588000.0,520922000.0,421713000.0
Available For Sale Securities,2373783000.0,,,
Trading Securities,0.0,28694000.0,26981000.0,24980000.0
Goodwill And Other Intangible Assets,378805000.0,382561000.0,387976000.0,394547000.0
Other Intangible Assets,5684000.0,9440000.0,14855000.0,21426000.0
Goodwill,373121000.0,373121000.0,373121000.0,373121000.0
Net PPE,175962000.0,188037000.0,204016000.0,219923000.0
Accumulated Depreciation,-177009000.0,-162889000.0,-152503000.0,-147689000.0
Gross PPE,352971000.0,350926000.0,356519000.0,367612000.0
Other Properties,,49283000.0,55257000.0,55367000.0
Machinery Furniture Equipment,137640000.0,129451000.0,121637000.0,126115000.0
Buildings And Improvements,189198000.0,194411000.0,150238000.0,153934000.0
Land And Improvements,26133000.0,27064000.0,29387000.0,32196000.0
Receivables,63100000.0,57284000.0,42916000.0,46617000.0
Accounts Receivable,63100000.0,57284000.0,42916000.0,46617000.0
Other Short Term Investments,0.0,2789031000.0,3638993000.0,2322593000.0
Cash And Cash Equivalents,254464000.0,243062000.0,2134300000.0,1234183000.0
Cash Financial,209634000.0,198154000.0,358461000.0,311899000.0
Cash Cash Equivalents And Federal Funds Sold,254464000.0,543062000.0,2434300000.0,1234183000.0
