,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,1325079.0,-625300.0,-1034904.0
Tax Rate For Calcs,0.191,0.189,0.185,0.186
Total Unusual Items,0.0,7011000.0,-3380000.0,-5564000.0
Total Unusual Items Excluding Goodwill,0.0,7011000.0,-3380000.0,-5564000.0
Net Income From Continuing Operation Net Minority Interest,183624000.0,195378000.0,201048000.0,115928000.0
Reconciled Depreciation,21629000.0,22212000.0,23916000.0,25862000.0
Net Interest Income,576005000.0,553179000.0,496891000.0,481301000.0
Interest Expense,125567000.0,19390000.0,23609000.0,37845000.0
Interest Income,701572000.0,572569000.0,520500000.0,519146000.0
Normalized Income,183624000.0,189692079.0,203802700.0,120457096.0
Net Income From Continuing And Discontinued Operation,183624000.0,195378000.0,201048000.0,115928000.0
Diluted Average Shares,34450412.0,34459922.0,34919188.0,35528848.0
Basic Average Shares,34344142.0,34264322.0,34610056.0,35264252.0
Diluted EPS,5.33,5.67,5.76,3.26
Basic EPS,5.35,5.7,5.81,3.29
Diluted NI Availto Com Stockholders,183624000.0,195378000.0,201048000.0,115928000.0
Net Income Common Stockholders,183624000.0,195378000.0,201048000.0,115928000.0
Net Income,183624000.0,195378000.0,201048000.0,115928000.0
Net Income Including Noncontrolling Interests,183624000.0,195378000.0,201048000.0,115928000.0
Net Income Continuous Operations,183624000.0,195378000.0,201048000.0,115928000.0
Tax Provision,43463000.0,45397000.0,45546000.0,26525000.0
Pretax Income,227087000.0,240775000.0,246594000.0,142453000.0
Special Income Charges,0.0,7011000.0,-3380000.0,-5564000.0
Gain On Sale Of Business,0.0,7804000.0,0.0,0.0
Other Special Charges,,,436000.0,3502000.0
Restructuring And Mergern Acquisition,0.0,0.0,660000.0,2062000.0
Gain On Sale Of Security,-23460000.0,-2441000.0,5098000.0,356000.0
Depreciation Amortization Depletion Income Statement,3756000.0,5279000.0,6571000.0,7732000.0
Depreciation And Amortization In Income Statement,3756000.0,5279000.0,6571000.0,7732000.0
Amortization,3756000.0,5279000.0,6571000.0,7732000.0
Amortization Of Intangibles Income Statement,3756000.0,5279000.0,6571000.0,7732000.0
Selling General And Administration,259886000.0,252874000.0,255970000.0,258328000.0
Selling And Marketing Expense,4794000.0,3959000.0,6036000.0,6412000.0
General And Administrative Expense,255092000.0,248915000.0,249934000.0,251916000.0
Other Gand A,,,24356000.0,24386000.0
Insurance And Claims,10529000.0,6649000.0,5583000.0,6516000.0
Salaries And Wages,244563000.0,242266000.0,244351000.0,245400000.0
Total Revenue,616124000.0,623748000.0,607164000.0,598670000.0
Operating Revenue,616124000.0,623748000.0,607164000.0,598670000.0
Occupancy And Equipment,47886000.0,52018000.0,52850000.0,53362000.0
Professional Expense And Contract Services Expense,9830000.0,14005000.0,22274000.0,12093000.0
Other Non Interest Expense,56890000.0,55444000.0,52913000.0,51263000.0
