,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.016
Normalized EBITDA,-2406483.0,-23183903.0,-9327910.0,7140628.0
Total Unusual Items,469424.0,19247.0,1932754.0,0.0
Total Unusual Items Excluding Goodwill,469424.0,19247.0,1932754.0,0.0
Net Income From Continuing Operation Net Minority Interest,-1845170.0,-23738837.0,-6747453.0,6944691.0
Reconciled Depreciation,392619.0,900238.0,1018797.0,542014.0
Reconciled Cost Of Revenue,308395.0,2446941.0,2077516.0,1256353.0
EBITDA,-1937059.0,-23164656.0,-7395156.0,7140628.0
EBIT,-2329678.0,-24064894.0,-8413953.0,6598614.0
Net Interest Income,-14492.0,16397.0,-57109.0,-183896.0
Interest Expense,,,57109.0,183896.0
Normalized Income,-2314594.0,-23758084.0,-8680207.0,6944691.0
Net Income From Continuing And Discontinued Operation,-1845170.0,-23738837.0,-6747453.0,6944691.0
Total Expenses,3251512.0,26479992.0,12325513.0,5312615.0
Total Operating Income As Reported,-2467758.0,-24067983.0,-9423709.0,5643175.0
Diluted Average Shares,,1534487.0,1459390.0,1375000.0
Basic Average Shares,,1534487.0,1459390.0,1375000.0
Diluted EPS,,-15.470211,-4.623475,5.050684
Basic EPS,,-15.47,-4.62,5.050684
Diluted NI Availto Com Stockholders,-1845170.0,-23738837.0,-6747453.0,6944691.0
Net Income Common Stockholders,-1845170.0,-23738837.0,-6747453.0,6944691.0
Net Income,-1845170.0,-23738837.0,-6747453.0,6944691.0
Net Income Including Noncontrolling Interests,-1845170.0,-23738837.0,-6747453.0,6944691.0
Net Income Continuous Operations,-1845170.0,-23738837.0,-6747453.0,6944691.0
Tax Provision,0.0,0.0,0.0,108638.0
Pretax Income,-1845170.0,-23738837.0,-6747453.0,7053329.0
Other Income Expense,499000.0,309660.0,1723609.0,638611.0
Other Non Operating Income Expenses,29576.0,290413.0,-209145.0,638611.0
Special Income Charges,-128204.0,0.0,-434878.0,0.0
Write Off,128204.0,0.0,0.0,
Impairment Of Capital Assets,0.0,0.0,434878.0,0.0
Gain On Sale Of Security,597628.0,19247.0,2367632.0,
Net Non Operating Interest Income Expense,-14492.0,16397.0,-57109.0,-183896.0
Total Other Finance Cost,14492.0,-16397.0,57109.0,183896.0
Interest Expense Non Operating,,,57109.0,183896.0
Operating Income,-2329678.0,-24064894.0,-8413953.0,6598614.0
Operating Expense,2943117.0,24033051.0,10247997.0,4056262.0
Other Operating Expenses,-9876.0,-3089.0,-574878.0,-955439.0
Provision For Doubtful Accounts,726294.0,20460667.0,6880008.0,1960604.0
Selling General And Administration,2226699.0,3575473.0,3942867.0,3051097.0
Selling And Marketing Expense,381635.0,764258.0,1086078.0,947834.0
General And Administrative Expense,1845064.0,2811215.0,2856789.0,2103263.0
Other Gand A,1845064.0,2811215.0,2856789.0,2103263.0
Gross Profit,613439.0,-31843.0,1834044.0,10654876.0
Cost Of Revenue,308395.0,2446941.0,2077516.0,1256353.0
Total Revenue,921834.0,2415098.0,3911560.0,11911229.0
Operating Revenue,921834.0,2415098.0,3911560.0,11911229.0
