,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-45345740.222615,9579655.169824,-112428997.253234,-190844940.0
Tax Rate For Calcs,0.275754,0.307178,0.311465,0.295
Total Unusual Items,-164443000.0,31186000.0,-360968000.0,-646932000.0
Total Unusual Items Excluding Goodwill,-164443000.0,31186000.0,-360968000.0,-646932000.0
Net Income From Continuing Operation Net Minority Interest,4865540000.0,4647818000.0,3584582000.0,346894000.0
Reconciled Depreciation,667122000.0,643596000.0,690556000.0,676933000.0
Net Interest Income,12891892000.0,11062392000.0,9318967000.0,8543349000.0
Interest Expense,5860523000.0,3919664000.0,2490802000.0,2978696000.0
Interest Income,18752415000.0,14982056000.0,11809769000.0,11522045000.0
Normalized Income,4984637259.777385,4626211655.169824,3833121002.746766,802981060.0
Net Income From Continuing And Discontinued Operation,4865540000.0,4647818000.0,3584582000.0,346894000.0
Rent Expense Supplemental,125802000.0,110642000.0,110231000.0,96177000.0
Diluted Average Shares,79655520.0,79533094.0,79676395.0,79622875.0
Basic Average Shares,79477811.0,79533094.0,79494187.0,79410437.0
Diluted EPS,61.08,58.253687,44.99,4.36
Basic EPS,61.22,58.253687,45.09,4.37
Diluted NI Availto Com Stockholders,4865540000.0,4647818000.0,3584582000.0,346894000.0
Net Income Common Stockholders,4865540000.0,4647818000.0,3584582000.0,346894000.0
Net Income,4865540000.0,4647818000.0,3584582000.0,346894000.0
Minority Interests,-94338000.0,-112292000.0,-87247000.0,12756000.0
Net Income Including Noncontrolling Interests,4959878000.0,4760110000.0,3671829000.0,334138000.0
Net Income Continuous Operations,4959878000.0,4760110000.0,3671829000.0,334138000.0
Tax Provision,1888451000.0,2110501000.0,1660987000.0,-109977000.0
Pretax Income,6848329000.0,6870611000.0,5332816000.0,224161000.0
Special Income Charges,-164443000.0,19831000.0,-360968000.0,-649289000.0
Other Special Charges,92484000.0,-19831000.0,27634000.0,223497000.0
Impairment Of Capital Assets,71959000.0,0.0,0.0,63978000.0
Restructuring And Mergern Acquisition,0.0,0.0,333334000.0,361814000.0
Gain On Sale Of Security,361720000.0,-33806000.0,175693000.0,445009000.0
Depreciation Amortization Depletion Income Statement,659007000.0,636489000.0,683254000.0,669915000.0
Depreciation And Amortization In Income Statement,659007000.0,636489000.0,683254000.0,669915000.0
Depreciation Income Statement,659007000.0,636489000.0,683254000.0,669915000.0
Selling General And Administration,7398822000.0,6616962000.0,8282363000.0,6740944000.0
Selling And Marketing Expense,720718000.0,652587000.0,486885000.0,349745000.0
General And Administrative Expense,6678104000.0,5964375000.0,7795478000.0,6391199000.0
Other Gand A,2230525000.0,1888578000.0,1612712000.0,1230298000.0
Insurance And Claims,56324000.0,62994000.0,2404059000.0,1751770000.0
Rent And Landing Fees,125802000.0,110642000.0,110231000.0,96177000.0
Salaries And Wages,4265453000.0,3902161000.0,3668476000.0,3312954000.0
Total Revenue,19535203000.0,16705536000.0,16728350000.0,15238086000.0
Operating Revenue,19535203000.0,16705536000.0,16728350000.0,15238086000.0
Occupancy And Equipment,,137946000.0,176093000.0,118369000.0
Professional Expense And Contract Services Expense,336715000.0,333325000.0,312978000.0,219671000.0
Other Non Interest Expense,397246000.0,384153000.0,416217000.0,461786000.0
