,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Treasury Shares Number,4643589.0,,,
Ordinary Shares Number,175533136.0,177647754.0,175290143.0,171069553.0
Share Issued,180176725.0,177647754.0,175290143.0,171069553.0
Net Debt,,,,77451000.0
Total Debt,87819000.0,133945000.0,110097000.0,115729000.0
Tangible Book Value,127462000.0,166447000.0,213224000.0,-161040000.0
Invested Capital,179309000.0,251758000.0,293251000.0,-43241000.0
Working Capital,146269000.0,212752000.0,259531000.0,9785000.0
Net Tangible Assets,127462000.0,166447000.0,213224000.0,-161040000.0
Capital Lease Obligations,47893000.0,52724000.0,33907000.0,0.0
Common Stock Equity,139383000.0,170537000.0,217061000.0,-158970000.0
Total Capitalization,179309000.0,251758000.0,293251000.0,-43241000.0
Total Equity Gross Minority Interest,139383000.0,170537000.0,217061000.0,-158970000.0
Stockholders Equity,139383000.0,170537000.0,217061000.0,-158970000.0
Treasury Stock,6225000.0,0.0,,
Retained Earnings,-346820000.0,-309834000.0,-248253000.0,-179954000.0
Additional Paid In Capital,492427000.0,480370000.0,465313000.0,20984000.0
Capital Stock,1000.0,1000.0,1000.0,0.0
Common Stock,1000.0,1000.0,1000.0,0.0
Preferred Stock,0.0,0.0,,0.0
Total Liabilities Net Minority Interest,159205000.0,229883000.0,217000000.0,309833000.0
Total Non Current Liabilities Net Minority Interest,83727000.0,130282000.0,108389000.0,187550000.0
Other Non Current Liabilities,1202000.0,1821000.0,3352000.0,11834000.0
Preferred Securities Outside Stock Equity,,,0.0,59987000.0
Derivative Product Liabilities,,,,41472782.0
Non Current Deferred Liabilities,,,,8902250.0
Long Term Debt And Capital Lease Obligation,82525000.0,128461000.0,105037000.0,115729000.0
Long Term Capital Lease Obligation,42599000.0,47240000.0,28847000.0,0.0
Long Term Debt,39926000.0,81221000.0,76190000.0,115729000.0
Current Liabilities,75478000.0,99601000.0,108611000.0,122283000.0
Other Current Liabilities,391000.0,3129000.0,9754000.0,1425000.0
Current Deferred Liabilities,25957000.0,27772000.0,31549000.0,27177000.0
Current Deferred Revenue,25957000.0,27772000.0,31549000.0,27177000.0
Current Debt And Capital Lease Obligation,5294000.0,5484000.0,5060000.0,
Current Capital Lease Obligation,5294000.0,5484000.0,5060000.0,0.0
Pensionand Other Post Retirement Benefit Plans Current,4866000.0,5510000.0,3421000.0,
Payables And Accrued Expenses,38970000.0,57706000.0,58827000.0,93681000.0
Current Accrued Expenses,18923000.0,15558000.0,12830000.0,19016000.0
Payables,20047000.0,42148000.0,45997000.0,74665000.0
Total Tax Payable,6310000.0,7778000.0,9163000.0,24164000.0
Accounts Payable,13737000.0,34370000.0,36834000.0,50501000.0
Total Assets,298588000.0,400420000.0,434061000.0,150863000.0
Total Non Current Assets,76841000.0,88067000.0,65919000.0,18795000.0
Other Non Current Assets,6587000.0,7234000.0,4402000.0,3260000.0
Goodwill And Other Intangible Assets,11921000.0,4090000.0,3837000.0,2070000.0
Other Intangible Assets,11921000.0,4090000.0,3837000.0,2070000.0
Net PPE,58333000.0,76743000.0,57680000.0,13465000.0
Accumulated Depreciation,-21095000.0,-13363000.0,-6833000.0,-3972000.0
Gross PPE,79428000.0,90106000.0,64513000.0,17437000.0
Leases,21834000.0,21668000.0,12039000.0,6338000.0
Construction In Progress,766000.0,7842000.0,3596000.0,3392000.0
Other Properties,,36892000.0,29552000.0,
Machinery Furniture Equipment,24035000.0,23704000.0,19326000.0,7707000.0
Buildings And Improvements,32793000.0,36892000.0,29552000.0,
Properties,0.0,0.0,0.0,0.0
Current Assets,221747000.0,312353000.0,368142000.0,132068000.0
Other Current Assets,4379000.0,3552000.0,5878000.0,
Prepaid Assets,,3552000.0,5878000.0,7409000.0
Inventory,84177000.0,124336000.0,153115000.0,77454000.0
Receivables,7696000.0,6554000.0,9752000.0,8927000.0
Accounts Receivable,7696000.0,6554000.0,9752000.0,8927000.0
Allowance For Doubtful Accounts Receivable,-200000.0,-200000.0,-300000.0,-100000.0
Gross Accounts Receivable,7896000.0,6754000.0,10052000.0,9027000.0
Cash Cash Equivalents And Short Term Investments,125495000.0,177911000.0,199397000.0,38278000.0
Cash And Cash Equivalents,125495000.0,177911000.0,199397000.0,38278000.0
Cash Financial,,,,306623.0
