,2024-01-31,2023-01-31,2022-01-31,2021-01-31
Treasury Shares Number,0.0,,,
Ordinary Shares Number,49079876.0,45432029.0,43847484.0,43282941.0
Share Issued,49079876.0,45432029.0,43847484.0,43282941.0
Total Debt,5286000.0,7660000.0,0.0,24948000.0
Tangible Book Value,130421000.0,150264000.0,183215000.0,-246342000.0
Invested Capital,130421000.0,150264000.0,183215000.0,-221394000.0
Working Capital,111780000.0,134522000.0,172685000.0,30682000.0
Net Tangible Assets,130421000.0,150264000.0,183215000.0,13480000.0
Capital Lease Obligations,5286000.0,7660000.0,0.0,
Common Stock Equity,130421000.0,150264000.0,183215000.0,-246342000.0
Preferred Stock Equity,,,,259822000.0
Total Capitalization,130421000.0,150264000.0,183215000.0,38428000.0
Total Equity Gross Minority Interest,130421000.0,150264000.0,183215000.0,13480000.0
Stockholders Equity,130421000.0,150264000.0,183215000.0,13480000.0
Gains Losses Not Affecting Retained Earnings,56000.0,-807000.0,-195000.0,1000.0
Other Equity Adjustments,56000.0,-807000.0,-195000.0,1000.0
Retained Earnings,-490659000.0,-410476000.0,-341982000.0,-283753000.0
Additional Paid In Capital,621024000.0,561547000.0,525392000.0,37410000.0
Capital Stock,0.0,0.0,0.0,259822000.0
Common Stock,0.0,0.0,0.0,0.0
Preferred Stock,0.0,0.0,0.0,259822000.0
Total Liabilities Net Minority Interest,117331000.0,102775000.0,93527000.0,103708000.0
Total Non Current Liabilities Net Minority Interest,4825000.0,7818000.0,3220000.0,30848000.0
Other Non Current Liabilities,,,507000.0,1358000.0
Preferred Securities Outside Stock Equity,,,,259822000.0
Non Current Deferred Liabilities,2747000.0,3275000.0,2713000.0,4542000.0
Non Current Deferred Revenue,2747000.0,3275000.0,2713000.0,4542000.0
Long Term Debt And Capital Lease Obligation,2078000.0,4543000.0,0.0,24948000.0
Long Term Capital Lease Obligation,2078000.0,4543000.0,0.0,
Long Term Debt,,,,24948000.0
Current Liabilities,112506000.0,94957000.0,90307000.0,72860000.0
Current Deferred Liabilities,81736000.0,71716000.0,69010000.0,57168000.0
Current Deferred Revenue,81736000.0,71716000.0,69010000.0,57168000.0
Current Debt And Capital Lease Obligation,3208000.0,3117000.0,,
Current Capital Lease Obligation,3208000.0,3117000.0,0.0,
Pensionand Other Post Retirement Benefit Plans Current,18116000.0,12641000.0,16143000.0,9110000.0
Payables And Accrued Expenses,9446000.0,7483000.0,5154000.0,6582000.0
Current Accrued Expenses,3891000.0,4596000.0,2146000.0,3303000.0
Interest Payable,,,,95000.0
Payables,5555000.0,2887000.0,3008000.0,3279000.0
Total Tax Payable,690000.0,1480000.0,1085000.0,851000.0
Income Tax Payable,173000.0,743000.0,414000.0,436000.0
Accounts Payable,4865000.0,1407000.0,1923000.0,2428000.0
Total Assets,247752000.0,253039000.0,276742000.0,117188000.0
Total Non Current Assets,23466000.0,23560000.0,13750000.0,13646000.0
Other Non Current Assets,1891000.0,1666000.0,1219000.0,2199000.0
Non Current Deferred Assets,11400000.0,7524000.0,8243000.0,4941000.0
Goodwill And Other Intangible Assets,,,,5772000.0
Other Intangible Assets,,,,5772000.0
Net PPE,10175000.0,14370000.0,4288000.0,6506000.0
Accumulated Depreciation,-12044000.0,-9666000.0,-7189000.0,-4365000.0
Gross PPE,22219000.0,24036000.0,11477000.0,10871000.0
Leases,1903000.0,1889000.0,1582000.0,1387000.0
Construction In Progress,2571000.0,3395000.0,0.0,0.0
Other Properties,4848000.0,6940000.0,,
Machinery Furniture Equipment,12897000.0,11812000.0,9895000.0,9484000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,224286000.0,229479000.0,262992000.0,103542000.0
Other Current Assets,1163000.0,1534000.0,1744000.0,266000.0
Current Deferred Assets,15421000.0,13096000.0,11783000.0,8353000.0
Prepaid Assets,9222000.0,6700000.0,6815000.0,2183000.0
Receivables,44848000.0,39847000.0,36696000.0,35897000.0
Accounts Receivable,44848000.0,39847000.0,36696000.0,35897000.0
Allowance For Doubtful Accounts Receivable,-224000.0,-173000.0,,
Gross Accounts Receivable,45072000.0,40020000.0,,
Cash Cash Equivalents And Short Term Investments,153632000.0,168302000.0,205954000.0,56843000.0
Other Short Term Investments,112281000.0,127856000.0,110266000.0,19546000.0
Cash And Cash Equivalents,41351000.0,40446000.0,95688000.0,37297000.0
