,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,9952803.0,9952803.0,,
Ordinary Shares Number,157287522.0,117069560.0,135566227.0,135566227.0
Share Issued,167240325.0,127022363.0,135566227.0,135566227.0
Net Debt,162945000.0,181745000.0,125697000.0,97290000.0
Total Debt,200594000.0,200275000.0,194597000.0,106994000.0
Tangible Book Value,-198058000.0,-172240000.0,-52914000.0,-81372000.0
Invested Capital,128167000.0,156505000.0,316965000.0,207391000.0
Working Capital,-4845000.0,18575000.0,136164000.0,22291000.0
Net Tangible Assets,-198058000.0,-172240000.0,-52914000.0,-81372000.0
Capital Lease Obligations,5092000.0,5898000.0,0.0,
Common Stock Equity,-67335000.0,-37872000.0,122368000.0,100397000.0
Total Capitalization,126938000.0,154446000.0,312732000.0,206291000.0
Total Equity Gross Minority Interest,-67335000.0,-37872000.0,122368000.0,100397000.0
Stockholders Equity,-67335000.0,-37872000.0,122368000.0,100397000.0
Treasury Stock,57350000.0,57350000.0,0.0,
Retained Earnings,-313430000.0,-253064000.0,-131390000.0,-7838000.0
Additional Paid In Capital,303428000.0,272528000.0,253744000.0,108224000.0
Capital Stock,17000.0,14000.0,14000.0,11000.0
Common Stock,17000.0,14000.0,14000.0,11000.0
Total Liabilities Net Minority Interest,267245000.0,233180000.0,260954000.0,117968000.0
Total Non Current Liabilities Net Minority Interest,198623000.0,197420000.0,190936000.0,105913000.0
Other Non Current Liabilities,,10000.0,324000.0,19000.0
Non Current Deferred Liabilities,37000.0,0.0,248000.0,0.0
Non Current Deferred Taxes Liabilities,37000.0,0.0,248000.0,0.0
Long Term Debt And Capital Lease Obligation,198586000.0,197410000.0,190364000.0,105894000.0
Long Term Capital Lease Obligation,4313000.0,5092000.0,0.0,
Long Term Debt,194273000.0,192318000.0,190364000.0,105894000.0
Current Liabilities,68622000.0,35760000.0,70018000.0,12055000.0
Other Current Liabilities,38464000.0,2085000.0,45368000.0,413000.0
Current Deferred Liabilities,879000.0,2022000.0,4207000.0,541000.0
Current Deferred Revenue,879000.0,2022000.0,4207000.0,541000.0
Current Debt And Capital Lease Obligation,2008000.0,2865000.0,4233000.0,1100000.0
Current Capital Lease Obligation,779000.0,806000.0,0.0,
Current Debt,1229000.0,2059000.0,4233000.0,1100000.0
Other Current Borrowings,1229000.0,2059000.0,4233000.0,1100000.0
Payables And Accrued Expenses,27271000.0,28788000.0,16210000.0,10001000.0
Current Accrued Expenses,16233000.0,13366000.0,10735000.0,7270000.0
Interest Payable,560000.0,567000.0,842000.0,
Payables,11038000.0,15422000.0,5475000.0,2731000.0
Accounts Payable,11038000.0,15422000.0,5475000.0,2731000.0
Total Assets,199910000.0,195308000.0,383322000.0,218365000.0
Total Non Current Assets,136133000.0,140973000.0,177140000.0,184019000.0
Other Non Current Assets,372000.0,483000.0,780000.0,593000.0
Non Current Deferred Assets,0.0,51000.0,0.0,794000.0
Non Current Deferred Taxes Assets,0.0,51000.0,0.0,794000.0
Goodwill And Other Intangible Assets,130723000.0,134368000.0,175282000.0,181769000.0
Other Intangible Assets,82040000.0,85685000.0,83646000.0,90498000.0
Goodwill,48683000.0,48683000.0,91636000.0,91271000.0
Net PPE,5038000.0,6071000.0,1078000.0,863000.0
Accumulated Depreciation,-1344000.0,-912000.0,-426000.0,-26000.0
Gross PPE,6382000.0,6983000.0,1504000.0,889000.0
Leases,397000.0,398000.0,117000.0,80000.0
Other Properties,4041000.0,4638000.0,,
Machinery Furniture Equipment,1944000.0,1947000.0,1387000.0,809000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,63777000.0,54335000.0,206182000.0,34346000.0
Other Current Assets,,,7028000.0,641000.0
Current Deferred Assets,0.0,3605000.0,546000.0,
Restricted Cash,,0.0,101021000.0,0.0
Prepaid Assets,4449000.0,6695000.0,6482000.0,641000.0
Receivables,26771000.0,31403000.0,29233000.0,24001000.0
Other Receivables,4822000.0,1312000.0,628000.0,2575000.0
Taxes Receivable,,1827000.0,,
Accounts Receivable,21949000.0,30091000.0,28605000.0,21426000.0
Allowance For Doubtful Accounts Receivable,-230000.0,-98000.0,-43000.0,-43000.0
Gross Accounts Receivable,22179000.0,30189000.0,28648000.0,21469000.0
Cash Cash Equivalents And Short Term Investments,32557000.0,12632000.0,68900000.0,9704000.0
Cash And Cash Equivalents,32557000.0,12632000.0,68900000.0,9704000.0
