,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-2303070.0,-822654.0,-9783180.0
Tax Rate For Calcs,0.21,0.014,0.27
Normalized EBITDA,-27197000.0,-42436000.0,-71210000.0
Total Unusual Items,-10967000.0,-58761000.0,-36234000.0
Total Unusual Items Excluding Goodwill,-10967000.0,-58761000.0,-36234000.0
Net Income From Continuing Operation Net Minority Interest,-60366000.0,-121674000.0,-123552000.0
Reconciled Depreciation,7901000.0,7758000.0,7262000.0
Reconciled Cost Of Revenue,114563000.0,112018000.0,111510000.0
EBITDA,-38164000.0,-101197000.0,-107444000.0
EBIT,-46065000.0,-108955000.0,-114706000.0
Net Interest Income,-14200000.0,-14436000.0,-7762000.0
Interest Expense,14200000.0,14436000.0,7762000.0
Normalized Income,-51702070.0,-63735654.0,-97101180.0
Net Income From Continuing And Discontinued Operation,-60366000.0,-121674000.0,-123552000.0
Total Expenses,190655000.0,205186000.0,224050000.0
Total Operating Income As Reported,-39034000.0,-110527000.0,-78472000.0
Diluted Average Shares,149234917.0,128077895.0,107436522.0
Basic Average Shares,149234917.0,128077895.0,107436522.0
Diluted EPS,-0.4,-0.95,-1.15
Basic EPS,-0.4,-0.95,-1.15
Diluted NI Availto Com Stockholders,-60366000.0,-121674000.0,-123552000.0
Net Income Common Stockholders,-60366000.0,-121674000.0,-123552000.0
Net Income,-60366000.0,-121674000.0,-123552000.0
Net Income Including Noncontrolling Interests,-60366000.0,-121674000.0,-123552000.0
Net Income Continuous Operations,-60366000.0,-121674000.0,-123552000.0
Tax Provision,101000.0,-1717000.0,1084000.0
Pretax Income,-60265000.0,-123391000.0,-122468000.0
Other Income Expense,-10574000.0,-58780000.0,-36234000.0
Other Non Operating Income Expenses,393000.0,-19000.0,
Special Income Charges,-3543000.0,-60352000.0,-2881000.0
Other Special Charges,,,2881000.0
Impairment Of Capital Assets,0.0,53544000.0,0.0
Restructuring And Mergern Acquisition,3543000.0,6808000.0,0.0
Gain On Sale Of Security,-7424000.0,1591000.0,-33353000.0
Net Non Operating Interest Income Expense,-14200000.0,-14436000.0,-7762000.0
Interest Expense Non Operating,14200000.0,14436000.0,7762000.0
Operating Income,-35491000.0,-50175000.0,-78472000.0
Operating Expense,76092000.0,93168000.0,112540000.0
Research And Development,5035000.0,8393000.0,6033000.0
Selling General And Administration,71057000.0,84775000.0,106507000.0
Gross Profit,40601000.0,42993000.0,34068000.0
Cost Of Revenue,114563000.0,112018000.0,111510000.0
Total Revenue,155164000.0,155011000.0,145578000.0
Operating Revenue,155164000.0,155011000.0,145578000.0
