,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,76944000.0,86267000.0,-396553000.0,-218131000.0
Repurchase Of Capital Stock,-14772000.0,-32105000.0,0.0,-7131000.0
Repayment Of Debt,-113105000.0,-148061000.0,-506580000.0,-694205000.0
Issuance Of Debt,93447000.0,244657000.0,955732000.0,861707000.0
Issuance Of Capital Stock,,0.0,0.0,160354000.0
End Cash Position,70528000.0,139415000.0,84253000.0,92487000.0
Beginning Cash Position,139415000.0,84253000.0,92487000.0,21992000.0
Changes In Cash,-68887000.0,55162000.0,-8234000.0,70495000.0
Financing Cash Flow,-145831000.0,-31105000.0,388319000.0,288626000.0
Net Other Financing Charges,0.0,0.0,0.0,0.0
Interest Paid Cff,-2404000.0,-1870000.0,-7274000.0,-774000.0
Cash Dividends Paid,-108997000.0,-93726000.0,-53559000.0,-31325000.0
Common Stock Dividend Paid,-108997000.0,-93726000.0,-53559000.0,-31325000.0
Net Common Stock Issuance,-14772000.0,-32105000.0,0.0,153223000.0
Common Stock Payments,-14772000.0,-32105000.0,0.0,-7131000.0
Common Stock Issuance,,0.0,0.0,160354000.0
Net Issuance Payments Of Debt,-19658000.0,96596000.0,449152000.0,167502000.0
Net Long Term Debt Issuance,-19658000.0,96596000.0,449152000.0,167502000.0
Long Term Debt Payments,-113105000.0,-148061000.0,-506580000.0,-694205000.0
Long Term Debt Issuance,93447000.0,244657000.0,955732000.0,861707000.0
Investing Cash Flow,,,,0.0
Net PPE Purchase And Sale,,,,0.0
Sale Of PPE,,,,0.0
Operating Cash Flow,76944000.0,86267000.0,-396553000.0,-218131000.0
Change In Working Capital,2628000.0,-23632000.0,-10741000.0,-1780000.0
Change In Other Current Liabilities,0.0,0.0,0.0,0.0
Change In Payable,9521000.0,-5821000.0,5929000.0,2479000.0
Change In Prepaid Assets,-462000.0,-3214000.0,-2198000.0,-45000.0
Change In Receivables,-6431000.0,-14597000.0,-14472000.0,-4214000.0
Other Non Cash Items,-33575000.0,-31241000.0,-23265000.0,-1304000.0
Depreciation And Amortization,,,,0.0
Depreciation,,,,0.0
Gain Loss On Investment Securities,-37623000.0,35996000.0,-459369000.0,-155846000.0
Net Foreign Currency Exchange Gain Loss,9229000.0,-21553000.0,-11367000.0,10149000.0
Net Income From Continuing Operations,127999000.0,4681000.0,77685000.0,8177000.0
