,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.013001,0.230984,0.000103,0.006319
Net Income From Continuing Operation Net Minority Interest,127999000.0,4681000.0,77685000.0,8177000.0
Reconciled Depreciation,,,,0.0
Net Interest Income,154172000.0,117137000.0,80422000.0,47135000.0
Interest Expense,84711000.0,56865000.0,33014000.0,19813000.0
Interest Income,238883000.0,174002000.0,113436000.0,66948000.0
Normalized Income,127999000.0,4681000.0,77685000.0,8177000.0
Net Income From Continuing And Discontinued Operation,127999000.0,4681000.0,77685000.0,8177000.0
Diluted Average Shares,107040677.0,102911986.0,65316085.0,48575139.0
Basic Average Shares,107040677.0,102911986.0,65316085.0,48575139.0
Diluted EPS,1.2,0.05,1.19,0.17
Basic EPS,1.2,0.05,1.19,0.17
Diluted NI Availto Com Stockholders,127999000.0,4681000.0,77685000.0,8177000.0
Net Income Common Stockholders,127999000.0,4681000.0,77685000.0,8177000.0
Net Income,127999000.0,4681000.0,77685000.0,8177000.0
Net Income Including Noncontrolling Interests,127999000.0,4681000.0,77685000.0,8177000.0
Net Income Continuous Operations,127999000.0,4681000.0,77685000.0,8177000.0
Tax Provision,1686000.0,1406000.0,8000.0,52000.0
Pretax Income,129685000.0,6087000.0,77693000.0,8229000.0
Gain On Sale Of Security,-66910000.0,14120000.0,2268000.0,-38302000.0
Operating Expense,9984000.0,9917000.0,9095000.0,8931000.0
Other Operating Expenses,,,,3089000.0
Selling General And Administration,9984000.0,9917000.0,9095000.0,5794000.0
General And Administrative Expense,9984000.0,9917000.0,9095000.0,5794000.0
Total Revenue,139669000.0,16004000.0,86788000.0,17160000.0
Operating Revenue,139669000.0,16004000.0,86788000.0,17160000.0
