,2023-12-31,2022-12-31,2021-07-31,2020-07-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.0,0.27,0.27
Net Income From Continuing Operation Net Minority Interest,119457375.0,-400183343.0,112850753.0,143391780.0
Net Interest Income,62978944.0,80526250.0,88672876.0,95128988.0
Interest Expense,28643857.0,11733041.0,4891046.0,14914798.0
Interest Income,91622801.0,92259291.0,93563922.0,110043786.0
Normalized Income,119457375.0,-400183343.0,112850753.0,143391780.0
Net Income From Continuing And Discontinued Operation,119457375.0,-400183343.0,112850753.0,143391780.0
Diluted Average Shares,,60268576.0,58471893.0,57356712.0
Basic Average Shares,,60268576.0,58471893.0,57356712.0
Diluted EPS,,-6.64,1.93,2.5
Basic EPS,,-6.64,1.93,2.5
Diluted NI Availto Com Stockholders,119457375.0,-400183343.0,112850753.0,143391780.0
Net Income Common Stockholders,119457375.0,-400183343.0,112850753.0,143391780.0
Net Income,119457375.0,-400183343.0,112850753.0,143391780.0
Net Income Including Noncontrolling Interests,119457375.0,-400183343.0,112850753.0,143391780.0
Net Income Continuous Operations,119457375.0,-400183343.0,112850753.0,143391780.0
Pretax Income,119457375.0,-400183343.0,112850753.0,143391780.0
Gain On Sale Of Security,-16082628.0,2097099.0,30628843.0,-54447339.0
Operating Expense,535238.0,383674.0,770422.0,693786.0
Other Operating Expenses,102136.0,48710.0,96091.0,83388.0
Selling General And Administration,433102.0,334964.0,674331.0,610398.0
General And Administrative Expense,433102.0,334964.0,674331.0,610398.0
Total Revenue,119992613.0,-399799669.0,113621175.0,144085566.0
Operating Revenue,119992613.0,-399799669.0,113621175.0,144085566.0
