,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-2540000000.0,21276000000.0,-2188000000.0,38226000000.0
Repurchase Of Capital Stock,-2166000000.0,-2983000000.0,-1022000000.0,-807000000.0
Repayment Of Debt,-1629000000.0,-2258000000.0,-2301000000.0,-2820000000.0
Issuance Of Debt,4672000000.0,0.0,0.0,2425000000.0
Issuance Of Capital Stock,711000000.0,434000000.0,438000000.0,822000000.0
Capital Expenditure,-1819000000.0,-2442000000.0,-946000000.0,-1123000000.0
End Cash Position,75416000000.0,79756000000.0,67799000000.0,76888000000.0
Beginning Cash Position,79756000000.0,67799000000.0,76888000000.0,44303000000.0
Effect Of Exchange Rate Changes,-357000000.0,-288000000.0,-1864000000.0,-4658000000.0
Changes In Cash,-3982000000.0,12244000000.0,-7225000000.0,37243000000.0
Financing Cash Flow,-1842000000.0,-7563000000.0,-4349000000.0,-2069000000.0
Cash Flow From Continuing Financing Activities,-1842000000.0,-7563000000.0,-4349000000.0,-2069000000.0
Net Other Financing Charges,-622000000.0,-571000000.0,-538000000.0,-624000000.0
Cash Dividends Paid,-2808000000.0,-2185000000.0,-926000000.0,-1065000000.0
Common Stock Dividend Paid,-2808000000.0,-2185000000.0,-926000000.0,-1065000000.0
Net Common Stock Issuance,-1455000000.0,-2549000000.0,-584000000.0,15000000.0
Common Stock Payments,-2166000000.0,-2983000000.0,-1022000000.0,-807000000.0
Common Stock Issuance,711000000.0,434000000.0,438000000.0,822000000.0
Net Issuance Payments Of Debt,3043000000.0,-2258000000.0,-2301000000.0,-395000000.0
Net Long Term Debt Issuance,3043000000.0,-2258000000.0,-2301000000.0,-395000000.0
Long Term Debt Payments,-1629000000.0,-2258000000.0,-2301000000.0,-2820000000.0
Long Term Debt Issuance,4672000000.0,0.0,0.0,2425000000.0
Investing Cash Flow,-1419000000.0,-3911000000.0,-1634000000.0,-37000000.0
Cash Flow From Continuing Investing Activities,-1420000000.0,-3910000000.0,-1634000000.0,-37000000.0
Net Other Investing Changes,322000000.0,-155000000.0,-806000000.0,283000000.0
Net Investment Purchase And Sale,-35000000.0,46000000.0,30000000.0,245000000.0
Sale Of Investment,58000000.0,127000000.0,80000000.0,307000000.0
Purchase Of Investment,-93000000.0,-81000000.0,-50000000.0,-62000000.0
Net Business Purchase And Sale,21000000.0,-1389000000.0,10000000.0,0.0
Sale Of Business,21000000.0,0.0,10000000.0,0.0
Purchase Of Business,0.0,-1389000000.0,0.0,0.0
Net Intangibles Purchase And Sale,-690000000.0,-630000000.0,-550000000.0,-491000000.0
Sale Of Intangibles,0.0,0.0,0.0,0.0
Purchase Of Intangibles,-690000000.0,-630000000.0,-550000000.0,-491000000.0
Net PPE Purchase And Sale,-1037000000.0,-1783000000.0,-318000000.0,-74000000.0
Sale Of PPE,92000000.0,29000000.0,78000000.0,558000000.0
Purchase Of PPE,-1129000000.0,-1812000000.0,-396000000.0,-632000000.0
Operating Cash Flow,-721000000.0,23718000000.0,-1242000000.0,39349000000.0
Cash Flow From Continuing Operating Activities,-722000000.0,23719000000.0,-1242000000.0,39347000000.0
Taxes Refund Paid,-5353000000.0,-3234000000.0,-1546000000.0,-1955000000.0
Change In Working Capital,-15935000000.0,8444000000.0,-13002000000.0,27589000000.0
Change In Other Working Capital,-15319000000.0,9009000000.0,-13536000000.0,28391000000.0
Change In Other Current Liabilities,-1092000000.0,-17000000.0,-58000000.0,-787000000.0
Change In Other Current Assets,476000000.0,-548000000.0,592000000.0,-15000000.0
Other Non Cash Items,10748000000.0,10417000000.0,6454000000.0,10367000000.0
Depreciation Amortization Depletion,1403000000.0,1328000000.0,1234000000.0,1288000000.0
Depreciation And Amortization,1403000000.0,1328000000.0,1234000000.0,1288000000.0
Amortization Cash Flow,536000000.0,510000000.0,494000000.0,507000000.0
Amortization Of Intangibles,536000000.0,510000000.0,494000000.0,507000000.0
Depreciation,867000000.0,818000000.0,740000000.0,781000000.0
Net Income From Continuing Operations,8416000000.0,6763000000.0,5618000000.0,2060000000.0
