,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0
Normalized EBITDA,-128466000.0,-106941000.0,-94759000.0,-28992000.0
Total Unusual Items,,0.0,690000.0,-4464000.0
Total Unusual Items Excluding Goodwill,,0.0,690000.0,-4464000.0
Net Income From Continuing Operation Net Minority Interest,-123462000.0,-106482000.0,-95402000.0,-35853000.0
Reconciled Depreciation,1221000.0,1199000.0,1330000.0,1008000.0
EBITDA,-128466000.0,-106941000.0,-94069000.0,-33456000.0
EBIT,-129687000.0,-108140000.0,-95399000.0,-34464000.0
Net Interest Income,6312000.0,1648000.0,347000.0,-1289000.0
Interest Expense,,0.0,3000.0,1389000.0
Interest Income,6312000.0,1648000.0,350000.0,100000.0
Normalized Income,-123462000.0,-106482000.0,-96092000.0,-31389000.0
Net Income From Continuing And Discontinued Operation,-123462000.0,-106482000.0,-95402000.0,-35853000.0
Total Expenses,129687000.0,108140000.0,96690000.0,30528000.0
Total Operating Income As Reported,-129687000.0,-108140000.0,-96440000.0,-30099000.0
Diluted Average Shares,47777568.0,38927268.0,34561245.0,8428153.0
Basic Average Shares,47777568.0,38927268.0,34561245.0,8428153.0
Diluted EPS,-2.58,-2.74,-2.76,-3.19
Basic EPS,-2.58,-2.74,-2.76,-3.19
Diluted NI Availto Com Stockholders,-123462000.0,-106482000.0,-95402000.0,-35853000.0
Net Income Common Stockholders,-123462000.0,-106482000.0,-95402000.0,-35853000.0
Net Income,-123462000.0,-106482000.0,-95402000.0,-35853000.0
Minority Interests,,,0.0,0.0
Net Income Including Noncontrolling Interests,-123462000.0,-106482000.0,-95402000.0,-35853000.0
Net Income Continuous Operations,-123462000.0,-106482000.0,-95402000.0,-35853000.0
Pretax Income,-123462000.0,-106482000.0,-95402000.0,-35853000.0
Other Income Expense,-87000.0,10000.0,691000.0,-4465000.0
Other Non Operating Income Expenses,-87000.0,10000.0,1000.0,-1000.0
Special Income Charges,,0.0,690000.0,-2883000.0
Other Special Charges,,,-690000.0,2883000.0
Gain On Sale Of Security,,,,-1581000.0
Net Non Operating Interest Income Expense,6312000.0,1648000.0,347000.0,-1289000.0
Interest Expense Non Operating,,0.0,3000.0,1389000.0
Interest Income Non Operating,6312000.0,1648000.0,350000.0,100000.0
Operating Income,-129687000.0,-108140000.0,-96440000.0,-30099000.0
Operating Expense,129687000.0,108140000.0,96690000.0,30528000.0
Research And Development,103731000.0,79347000.0,58274000.0,19933000.0
Selling General And Administration,25956000.0,28793000.0,38416000.0,10595000.0
General And Administrative Expense,25956000.0,28793000.0,38416000.0,10595000.0
Other Gand A,25956000.0,28793000.0,38416000.0,10595000.0
Total Revenue,0.0,0.0,250000.0,429000.0
Operating Revenue,0.0,0.0,250000.0,429000.0
