,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,181325694.0,867860464.0,-591166948.0,-2145418080.0
Repurchase Of Capital Stock,-11498106.0,-52768302.0,-13087303.0,
Repayment Of Debt,-1804769.0,-688518581.0,,
Issuance Of Debt,,288724.0,690034626.0,
Issuance Of Capital Stock,,,0.0,2231833240.0
End Cash Position,34295611.0,30518465.0,42774035.0,77858371.0
Beginning Cash Position,30518465.0,42774035.0,77858371.0,100000.0
Effect Of Exchange Rate Changes,43500.0,-208278.0,71458.0,9712.0
Changes In Cash,3733646.0,-12047292.0,-35155794.0,77748659.0
Financing Cash Flow,-177592048.0,-879907756.0,556011154.0,2223166739.0
Net Other Financing Charges,0.0,0.0,0.0,0.0
Cash Dividends Paid,-164289173.0,-138909597.0,-120936169.0,-8666501.0
Common Stock Dividend Paid,-164289173.0,-138909597.0,-120936169.0,-8666501.0
Net Common Stock Issuance,-11498106.0,-52768302.0,-13087303.0,2231833240.0
Common Stock Payments,-11498106.0,-52768302.0,-13087303.0,
Common Stock Issuance,,,0.0,2231833240.0
Net Issuance Payments Of Debt,-1804769.0,-688229857.0,690034626.0,
Net Long Term Debt Issuance,-1804769.0,-688229857.0,690034626.0,
Long Term Debt Payments,-1804769.0,-688518581.0,,
Long Term Debt Issuance,,288724.0,690034626.0,
Operating Cash Flow,181325694.0,867860464.0,-591166948.0,-2145418080.0
Change In Working Capital,6035469.0,2351998.0,-1241497.0,-7613160.0
Change In Other Current Liabilities,5672271.0,-1086757.0,1497823.0,1464775.0
Change In Other Current Assets,14957.0,-14957.0,,
Change In Accrued Expense,-201.0,10475.0,41101.0,196697.0
Change In Payable,783381.0,472535.0,1522648.0,2705627.0
Change In Prepaid Assets,-1625.0,41745.0,-43961.0,-12823.0
Change In Receivables,-433314.0,2928957.0,-4259108.0,-11967436.0
Other Non Cash Items,-1291894.0,-2299911.0,1808493.0,443473.0
Gain Loss On Investment Securities,-28142098.0,1190332054.0,-713023038.0,-2266676534.0
Net Income From Continuing Operations,204724217.0,-322523677.0,121289094.0,128428141.0
