,2023-12-31,2022-12-31
Ordinary Shares Number,51760925.0,51760925.0
Share Issued,51760925.0,51760925.0
Total Debt,657000.0,0.0
Tangible Book Value,-148769000.0,-98803000.0
Invested Capital,-148769000.0,-98803000.0
Working Capital,215988000.0,-18912000.0
Net Tangible Assets,-148769000.0,-98803000.0
Capital Lease Obligations,657000.0,0.0
Common Stock Equity,-148769000.0,-98803000.0
Total Capitalization,-148769000.0,-98803000.0
Total Equity Gross Minority Interest,-148769000.0,-98803000.0
Stockholders Equity,-148769000.0,-98803000.0
Retained Earnings,-153021000.0,-101036000.0
Additional Paid In Capital,4250000.0,2231000.0
Capital Stock,2000.0,2000.0
Common Stock,2000.0,2000.0
Total Liabilities Net Minority Interest,382751000.0,105506000.0
Total Non Current Liabilities Net Minority Interest,367666000.0,81610000.0
Other Non Current Liabilities,17000.0,85000.0
Preferred Securities Outside Stock Equity,367277000.0,81525000.0
Long Term Debt And Capital Lease Obligation,372000.0,0.0
Long Term Capital Lease Obligation,372000.0,0.0
Current Liabilities,15085000.0,23896000.0
Current Debt And Capital Lease Obligation,285000.0,
Current Capital Lease Obligation,285000.0,0.0
Pensionand Other Post Retirement Benefit Plans Current,1742000.0,1176000.0
Payables And Accrued Expenses,13058000.0,22720000.0
Current Accrued Expenses,9872000.0,17583000.0
Interest Payable,0.0,1000.0
Payables,3186000.0,5137000.0
Accounts Payable,3186000.0,5137000.0
Total Assets,233982000.0,6703000.0
Total Non Current Assets,2909000.0,1719000.0
Other Non Current Assets,2094000.0,1083000.0
Net PPE,815000.0,636000.0
Gross PPE,815000.0,636000.0
Other Properties,815000.0,636000.0
Current Assets,231073000.0,4984000.0
Other Current Assets,633000.0,826000.0
Cash Cash Equivalents And Short Term Investments,230440000.0,4158000.0
Cash And Cash Equivalents,230440000.0,4158000.0
