,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,1639088000000.0,50486000000.0,2939840000000.0,-2520308000000.0
Repayment Of Debt,-1908924000000.0,-1598950000000.0,-1385282000000.0,-2240296000000.0
Issuance Of Debt,1224480000000.0,1882843000000.0,1661016000000.0,889135000000.0
Capital Expenditure,-86699000000.0,-78126000000.0,-65801000000.0,-47949000000.0
Interest Paid Supplemental Data,1434701000000.0,1344895000000.0,262894000000.0,505557000000.0
Income Tax Paid Supplemental Data,,,,70686000000.0
End Cash Position,2991032000000.0,3152128000000.0,3995124000000.0,2275410000000.0
Beginning Cash Position,3152128000000.0,3995124000000.0,2275410000000.0,3110246000000.0
Effect Of Exchange Rate Changes,15637000000.0,38010000000.0,324965000000.0,-34366000000.0
Changes In Cash,-176733000000.0,-881006000000.0,1394749000000.0,-800470000000.0
Financing Cash Flow,-1556020000000.0,-161803000000.0,1376413000000.0,1461583000000.0
Cash Flow From Continuing Financing Activities,-1556020000000.0,-161803000000.0,1376413000000.0,1461583000000.0
Net Other Financing Charges,-4647000000.0,94145000000.0,83136000000.0,52682000000.0
Cash Dividends Paid,-866929000000.0,-539827000000.0,-220271000000.0,-350538000000.0
Common Stock Dividend Paid,-866929000000.0,-539827000000.0,-220271000000.0,-350538000000.0
Net Issuance Payments Of Debt,-684444000000.0,283893000000.0,275734000000.0,-1351161000000.0
Net Short Term Debt Issuance,-588696000000.0,-182876000000.0,339272000000.0,-314834000000.0
Short Term Debt Payments,-1813176000000.0,-1538692000000.0,-1321744000000.0,-1203969000000.0
Short Term Debt Issuance,1224480000000.0,1355816000000.0,1661016000000.0,889135000000.0
Net Long Term Debt Issuance,-95748000000.0,466769000000.0,-63538000000.0,-1036327000000.0
Long Term Debt Payments,-95748000000.0,-60258000000.0,-63538000000.0,-1036327000000.0
Long Term Debt Issuance,,527027000000.0,1661016000000.0,889135000000.0
Investing Cash Flow,-346500000000.0,-847815000000.0,-2987305000000.0,210306000000.0
Cash Flow From Continuing Investing Activities,-346500000000.0,-847815000000.0,-2987305000000.0,210306000000.0
Net Other Investing Changes,-32084000000.0,-32375000000.0,-30585000000.0,-28705000000.0
Dividends Received Cfi,4675000000.0,3622000000.0,1097000000.0,1001000000.0
Net Investment Purchase And Sale,-236018000000.0,-742268000000.0,-2884383000000.0,285558000000.0
Net Business Purchase And Sale,0.0,0.0,-7847000000.0,0.0
Purchase Of Business,0.0,0.0,-7847000000.0,0.0
Net Intangibles Purchase And Sale,-59955000000.0,-56891000000.0,-30222000000.0,-18631000000.0
Purchase Of Intangibles,-59955000000.0,-56891000000.0,-30222000000.0,-18631000000.0
Net PPE Purchase And Sale,-23118000000.0,-19903000000.0,-35365000000.0,-28917000000.0
Sale Of PPE,3626000000.0,1332000000.0,214000000.0,401000000.0
Purchase Of PPE,-26744000000.0,-21235000000.0,-35579000000.0,-29318000000.0
Operating Cash Flow,1725787000000.0,128612000000.0,3005641000000.0,-2472359000000.0
Cash Flow From Continuing Operating Activities,1725787000000.0,128612000000.0,3005641000000.0,-2472359000000.0
Change In Working Capital,-194716000000.0,-1022055000000.0,2233835000000.0,-3825685000000.0
Change In Other Working Capital,1119421000000.0,645056000000.0,3915688000000.0,-851419000000.0
Change In Other Current Assets,,,,13730000000.0
Change In Receivables,-340369000000.0,-640682000000.0,1409687000000.0,-1800134000000.0
Changes In Account Receivables,-340369000000.0,-640682000000.0,1409687000000.0,-1800134000000.0
Other Non Cash Items,-45933000000.0,24339000000.0,24332000000.0,349920000000.0
Unrealized Gain Loss On Investment Securities,2318000000.0,-5721000000.0,6568000000.0,-1161000000.0
Asset Impairment Charge,2247000000.0,115000000.0,2108000000.0,-2991000000.0
Deferred Tax,44545000000.0,-91001000000.0,20163000000.0,-58895000000.0
Deferred Income Tax,44545000000.0,-91001000000.0,20163000000.0,-58895000000.0
Depreciation Amortization Depletion,92308000000.0,84205000000.0,76798000000.0,73357000000.0
Depreciation And Amortization,92308000000.0,84205000000.0,76798000000.0,73357000000.0
Amortization Cash Flow,29346000000.0,21502000000.0,17831000000.0,
Amortization Of Intangibles,29346000000.0,21502000000.0,17831000000.0,
Depreciation,62962000000.0,62703000000.0,58967000000.0,
Operating Gains Losses,185791000000.0,-784941000000.0,-504059000000.0,-2051000000.0
Earnings Losses From Equity Investments,-13409000000.0,-13031000000.0,-1793000000.0,5099000000.0
Net Foreign Currency Exchange Gain Loss,203529000000.0,-766814000000.0,-500215000000.0,-7117000000.0
Gain Loss On Sale Of PPE,-2971000000.0,-1043000000.0,-214000000.0,-30000000.0
Net Income From Continuing Operations,1374027000000.0,1445801000000.0,1056317000000.0,401630000000.0
