,2024-07-31,2023-07-31,2022-07-31,2021-07-31,2020-07-31
Free Cash Flow,-24582929.0,-23744860.0,-12484376.0,-7750188.0,
Repurchase Of Capital Stock,0.0,-47294.0,-10171732.0,0.0,
Repayment Of Debt,,,0.0,-546108.0,-388733.0
Issuance Of Debt,,,0.0,215710.0,411199.0
Issuance Of Capital Stock,4418926.0,4000000.0,0.0,51622337.0,
Capital Expenditure,-456801.0,,,,
End Cash Position,862089.0,21251092.0,41041652.0,57268685.0,
Beginning Cash Position,21251092.0,41041652.0,57268685.0,21249.0,
Effect Of Exchange Rate Changes,,,,0.0,-43951.0
Changes In Cash,-20389003.0,-19790560.0,-16227033.0,57247436.0,
Financing Cash Flow,4418926.0,3954300.0,-3742657.0,64997624.0,
Cash Flow From Continuing Financing Activities,4418926.0,3954300.0,-3742657.0,64997624.0,
Net Other Financing Charges,,,-80693.0,,
Proceeds From Stock Option Exercised,0.0,1594.0,6509768.0,13705685.0,
Net Common Stock Issuance,4418926.0,3952706.0,-10171732.0,51622337.0,
Common Stock Payments,0.0,-47294.0,-10171732.0,0.0,
Common Stock Issuance,4418926.0,4000000.0,0.0,51622337.0,
Net Issuance Payments Of Debt,,,0.0,-330398.0,22466.0
Net Short Term Debt Issuance,,,0.0,-330398.0,411199.0
Short Term Debt Payments,,,0.0,-546108.0,0.0
Short Term Debt Issuance,,,0.0,215710.0,411199.0
Net Long Term Debt Issuance,,,,-93935.0,-388733.0
Long Term Debt Payments,,,,-309645.0,-388733.0
Long Term Debt Issuance,,,,215710.0,
Investing Cash Flow,-681801.0,0.0,,0.0,0.0
Cash Flow From Continuing Investing Activities,-681801.0,0.0,,0.0,0.0
Net Investment Purchase And Sale,,,,0.0,0.0
Net Business Purchase And Sale,-225000.0,0.0,,,
Purchase Of Business,-225000.0,0.0,,,
Net PPE Purchase And Sale,-456801.0,0.0,,,
Purchase Of PPE,-456801.0,0.0,,,
Operating Cash Flow,-24126128.0,-23744860.0,-12484376.0,-7750188.0,
Cash Flow From Continuing Operating Activities,-24126128.0,-23744860.0,-12484376.0,-7750188.0,
Change In Working Capital,7053407.0,-3531997.0,-391292.0,-2282106.0,
Change In Payables And Accrued Expense,5659703.0,860370.0,384292.0,-2191063.0,
Change In Accrued Expense,-387339.0,199911.0,135128.0,-785399.0,
Change In Payable,6047042.0,660459.0,249164.0,-1405664.0,
Change In Account Payable,6047042.0,660459.0,249164.0,-1405664.0,
Change In Prepaid Assets,2126282.0,-4397597.0,-764054.0,-100984.0,
Change In Receivables,-732578.0,5230.0,-11530.0,9941.0,
Other Non Cash Items,,,-2409.0,1875772.0,70581.0
Stock Based Compensation,1804078.0,2193790.0,3074584.0,1968226.0,
Depreciation Amortization Depletion,83897.0,15271.0,15272.0,15256.0,
Depreciation And Amortization,83897.0,15271.0,15272.0,15256.0,
Amortization Cash Flow,15271.0,15271.0,15272.0,,
Amortization Of Intangibles,15271.0,15271.0,15272.0,,
Depreciation,68626.0,0.0,,,
Operating Gains Losses,-28135962.0,-2119530.0,11658372.0,4488864.0,
Earnings Losses From Equity Investments,106510.0,0.0,,,
Gain Loss On Investment Securities,-28242472.0,-2119530.0,11658372.0,4448957.0,
Net Foreign Currency Exchange Gain Loss,,,,0.0,5075.0
Net Income From Continuing Operations,-4931548.0,-20302394.0,-26838903.0,-13816200.0,
