,2024-09-30,2022-10-31,2021-10-31,2020-10-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.0,0.27,0.27
Net Income From Continuing Operation Net Minority Interest,13901411.0,-48804554.0,42238197.0,26951925.0
Net Interest Income,4210387.0,1452290.0,1786267.0,1871213.0
Interest Expense,1594.0,1102.0,655.0,253.0
Interest Income,4211981.0,1453392.0,1786922.0,1871466.0
Normalized Income,13901411.0,-48804554.0,42238197.0,26951925.0
Net Income From Continuing And Discontinued Operation,13901411.0,-48804554.0,42238197.0,26951925.0
Diluted Average Shares,,,5181849.0,4997914.0
Basic Average Shares,,,5181849.0,4997914.0
Diluted EPS,,,7.84,5.07
Basic EPS,,,7.84,5.07
Diluted NI Availto Com Stockholders,12299840.0,-50417054.0,40625697.0,25339425.0
Net Income Common Stockholders,12299840.0,-50417054.0,40625697.0,25339425.0
Preferred Stock Dividends,1601571.0,1612500.0,1612500.0,1612500.0
Net Income,13901411.0,-48804554.0,42238197.0,26951925.0
Net Income Including Noncontrolling Interests,13901411.0,-48804554.0,42238197.0,26951925.0
Net Income Continuous Operations,13901411.0,-48804554.0,42238197.0,26951925.0
Pretax Income,13901411.0,-48804554.0,42238197.0,26951925.0
Gain On Sale Of Security,5897310.0,5562229.0,22884089.0,16528668.0
Operating Expense,499648.0,428419.0,572622.0,561715.0
Other Operating Expenses,-2432.0,-2263.0,-1918.0,-2072.0
Selling General And Administration,430318.0,362090.0,507557.0,491854.0
General And Administrative Expense,430318.0,362090.0,507557.0,491854.0
Total Revenue,14401059.0,-48376135.0,42810819.0,27513640.0
Operating Revenue,14401059.0,-48376135.0,42810819.0,27513640.0
