,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,20813000.0,-53707000.0,55753000.0,65556000.0
Repurchase Of Capital Stock,-5000.0,-4006000.0,-2334000.0,-60000000.0
Repayment Of Debt,-367664000.0,-708634000.0,-131000000.0,-412993000.0
Issuance Of Debt,543824000.0,828000000.0,154000000.0,318000000.0
Issuance Of Capital Stock,,,,0.0
Capital Expenditure,-156460000.0,-263014000.0,-135121000.0,-160250000.0
Interest Paid Supplemental Data,107838000.0,85761000.0,72391000.0,79498000.0
Income Tax Paid Supplemental Data,550000.0,902000.0,785000.0,688000.0
End Cash Position,67534000.0,18387000.0,28300000.0,47077000.0
Beginning Cash Position,18387000.0,28300000.0,47077000.0,91170000.0
Changes In Cash,49147000.0,-9913000.0,-18777000.0,-44093000.0
Financing Cash Flow,46786000.0,-28631000.0,-109336000.0,-288189000.0
Cash Flow From Continuing Financing Activities,46786000.0,-28631000.0,-109336000.0,-288189000.0
Net Other Financing Charges,-4743000.0,-10326000.0,2078000.0,-747000.0
Proceeds From Stock Option Exercised,-371000.0,-2941000.0,-1825000.0,-1299000.0
Cash Dividends Paid,-124255000.0,-130724000.0,-130255000.0,-131150000.0
Common Stock Dividend Paid,,,,-131150000.0
Net Common Stock Issuance,-5000.0,-4006000.0,-2334000.0,-60000000.0
Common Stock Payments,-5000.0,-4006000.0,-2334000.0,-60000000.0
Common Stock Issuance,,,,0.0
Net Issuance Payments Of Debt,176160000.0,119366000.0,23000000.0,-94993000.0
Net Short Term Debt Issuance,-88500000.0,65500000.0,23000000.0,0.0
Short Term Debt Payments,-303500000.0,-412500000.0,-131000000.0,-318000000.0
Short Term Debt Issuance,215000000.0,478000000.0,154000000.0,318000000.0
Net Long Term Debt Issuance,264660000.0,53866000.0,0.0,-94993000.0
Long Term Debt Payments,-64164000.0,-296134000.0,0.0,-94993000.0
Long Term Debt Issuance,328824000.0,350000000.0,0.0,0.0
Investing Cash Flow,-174912000.0,-190589000.0,-100315000.0,18290000.0
Cash Flow From Continuing Investing Activities,-174912000.0,-190589000.0,-100315000.0,18290000.0
Net Other Investing Changes,-8877000.0,17091000.0,31668000.0,-65906000.0
Dividends Received Cfi,3790000.0,46898000.0,27028000.0,9001000.0
Net Investment Properties Purchase And Sale,72557000.0,55864000.0,7753000.0,236164000.0
Sale Of Investment Properties,80304000.0,64210000.0,10303000.0,278114000.0
Purchase Of Investment Properties,-7747000.0,-8346000.0,-2550000.0,-41950000.0
Net Business Purchase And Sale,-85922000.0,-47428000.0,-31643000.0,-719000.0
Sale Of Business,,,0.0,0.0
Purchase Of Business,-85922000.0,-47428000.0,-31643000.0,-719000.0
Capital Expenditure Reported,-156460000.0,-263014000.0,-135121000.0,-160250000.0
Operating Cash Flow,177273000.0,209307000.0,190874000.0,225806000.0
Cash Flow From Continuing Operating Activities,177273000.0,209307000.0,190874000.0,225806000.0
Change In Working Capital,-17848000.0,9680000.0,-10394000.0,9717000.0
Change In Other Working Capital,-86000.0,1567000.0,2986000.0,-12149000.0
Change In Other Current Liabilities,-2244000.0,2500000.0,465000.0,14557000.0
Change In Other Current Assets,-2831000.0,-1120000.0,-19325000.0,-5034000.0
Change In Payables And Accrued Expense,-12928000.0,5405000.0,2974000.0,14374000.0
Change In Receivables,241000.0,1328000.0,2506000.0,-2031000.0
Changes In Account Receivables,241000.0,1328000.0,2506000.0,-2031000.0
Other Non Cash Items,-6414000.0,-17561000.0,-17059000.0,-15819000.0
Stock Based Compensation,9847000.0,8939000.0,7130000.0,6627000.0
Provisionand Write Offof Assets,,0.0,0.0,1049000.0
Asset Impairment Charge,131573000.0,4663000.0,0.0,0.0
Deferred Tax,72000.0,55000.0,47000.0,-224000.0
Deferred Income Tax,72000.0,55000.0,47000.0,-224000.0
Depreciation Amortization Depletion,188797000.0,177984000.0,178105000.0,188283000.0
Depreciation And Amortization,188797000.0,177984000.0,178105000.0,188283000.0
Depreciation,,,178105000.0,188283000.0
Operating Gains Losses,68649000.0,-28445000.0,20679000.0,-271153000.0
Earnings Losses From Equity Investments,77915000.0,23522000.0,26697000.0,18584000.0
Gain Loss On Investment Securities,-8947000.0,-25684000.0,-3045000.0,-289662000.0
Gain Loss On Sale Of Business,-181000.0,-26718000.0,-2973000.0,-75000.0
Net Income From Continuing Operations,-197403000.0,53992000.0,12366000.0,307326000.0
