,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,51645557.0,36434297.0,36234624.0,36078383.0
Share Issued,51645557.0,36434297.0,36234624.0,36078383.0
Total Debt,25298000.0,28140000.0,28460000.0,8741000.0
Tangible Book Value,116736000.0,115695000.0,195900000.0,307758000.0
Invested Capital,116736000.0,115695000.0,195900000.0,307758000.0
Working Capital,114388000.0,112445000.0,192061000.0,305336000.0
Net Tangible Assets,116736000.0,115695000.0,195900000.0,307758000.0
Capital Lease Obligations,25298000.0,28140000.0,28460000.0,8741000.0
Common Stock Equity,116736000.0,115695000.0,195900000.0,307758000.0
Total Capitalization,116736000.0,115695000.0,195900000.0,307758000.0
Total Equity Gross Minority Interest,116736000.0,115695000.0,195900000.0,307758000.0
Stockholders Equity,116736000.0,115695000.0,195900000.0,307758000.0
Gains Losses Not Affecting Retained Earnings,-27000.0,-1824000.0,-414000.0,614000.0
Other Equity Adjustments,-27000.0,-1824000.0,-414000.0,614000.0
Retained Earnings,-417431000.0,-334989000.0,-243820000.0,-118224000.0
Additional Paid In Capital,534187000.0,452503000.0,440129000.0,425363000.0
Capital Stock,7000.0,5000.0,5000.0,5000.0
Common Stock,7000.0,5000.0,5000.0,5000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,41831000.0,40560000.0,51782000.0,21912000.0
Total Non Current Liabilities Net Minority Interest,22185000.0,25299000.0,28140000.0,7694000.0
Derivative Product Liabilities,,,,0.0
Long Term Debt And Capital Lease Obligation,22185000.0,25299000.0,28140000.0,7694000.0
Long Term Capital Lease Obligation,22185000.0,25299000.0,28140000.0,7694000.0
Current Liabilities,19646000.0,15261000.0,23642000.0,14218000.0
Current Debt And Capital Lease Obligation,3113000.0,2841000.0,320000.0,1047000.0
Current Capital Lease Obligation,3113000.0,2841000.0,320000.0,1047000.0
Payables And Accrued Expenses,16533000.0,12420000.0,23322000.0,13171000.0
Current Accrued Expenses,14209000.0,10543000.0,19215000.0,10633000.0
Payables,2324000.0,1877000.0,4107000.0,2538000.0
Accounts Payable,2324000.0,1877000.0,4107000.0,2538000.0
Total Assets,158567000.0,156255000.0,247682000.0,329670000.0
Total Non Current Assets,24533000.0,28549000.0,31979000.0,10116000.0
Other Non Current Assets,823000.0,1168000.0,1239000.0,1329000.0
Non Current Deferred Assets,,,,0.0
Net PPE,23710000.0,27381000.0,30740000.0,8787000.0
Accumulated Depreciation,-799000.0,-750000.0,-369000.0,-164000.0
Gross PPE,24509000.0,28131000.0,31109000.0,8951000.0
Leases,2512000.0,2512000.0,2437000.0,66000.0
Construction In Progress,,0.0,148000.0,147000.0
Other Properties,21980000.0,25564000.0,28387000.0,8655000.0
Machinery Furniture Equipment,17000.0,55000.0,137000.0,83000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,134034000.0,127706000.0,215703000.0,319554000.0
Other Current Assets,2634000.0,4899000.0,5917000.0,4487000.0
Prepaid Assets,,,5917000.0,4487000.0
Cash Cash Equivalents And Short Term Investments,131400000.0,122807000.0,209786000.0,315067000.0
Other Short Term Investments,75179000.0,88492000.0,143987000.0,280462000.0
Cash And Cash Equivalents,56221000.0,34315000.0,65799000.0,34605000.0
