,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0
Normalized EBITDA,-86023000.0,-94552000.0,-126667000.0,-67201000.0
Total Unusual Items,0.0,2232000.0,0.0,
Total Unusual Items Excluding Goodwill,0.0,2232000.0,0.0,
Net Income From Continuing Operation Net Minority Interest,-82442000.0,-91169000.0,-125596000.0,-67254000.0
Reconciled Depreciation,437000.0,508000.0,205000.0,52000.0
EBITDA,-86023000.0,-92320000.0,-126667000.0,-67201000.0
EBIT,-86460000.0,-92828000.0,-126872000.0,-67253000.0
Net Interest Income,1924000.0,2031000.0,3464000.0,4040000.0
Interest Expense,,,0.0,1000.0
Interest Income,1924000.0,2031000.0,3464000.0,4041000.0
Normalized Income,-82442000.0,-93401000.0,-125596000.0,-67254000.0
Net Income From Continuing And Discontinued Operation,-82442000.0,-91169000.0,-125596000.0,-67254000.0
Total Expenses,86460000.0,92828000.0,126872000.0,69570000.0
Total Operating Income As Reported,-86460000.0,-92828000.0,-126872000.0,-69570000.0
Diluted Average Shares,43954649.0,36229809.0,36189002.0,32907100.0
Basic Average Shares,43954649.0,36229809.0,36189002.0,32907100.0
Diluted EPS,-1.88,-2.52,-3.47,-2.05
Basic EPS,-1.88,-2.52,-3.47,-2.05
Diluted NI Availto Com Stockholders,-82442000.0,-91169000.0,-125596000.0,-67254000.0
Net Income Common Stockholders,-82442000.0,-91169000.0,-125596000.0,-67254000.0
Net Income,-82442000.0,-91169000.0,-125596000.0,-67254000.0
Net Income Including Noncontrolling Interests,-82442000.0,-91169000.0,-125596000.0,-67254000.0
Net Income Continuous Operations,-82442000.0,-91169000.0,-125596000.0,-67254000.0
Pretax Income,-82442000.0,-91169000.0,-125596000.0,-67254000.0
Other Income Expense,2094000.0,-372000.0,-2188000.0,-1724000.0
Other Non Operating Income Expenses,2094000.0,-354000.0,-2188000.0,-1724000.0
Special Income Charges,0.0,2232000.0,0.0,
Gain On Sale Of Ppe,0.0,2232000.0,0.0,
Earnings From Equity Interest,0.0,-2250000.0,0.0,
Net Non Operating Interest Income Expense,1924000.0,2031000.0,3464000.0,4040000.0
Interest Expense Non Operating,,,0.0,1000.0
Interest Income Non Operating,1924000.0,2031000.0,3464000.0,4041000.0
Operating Income,-86460000.0,-92828000.0,-126872000.0,-69570000.0
Operating Expense,86460000.0,92828000.0,126872000.0,69570000.0
Research And Development,59350000.0,64437000.0,96829000.0,48209000.0
Selling General And Administration,27110000.0,28391000.0,30043000.0,21361000.0
General And Administrative Expense,27110000.0,28391000.0,30043000.0,21361000.0
Other Gand A,27110000.0,28391000.0,30043000.0,21361000.0
Total Revenue,0.0,0.0,0.0,0.0
Operating Revenue,0.0,0.0,0.0,0.0
