,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,27858539.0,14989848.0,14978325.0
Share Issued,27858539.0,14989848.0,14978325.0
Net Debt,181769000.0,213921000.0,195348000.0
Total Debt,192903000.0,219679000.0,207153000.0
Tangible Book Value,102190000.0,79509000.0,88690000.0
Invested Capital,302290000.0,307006000.0,305599000.0
Working Capital,-65143000.0,-86396000.0,7507000.0
Net Tangible Assets,102190000.0,79509000.0,88690000.0
Common Stock Equity,109387000.0,87327000.0,98446000.0
Total Capitalization,243767000.0,234275000.0,305599000.0
Total Equity Gross Minority Interest,202955000.0,187008000.0,205824000.0
Minority Interest,93568000.0,99681000.0,107378000.0
Stockholders Equity,109387000.0,87327000.0,98446000.0
Other Equity Interest,3319000.0,3319000.0,3319000.0
Retained Earnings,-134291000.0,-109168000.0,-101049000.0
Additional Paid In Capital,240357000.0,193176000.0,196176000.0
Capital Stock,2000.0,0.0,0.0
Common Stock,2000.0,0.0,0.0
Preferred Stock,0.0,0.0,0.0
Total Liabilities Net Minority Interest,220282000.0,249105000.0,223323000.0
Total Non Current Liabilities Net Minority Interest,136159000.0,146948000.0,209319000.0
Other Non Current Liabilities,1779000.0,2757000.0,2166000.0
Long Term Debt And Capital Lease Obligation,134380000.0,146948000.0,207153000.0
Long Term Debt,134380000.0,146948000.0,207153000.0
Current Liabilities,84123000.0,102157000.0,14004000.0
Other Current Liabilities,,968000.0,
Current Deferred Liabilities,,376000.0,155000.0
Current Deferred Revenue,,376000.0,155000.0
Current Debt And Capital Lease Obligation,58523000.0,72731000.0,
Current Debt,58523000.0,72731000.0,
Line Of Credit,58523000.0,72731000.0,0.0
Payables And Accrued Expenses,25600000.0,28458000.0,13849000.0
Current Accrued Expenses,10464000.0,8504000.0,5504000.0
Payables,15136000.0,19954000.0,8345000.0
Dueto Related Parties Current,470000.0,470000.0,0.0
Accounts Payable,14666000.0,19484000.0,8345000.0
Total Assets,423237000.0,436113000.0,429147000.0
Total Non Current Assets,404257000.0,420352000.0,407636000.0
Other Non Current Assets,1378000.0,1262000.0,61000.0
Goodwill And Other Intangible Assets,7197000.0,7818000.0,9756000.0
Other Intangible Assets,7197000.0,7818000.0,9756000.0
Net PPE,395682000.0,411272000.0,397819000.0
Accumulated Depreciation,-26848000.0,-28764000.0,-22873000.0
Gross PPE,422530000.0,440036000.0,420692000.0
Construction In Progress,273000.0,1206000.0,89000.0
Buildings And Improvements,260966000.0,272605000.0,254379000.0
Land And Improvements,161291000.0,166225000.0,166224000.0
Properties,0.0,0.0,0.0
Current Assets,18980000.0,15761000.0,21511000.0
Other Current Assets,,99000.0,108000.0
Assets Held For Sale Current,0.0,696000.0,0.0
Current Deferred Assets,0.0,2086000.0,0.0
Restricted Cash,5577000.0,5216000.0,4891000.0
Prepaid Assets,,953000.0,676000.0
Receivables,2269000.0,2005000.0,4031000.0
Duefrom Related Parties Current,0.0,156000.0,0.0
Accounts Receivable,2269000.0,1849000.0,4031000.0
Cash Cash Equivalents And Short Term Investments,11134000.0,5758000.0,11805000.0
Cash And Cash Equivalents,11134000.0,5758000.0,11805000.0
Cash Financial,11134000.0,5758000.0,11805000.0
