,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,0.0,,,
Ordinary Shares Number,3595215393.0,3725379187.0,3573671836.0,3552268135.0
Share Issued,3595215393.0,3725379187.0,3573671836.0,3552268135.0
Total Debt,17986170000.0,12191275000.0,7509929000.0,7987403000.0
Tangible Book Value,65937741000.0,62213961000.0,64000472000.0,62628114000.0
Invested Capital,72390274000.0,69539360000.0,67428176000.0,68292957000.0
Working Capital,30229640000.0,37083357000.0,40990217000.0,53905755000.0
Net Tangible Assets,65937741000.0,62213961000.0,64000472000.0,62628114000.0
Capital Lease Obligations,17695720000.0,11572275000.0,7055729000.0,6459893000.0
Common Stock Equity,72099824000.0,68920360000.0,66973976000.0,66765447000.0
Total Capitalization,72099824000.0,68920360000.0,66973976000.0,66780447000.0
Total Equity Gross Minority Interest,72201105000.0,69054438000.0,67055493000.0,66792516000.0
Minority Interest,101281000.0,134078000.0,81517000.0,27069000.0
Stockholders Equity,72099824000.0,68920360000.0,66973976000.0,66765447000.0
Gains Losses Not Affecting Retained Earnings,1055409000.0,248096000.0,-2155836000.0,-1441253000.0
Other Equity Adjustments,1055409000.0,248096000.0,-2155836000.0,-1441253000.0
Treasury Stock,866198000.0,225329000.0,0.0,
Retained Earnings,-5672916000.0,-11405850000.0,-9842846000.0,-9227664000.0
Additional Paid In Capital,77583054000.0,80302956000.0,78972169000.0,77433882000.0
Capital Stock,475000.0,487000.0,489000.0,482000.0
Common Stock,475000.0,487000.0,489000.0,482000.0
Preferred Stock,,,,0.0
Total Liabilities Net Minority Interest,48130826000.0,40292909000.0,33263372000.0,37503020000.0
Total Non Current Liabilities Net Minority Interest,8606843000.0,6951591000.0,4327235000.0,3869674000.0
Other Non Current Liabilities,389000.0,475000.0,1381000.0,3471000.0
Non Current Deferred Liabilities,279341000.0,351186000.0,22920000.0,17289000.0
Non Current Deferred Taxes Liabilities,279341000.0,351186000.0,22920000.0,17289000.0
Long Term Debt And Capital Lease Obligation,8327113000.0,6599930000.0,4302934000.0,3848914000.0
Long Term Capital Lease Obligation,8327113000.0,6599930000.0,4302934000.0,3833914000.0
Long Term Debt,,,,15000000.0
Current Liabilities,39523983000.0,33341318000.0,28936137000.0,33633346000.0
Other Current Liabilities,4833515000.0,3453845000.0,2509447000.0,1916948000.0
