,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,57817593.0,57531130.0,59305160.0,60466168.0
Share Issued,57817593.0,57531130.0,59305160.0,60466168.0
Net Debt,891196000.0,1025357000.0,731416000.0,646543000.0
Total Debt,1859852000.0,1966076000.0,1783648000.0,1847822000.0
Tangible Book Value,-790305000.0,-892973000.0,-553481000.0,-422790000.0
Invested Capital,2175440000.0,2142034000.0,2171672000.0,2314684000.0
Working Capital,-352534000.0,-438584000.0,-81904000.0,93371000.0
Net Tangible Assets,-790305000.0,-892973000.0,-553481000.0,-422790000.0
Capital Lease Obligations,897088000.0,904495000.0,791252000.0,816935000.0
Common Stock Equity,1212676000.0,1080453000.0,1179276000.0,1283797000.0
Total Capitalization,2156940000.0,2042034000.0,2155672000.0,2303934000.0
Total Equity Gross Minority Interest,1212676000.0,1080453000.0,1179276000.0,1283797000.0
Stockholders Equity,1212676000.0,1080453000.0,1179276000.0,1283797000.0
Gains Losses Not Affecting Retained Earnings,-59101000.0,-70629000.0,-37359000.0,-27069000.0
Other Equity Adjustments,-59101000.0,-70629000.0,-37359000.0,-27069000.0
Retained Earnings,625825000.0,551602000.0,470961000.0,400502000.0
Additional Paid In Capital,645894000.0,599422000.0,745615000.0,910304000.0
Capital Stock,58000.0,58000.0,59000.0,60000.0
Common Stock,58000.0,58000.0,59000.0,60000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,2683468000.0,2718416000.0,2460771000.0,2442851000.0
Total Non Current Liabilities Net Minority Interest,1884035000.0,1932122000.0,1838596000.0,1912037000.0
Other Non Current Liabilities,101259000.0,100466000.0,100091000.0,105980000.0
Non Current Deferred Liabilities,41811000.0,59672000.0,58198000.0,56166000.0
Non Current Deferred Revenue,8656000.0,8933000.0,9689000.0,10215000.0
Non Current Deferred Taxes Liabilities,33155000.0,50739000.0,48509000.0,45951000.0
Long Term Debt And Capital Lease Obligation,1740965000.0,1771984000.0,1680307000.0,1749891000.0
Long Term Capital Lease Obligation,796701000.0,810403000.0,703911000.0,729754000.0
Long Term Debt,944264000.0,961581000.0,976396000.0,1020137000.0
Current Liabilities,799433000.0,786294000.0,622175000.0,530814000.0
Other Current Liabilities,13053000.0,14964000.0,20682000.0,15615000.0
Current Deferred Liabilities,301916000.0,245994000.0,281567000.0,222717000.0
Current Deferred Revenue,301916000.0,245994000.0,281567000.0,222717000.0
Current Debt And Capital Lease Obligation,118887000.0,194092000.0,103341000.0,97931000.0
Current Capital Lease Obligation,100387000.0,94092000.0,87341000.0,87181000.0
Current Debt,18500000.0,100000000.0,16000000.0,10750000.0
Other Current Borrowings,18500000.0,16000000.0,16000000.0,10750000.0
Line Of Credit,0.0,84000000.0,0.0,
Payables And Accrued Expenses,365577000.0,331244000.0,216585000.0,194551000.0
Current Accrued Expenses,234274000.0,205986000.0,188863000.0,164593000.0
Payables,131303000.0,125258000.0,27722000.0,29958000.0
Other Payable,106500000.0,100610000.0,19219000.0,
Total Tax Payable,,,,3660000.0
Income Tax Payable,,,,3660000.0
Accounts Payable,24803000.0,24648000.0,8503000.0,29958000.0
Total Assets,3896144000.0,3798869000.0,3640047000.0,3726648000.0
Total Non Current Assets,3449245000.0,3451159000.0,3099776000.0,3102463000.0
Other Non Current Assets,11539000.0,22941000.0,17888000.0,49298000.0
Defined Pension Benefit,18477000.0,15955000.0,16173000.0,
Non Current Prepaid Assets,16598000.0,13084000.0,16321000.0,
Financial Assets,28968000.0,28553000.0,8809000.0,
Investments And Advances,16683000.0,24103000.0,13269000.0,
Investmentin Financial Assets,7324000.0,16938000.0,7211000.0,
Available For Sale Securities,7324000.0,16938000.0,7211000.0,
Long Term Equity Investment,9359000.0,7165000.0,6058000.0,
Goodwill And Other Intangible Assets,2002981000.0,1973426000.0,1732757000.0,1706587000.0
Other Intangible Assets,216576000.0,245574000.0,251032000.0,274620000.0
Goodwill,1786405000.0,1727852000.0,1481725000.0,1431967000.0
Net PPE,1353999000.0,1373097000.0,1294559000.0,1346578000.0
Accumulated Depreciation,-614695000.0,-557948000.0,-532738000.0,-507260000.0
Gross PPE,1968694000.0,1931045000.0,1827297000.0,1853838000.0
Leases,569494000.0,552722000.0,539766000.0,540828000.0
Other Properties,774703000.0,801626000.0,696425000.0,717821000.0
Machinery Furniture Equipment,326542000.0,291419000.0,282248000.0,283437000.0
Buildings And Improvements,201718000.0,193406000.0,206453000.0,207756000.0
Land And Improvements,96237000.0,91872000.0,102405000.0,103996000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,446899000.0,347710000.0,540271000.0,624185000.0
Other Current Assets,22405000.0,17535000.0,25027000.0,
Hedging Assets Current,0.0,25464000.0,0.0,
Restricted Cash,15756000.0,3512000.0,4301000.0,4121000.0
Prepaid Assets,33455000.0,30104000.0,20581000.0,29238000.0
Receivables,281710000.0,217170000.0,210971000.0,184989000.0
Other Receivables,,,3333000.0,8372000.0
Accounts Receivable,281710000.0,217170000.0,210971000.0,176617000.0
Allowance For Doubtful Accounts Receivable,-2317000.0,-2947000.0,-3006000.0,-2357000.0
Gross Accounts Receivable,284027000.0,220117000.0,213977000.0,178974000.0
Cash Cash Equivalents And Short Term Investments,93573000.0,53925000.0,283692000.0,405837000.0
Other Short Term Investments,22005000.0,17701000.0,22712000.0,21493000.0
Cash And Cash Equivalents,71568000.0,36224000.0,260980000.0,384344000.0
