,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-156196.2,0.0,0.0,0.0
Tax Rate For Calcs,0.2634,0.2415,0.2407,0.2818
Total Unusual Items,-593000.0,0.0,,-5000.0
Total Unusual Items Excluding Goodwill,-593000.0,0.0,,-5000.0
Net Income From Continuing Operation Net Minority Interest,9393000.0,10494000.0,7410000.0,9163000.0
Reconciled Depreciation,1541000.0,1262000.0,2072000.0,1791000.0
Net Interest Income,51829000.0,50815000.0,43772000.0,45887000.0
Interest Expense,14326000.0,4481000.0,2794000.0,6988000.0
Interest Income,66155000.0,55296000.0,46566000.0,52875000.0
Normalized Income,9829803.8,10494000.0,7410000.0,9163000.0
Net Income From Continuing And Discontinued Operation,9393000.0,10494000.0,7410000.0,9163000.0
Diluted Average Shares,12622882.0,13117500.0,13981132.0,15021311.0
Basic Average Shares,12622882.0,13117500.0,13981132.0,15021311.0
Diluted EPS,0.74,0.8,0.53,0.61
Basic EPS,0.74,0.8,0.53,0.61
Diluted NI Availto Com Stockholders,9393000.0,10494000.0,7410000.0,9163000.0
Net Income Common Stockholders,9393000.0,10494000.0,7410000.0,9163000.0
Net Income,9393000.0,10494000.0,7410000.0,9163000.0
Net Income Including Noncontrolling Interests,9393000.0,10494000.0,7410000.0,9163000.0
Net Income Continuous Operations,9393000.0,10494000.0,7410000.0,9163000.0
Tax Provision,3359000.0,3341000.0,2348000.0,3597000.0
Pretax Income,12752000.0,13835000.0,9758000.0,12760000.0
Special Income Charges,-593000.0,0.0,,-5000.0
Other Special Charges,-9000.0,,,5000.0
Impairment Of Capital Assets,602000.0,0.0,,
Gain On Sale Of Security,-454000.0,0.0,,0.0
Depreciation Amortization Depletion Income Statement,,,,34000.0
Depreciation And Amortization In Income Statement,,,,34000.0
Amortization,,,,34000.0
Amortization Of Intangibles Income Statement,,,,34000.0
Selling General And Administration,23859000.0,22733000.0,23858000.0,26854000.0
Selling And Marketing Expense,762000.0,690000.0,742000.0,591000.0
General And Administrative Expense,23097000.0,22043000.0,23116000.0,26263000.0
Other Gand A,,,4698000.0,4592000.0
Insurance And Claims,865000.0,467000.0,478000.0,348000.0
Salaries And Wages,22232000.0,21576000.0,22638000.0,21323000.0
Total Revenue,56839000.0,56791000.0,49461000.0,51253000.0
Operating Revenue,56839000.0,56791000.0,49461000.0,51253000.0
Occupancy And Equipment,8052000.0,7981000.0,7524000.0,7271000.0
Professional Expense And Contract Services Expense,1330000.0,1292000.0,1336000.0,1356000.0
Other Non Interest Expense,9940000.0,9122000.0,8225000.0,2957000.0
