,2024-07-31,2023-07-31,2022-04-30,2021-04-30,2020-04-30
Ordinary Shares Number,43854836.0,44447632.0,45026493.0,44913436.0,
Share Issued,43854836.0,44447632.0,45026493.0,44913436.0,
Net Debt,8277.0,87406.0,7053.0,,
Total Debt,8277.0,87406.0,7053.0,,
Tangible Book Value,501181744.0,518278930.0,547214077.0,662092129.0,
Invested Capital,501190021.0,518366336.0,547221130.0,,
Net Tangible Assets,501181744.0,518278930.0,547214077.0,662092129.0,
Common Stock Equity,501181744.0,518278930.0,547214077.0,662092129.0,
Total Capitalization,501190021.0,518366336.0,547221130.0,,
Total Equity Gross Minority Interest,501181744.0,518278930.0,547214077.0,662092129.0,
Stockholders Equity,501181744.0,518278930.0,547214077.0,662092129.0,
Retained Earnings,-75385678.0,-66096988.0,-46543540.0,70004498.0,
Capital Stock,576567422.0,584375918.0,593757617.0,592087631.0,
Common Stock,576567422.0,584375918.0,593757617.0,592087631.0,
Total Liabilities Net Minority Interest,286675718.0,301047613.0,406666977.0,413650726.0,
Preferred Securities Outside Stock Equity,154100000.0,270800000.0,270800000.0,270800000.0,
Long Term Debt And Capital Lease Obligation,8277.0,87406.0,7053.0,,
Payables,25861030.0,30156233.0,15635947.0,3606261.0,
Other Payable,469961.0,948325.0,821889.0,935288.0,
Accounts Payable,25391069.0,29207908.0,14814058.0,2670973.0,
Total Assets,787857462.0,819326543.0,953881054.0,1075742855.0,
Investments And Advances,779932351.0,809181249.0,937240212.0,1061675764.0,
Investmentin Financial Assets,779932351.0,809181249.0,937240212.0,1061675764.0,
Available For Sale Securities,2742564.0,24056456.0,,,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,777189787.0,785124793.0,937240212.0,1061675764.0,
Prepaid Assets,38874.0,16167.0,0.0,18099.0,
Receivables,7681308.0,9489031.0,15101544.0,13505446.0,
Cash And Cash Equivalents,0.0,,0.0,39546.0,0.0
Cash Financial,0.0,,0.0,39546.0,0.0
Cash Cash Equivalents And Federal Funds Sold,0.0,438000.0,1429000.0,543546.0,
