,2024-07-31,2023-07-31,2022-07-31,2021-07-31,2020-07-31
Ordinary Shares Number,30063645.0,30274181.0,31124940.0,31341683.0,
Share Issued,30063645.0,30274181.0,31124940.0,31341683.0,
Net Debt,4976.0,,,377788.0,62831.0
Total Debt,4976.0,,,377788.0,62831.0
Tangible Book Value,386592273.0,394326959.0,417250376.0,510655630.0,
Invested Capital,386597249.0,,,511033418.0,500416233.0
Net Tangible Assets,386592273.0,394326959.0,417250376.0,510655630.0,
Common Stock Equity,386592273.0,394326959.0,417250376.0,510655630.0,
Total Capitalization,386597249.0,,,511033418.0,500416233.0
Total Equity Gross Minority Interest,386592273.0,394326959.0,417250376.0,510655630.0,
Stockholders Equity,386592273.0,394326959.0,417250376.0,510655630.0,
Retained Earnings,-35757660.0,-33532345.0,-19998453.0,70976309.0,
Capital Stock,422349933.0,427859304.0,437248829.0,439679321.0,
Common Stock,422349933.0,427859304.0,437248829.0,439679321.0,
Total Liabilities Net Minority Interest,210430675.0,207417445.0,273584631.0,317144066.0,
Preferred Securities Outside Stock Equity,171300000.0,171300000.0,171300000.0,171300000.0,
Long Term Debt And Capital Lease Obligation,4976.0,,,377788.0,62831.0
Payables,3967115.0,971984.0,2615332.0,2162186.0,
Other Payable,465486.0,701437.0,1070943.0,780593.0,
Accounts Payable,3501629.0,270547.0,1544389.0,1381593.0,
Total Assets,597022948.0,601744404.0,690835007.0,827799696.0,
Investments And Advances,589129741.0,589963097.0,681793899.0,818642243.0,
Investmentin Financial Assets,589129741.0,589963097.0,681793899.0,818642243.0,
Available For Sale Securities,3869643.0,3025616.0,,,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,585260098.0,586937481.0,681793899.0,818642243.0,
Prepaid Assets,33315.0,11812.0,7736.0,25993.0,
Receivables,7859892.0,11385495.0,7469372.0,8565460.0,
Cash And Cash Equivalents,,0.0,,0.0,
Cash Financial,,0.0,,0.0,
Cash Cash Equivalents And Federal Funds Sold,0.0,384000.0,1564000.0,566000.0,
