,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.0,0.27,0.27
Net Income From Continuing Operation Net Minority Interest,80649242.0,-71441740.0,51239155.0,1336822.0
Net Interest Income,65577001.0,54958425.0,55398009.0,61497177.0
Interest Expense,17179353.0,8134264.0,3835759.0,5419172.0
Interest Income,82756354.0,63092689.0,59233768.0,66916349.0
Normalized Income,80649242.0,-71441740.0,51239155.0,1336822.0
Net Income From Continuing And Discontinued Operation,80649242.0,-71441740.0,51239155.0,1336822.0
Diluted Average Shares,,44651088.0,44946627.0,33420550.0
Basic Average Shares,,44651088.0,44946627.0,33420550.0
Diluted EPS,,-1.6,1.14,0.04
Basic EPS,,-1.6,1.14,0.04
Diluted NI Availto Com Stockholders,80649242.0,-71441740.0,51239155.0,1336822.0
Net Income Common Stockholders,80649242.0,-71441740.0,51239155.0,1336822.0
Net Income,80649242.0,-71441740.0,51239155.0,1336822.0
Net Income Including Noncontrolling Interests,80649242.0,-71441740.0,51239155.0,1336822.0
Net Income Continuous Operations,80649242.0,-71441740.0,51239155.0,1336822.0
Pretax Income,80649242.0,-71441740.0,51239155.0,1336822.0
Gain On Sale Of Security,-25308298.0,-49641964.0,-1950463.0,-109694472.0
Operating Expense,5781906.0,4152778.0,4045399.0,4155438.0
Other Operating Expenses,2325495.0,1738471.0,1736855.0,1736710.0
Selling General And Administration,3456411.0,2414307.0,2308544.0,2418728.0
General And Administrative Expense,3456411.0,2414307.0,2308544.0,2418728.0
Total Revenue,86431148.0,-67288962.0,55284554.0,5492260.0
Operating Revenue,86431148.0,-67288962.0,55284554.0,5492260.0
