,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.331,0.207,0.242,0.247967
Normalized EBITDA,8176000.0,51988000.0,154292000.0,95079000.0
Net Income From Continuing Operation Net Minority Interest,-7083000.0,26134000.0,102386000.0,55940000.0
Reconciled Depreciation,18910000.0,18473000.0,18275000.0,18814000.0
Reconciled Cost Of Revenue,598901000.0,654323000.0,725991000.0,692041000.0
EBITDA,8176000.0,51988000.0,154292000.0,95079000.0
EBIT,-10734000.0,33515000.0,136017000.0,76265000.0
Net Interest Income,153000.0,-572000.0,-893000.0,-1880000.0
Interest Expense,,572000.0,893000.0,1880000.0
Normalized Income,-7083000.0,26134000.0,102386000.0,55940000.0
Net Income From Continuing And Discontinued Operation,-7083000.0,26134000.0,102386000.0,55940000.0
Total Expenses,895479000.0,962023000.0,1025803000.0,964947000.0
Total Operating Income As Reported,-10734000.0,33515000.0,136017000.0,76265000.0
Diluted Average Shares,21749000.0,22089000.0,22512000.0,21663000.0
Basic Average Shares,21749000.0,21634000.0,21670000.0,21260000.0
Diluted EPS,-0.33,1.18,4.55,2.58
Basic EPS,-0.33,1.21,4.73,2.63
Diluted NI Availto Com Stockholders,-7083000.0,26134000.0,102386000.0,55940000.0
Net Income Common Stockholders,-7083000.0,26134000.0,102386000.0,55940000.0
Net Income,-7083000.0,26134000.0,102386000.0,55940000.0
Net Income Including Noncontrolling Interests,-7083000.0,26134000.0,102386000.0,55940000.0
Net Income Continuous Operations,-7083000.0,26134000.0,102386000.0,55940000.0
Tax Provision,-3498000.0,6809000.0,32738000.0,18445000.0
Pretax Income,-10581000.0,32943000.0,135124000.0,74385000.0
Net Non Operating Interest Income Expense,153000.0,-572000.0,-893000.0,-1880000.0
Total Other Finance Cost,-153000.0,572000.0,,
Interest Expense Non Operating,,572000.0,893000.0,1880000.0
Operating Income,-10734000.0,33515000.0,136017000.0,76265000.0
Operating Expense,296578000.0,307700000.0,299812000.0,272906000.0
Other Operating Expenses,,,,-2500000.0
Selling General And Administration,296578000.0,307700000.0,299812000.0,275406000.0
Gross Profit,285844000.0,341215000.0,435829000.0,349171000.0
Cost Of Revenue,598901000.0,654323000.0,725991000.0,692041000.0
Total Revenue,884745000.0,995538000.0,1161820000.0,1041212000.0
Operating Revenue,879598000.0,992268000.0,1161820000.0,1041212000.0
