,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.0,0.27,0.0
Net Income From Continuing Operation Net Minority Interest,47697927.0,-47204909.0,49521303.0,-5528412.0
Reconciled Depreciation,,,,-1389069.0
Net Interest Income,34810648.0,34905844.0,36526419.0,36732473.0
Interest Expense,6105722.0,2539333.0,1175683.0,1646178.0
Interest Income,40916370.0,37445177.0,37702102.0,38378651.0
Normalized Income,47697927.0,-47204909.0,49521303.0,-5528412.0
Net Income From Continuing And Discontinued Operation,47697927.0,-47204909.0,49521303.0,-5528412.0
Diluted Average Shares,,20087195.0,20049111.0,20475600.0
Basic Average Shares,,20087195.0,20049111.0,20475600.0
Diluted EPS,,-2.35,2.47,-0.27
Basic EPS,,-2.35,2.47,-0.27
Diluted NI Availto Com Stockholders,47697927.0,-47204909.0,49521303.0,-5528412.0
Net Income Common Stockholders,47697927.0,-47204909.0,49521303.0,-5528412.0
Net Income,47697927.0,-47204909.0,49521303.0,-5528412.0
Net Income Including Noncontrolling Interests,47697927.0,-47204909.0,49521303.0,-5528412.0
Net Income Continuous Operations,47697927.0,-47204909.0,49521303.0,-5528412.0
Pretax Income,47697927.0,-47204909.0,49521303.0,-5528412.0
Gain On Sale Of Security,-13902179.0,-6772069.0,-3861600.0,-43089792.0
Operating Expense,2119062.0,1629494.0,716916.0,928729.0
Other Operating Expenses,1038466.0,583462.0,-156027.0,132223.0
Selling General And Administration,1080596.0,1046032.0,872943.0,796506.0
General And Administrative Expense,1080596.0,1046032.0,872943.0,796506.0
Total Revenue,49816989.0,-45575415.0,50238219.0,-4599683.0
Operating Revenue,49816989.0,-45575415.0,50238219.0,-4599683.0
