,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,17789000.0,-12802000.0,3459000.0,20180734.0
Repayment Of Debt,-6000000.0,-26863000.0,-2063000.0,-15442615.0
Issuance Of Debt,2312000.0,49781000.0,6804000.0,22500000.0
Capital Expenditure,-2597000.0,-5680000.0,-3204000.0,-2076216.0
Interest Paid Supplemental Data,4668000.0,641000.0,879000.0,1133323.0
Income Tax Paid Supplemental Data,1378000.0,7562000.0,3676000.0,995361.0
End Cash Position,0.0,0.0,112000.0,0.0
Beginning Cash Position,0.0,112000.0,0.0,0.0
Changes In Cash,,-112000.0,112000.0,
Financing Cash Flow,-10872000.0,15934000.0,473000.0,1890105.0
Cash From Discontinued Financing Activities,,0.0,0.0,0.0
Cash Flow From Continuing Financing Activities,-10872000.0,15934000.0,473000.0,1890105.0
Net Other Financing Charges,-1179000.0,-1346000.0,,
Proceeds From Stock Option Exercised,502000.0,652000.0,299000.0,-12132.0
Cash Dividends Paid,-6507000.0,-6290000.0,-4567000.0,-5155148.0
Common Stock Dividend Paid,-6507000.0,-6290000.0,-4567000.0,-5155148.0
Net Issuance Payments Of Debt,-3688000.0,22918000.0,4741000.0,7057385.0
Net Short Term Debt Issuance,,,6803513.0,-14367615.0
Short Term Debt Payments,,,,-14367615.0
Short Term Debt Issuance,,,6803513.0,
Net Long Term Debt Issuance,-3688000.0,22918000.0,4741000.0,7057385.0
Long Term Debt Payments,-6000000.0,-26863000.0,-2063000.0,-15442615.0
Long Term Debt Issuance,2312000.0,49781000.0,6804000.0,22500000.0
Investing Cash Flow,-9514000.0,-8924000.0,-7024000.0,-24147055.0
Cash From Discontinued Investing Activities,0.0,-26000.0,-34000.0,-68730.0
Cash Flow From Continuing Investing Activities,-9514000.0,-8898000.0,-6990000.0,-24078325.0
Net Business Purchase And Sale,-6917000.0,-3218000.0,-3791000.0,-22002109.0
Sale Of Business,0.0,30722000.0,0.0,0.0
Purchase Of Business,-6917000.0,-33940000.0,-3791000.0,-22002109.0
Net PPE Purchase And Sale,0.0,0.0,5000.0,0.0
Sale Of PPE,0.0,0.0,5000.0,0.0
Capital Expenditure Reported,-2597000.0,-5680000.0,-3204000.0,-2076216.0
Operating Cash Flow,20386000.0,-7122000.0,6663000.0,22256950.0
Cash From Discontinued Operating Activities,0.0,-3822000.0,5305000.0,2577357.0
Cash Flow From Continuing Operating Activities,20386000.0,-3300000.0,1358000.0,19679593.0
Change In Working Capital,2582000.0,-17864000.0,-10001000.0,11986260.0
Change In Other Working Capital,694000.0,-1329000.0,-667000.0,3341392.0
Change In Other Current Liabilities,-1000000.0,-4615000.0,-59000.0,7216102.0
Change In Other Current Assets,720000.0,660000.0,319000.0,-916123.0
Change In Payables And Accrued Expense,-7753000.0,1576000.0,5910000.0,-1616596.0
Change In Accrued Expense,-7261000.0,1804000.0,5754000.0,-1337270.0
Change In Interest Payable,165000.0,171000.0,24000.0,5107.0
Change In Payable,-492000.0,-228000.0,156000.0,-279326.0
Change In Account Payable,-492000.0,-228000.0,156000.0,-279326.0
Change In Prepaid Assets,-2242000.0,637000.0,-326000.0,-1064091.0
Change In Receivables,12163000.0,-14793000.0,-15178000.0,5025576.0
Changes In Account Receivables,12163000.0,-14793000.0,-15178000.0,5025576.0
Other Non Cash Items,939000.0,-17375000.0,-4444000.0,196600.0
Stock Based Compensation,1029000.0,1085000.0,1058000.0,785723.0
Provisionand Write Offof Assets,798000.0,315000.0,221000.0,349362.0
Asset Impairment Charge,22545000.0,0.0,0.0,7239514.0
Deferred Tax,-5075000.0,2353000.0,1279000.0,-2413019.0
Deferred Income Tax,-5075000.0,2353000.0,1279000.0,-2413019.0
Depreciation Amortization Depletion,7774000.0,4054000.0,3698000.0,4860788.0
Depreciation And Amortization,7774000.0,4054000.0,3698000.0,4860788.0
Amortization Cash Flow,7328000.0,3457000.0,3013000.0,4103750.0
Amortization Of Intangibles,7328000.0,3457000.0,3013000.0,4103750.0
Depreciation,446000.0,597000.0,685000.0,757038.0
Operating Gains Losses,17000.0,6000.0,8000.0,
Gain Loss On Sale Of PPE,17000.0,6000.0,8000.0,0.0
Gain Loss On Sale Of Business,,-17675044.0,0.0,0.0
Net Income From Continuing Operations,-10223000.0,24126000.0,9539000.0,-3325635.0
