,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,12708275.0,12708275.0,12708275.0,12707797.0
Share Issued,12708275.0,12708275.0,12708275.0,12707797.0
Net Debt,76798254.0,66692009.0,97371282.0,83292867.0
Total Debt,77200000.0,82819718.0,98900000.0,95900000.0
Tangible Book Value,166920502.0,159530752.0,193368117.0,189900555.0
Invested Capital,244120502.0,242350470.0,292268117.0,285800555.0
Net Tangible Assets,166920502.0,159530752.0,193368117.0,189900555.0
Common Stock Equity,166920502.0,159530752.0,193368117.0,189900555.0
Total Capitalization,244120502.0,242350470.0,292268117.0,285800555.0
Total Equity Gross Minority Interest,166920502.0,159530752.0,193368117.0,189900555.0
Stockholders Equity,166920502.0,159530752.0,193368117.0,189900555.0
Retained Earnings,-69908344.0,-77325474.0,-43532185.0,-46992514.0
Additional Paid In Capital,236816138.0,236843518.0,236887594.0,236880361.0
Capital Stock,12708.0,12708.0,12708.0,12708.0
Common Stock,12708.0,12708.0,12708.0,12708.0
Total Liabilities Net Minority Interest,91437876.0,140327012.0,144365949.0,136462568.0
Preferred Securities Outside Stock Equity,0.0,19979648.0,19943761.0,19907874.0
Long Term Debt And Capital Lease Obligation,77200000.0,82819718.0,98900000.0,95900000.0
Payables,13922802.0,37197924.0,25334241.0,20538634.0
Other Payable,669774.0,450773.0,566548.0,458550.0
Accounts Payable,13253028.0,36747151.0,24767693.0,20080084.0
Total Assets,258358378.0,299857764.0,337734066.0,326363123.0
Investments And Advances,254174841.0,261089723.0,315963269.0,308755009.0
Investmentin Financial Assets,254174841.0,261089723.0,315963269.0,308755009.0
Available For Sale Securities,6110647.0,,,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,248064194.0,261089723.0,315963269.0,308755009.0
Prepaid Assets,446647.0,445077.0,423218.0,407458.0
Receivables,3311102.0,22190687.0,19780671.0,4559888.0
Cash And Cash Equivalents,401746.0,16127709.0,1528718.0,12607133.0
Cash Financial,401746.0,16127709.0,1528718.0,12607133.0
Cash Cash Equivalents And Federal Funds Sold,401746.0,16127709.0,1528718.0,12607133.0
