,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.0,0.27,0.27
Net Income From Continuing Operation Net Minority Interest,83311613.0,-66655073.0,74840034.0,43789614.0
Net Interest Income,-11998.0,,,
Interest Expense,11998.0,,,
Interest Income,0.0,,,
Normalized Income,83311613.0,-66655073.0,74840034.0,43789614.0
Net Income From Continuing And Discontinued Operation,83311613.0,-66655073.0,74840034.0,43789614.0
Diluted Average Shares,,107508182.0,102520595.0,101836312.0
Basic Average Shares,,107508182.0,102520595.0,101836312.0
Diluted EPS,,-0.62,0.73,0.43
Basic EPS,,-0.62,0.73,0.43
Diluted NI Availto Com Stockholders,83311613.0,-66655073.0,74840034.0,43789614.0
Net Income Common Stockholders,83311613.0,-66655073.0,74840034.0,43789614.0
Net Income,83311613.0,-66655073.0,74840034.0,43789614.0
Net Income Including Noncontrolling Interests,83311613.0,-66655073.0,74840034.0,43789614.0
Net Income Continuous Operations,83311613.0,-66655073.0,74840034.0,43789614.0
Pretax Income,83311613.0,-66655073.0,74840034.0,43789614.0
Gain On Sale Of Security,25010728.0,15004102.0,45870910.0,-25923607.0
Operating Expense,2201299.0,1423981.0,1001019.0,1498572.0
Other Operating Expenses,1650236.0,1026983.0,471003.0,942171.0
Selling General And Administration,551063.0,396998.0,530016.0,556401.0
General And Administrative Expense,551063.0,396998.0,530016.0,556401.0
Total Revenue,85512912.0,-65231092.0,75841053.0,45288186.0
Operating Revenue,85512912.0,-65231092.0,75841053.0,45288186.0
