,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,1256257.0,1345700.0,1427059.0,1512465.0
Ordinary Shares Number,15172131.0,15082688.0,15001329.0,14915923.0
Share Issued,16428388.0,16428388.0,16428388.0,16428388.0
Net Debt,236663000.0,301951000.0,,110016000.0
Total Debt,331505000.0,394246000.0,178524000.0,336023000.0
Tangible Book Value,307713000.0,268172000.0,297937000.0,279918000.0
Invested Capital,763564000.0,787696000.0,602671000.0,743088000.0
Net Tangible Assets,307713000.0,268172000.0,297937000.0,279918000.0
Common Stock Equity,432059000.0,393450000.0,424147000.0,407065000.0
Total Capitalization,492799000.0,456327000.0,507869000.0,649633000.0
Total Equity Gross Minority Interest,432059000.0,393450000.0,424147000.0,407065000.0
Stockholders Equity,432059000.0,393450000.0,424147000.0,407065000.0
Gains Losses Not Affecting Retained Earnings,-49862000.0,-58340000.0,2303000.0,6740000.0
Treasury Stock,16151000.0,16804000.0,17481000.0,18223000.0
Retained Earnings,272101000.0,243815000.0,215592000.0,195607000.0
Additional Paid In Capital,193114000.0,191922000.0,190876000.0,190084000.0
Capital Stock,32857000.0,32857000.0,32857000.0,32857000.0
Common Stock,32857000.0,32857000.0,32857000.0,32857000.0
Total Liabilities Net Minority Interest,3538826000.0,3516353000.0,3285086000.0,3317210000.0
Long Term Debt And Capital Lease Obligation,60740000.0,62877000.0,83722000.0,242568000.0
Long Term Debt,60740000.0,62877000.0,83722000.0,242568000.0
Current Debt And Capital Lease Obligation,270765000.0,331369000.0,94802000.0,93455000.0
Current Debt,270765000.0,331369000.0,94802000.0,93455000.0
Other Current Borrowings,270765000.0,331369000.0,94802000.0,93455000.0
Total Assets,3970885000.0,3909803000.0,3709233000.0,3724275000.0
Investments And Advances,534574000.0,559516000.0,618276000.0,585046000.0
Goodwill And Other Intangible Assets,124346000.0,125278000.0,126210000.0,127147000.0
Other Intangible Assets,4869000.0,5801000.0,6733000.0,7670000.0
Goodwill,119477000.0,119477000.0,119477000.0,119477000.0
Net PPE,48287000.0,47622000.0,49382000.0,52458000.0
Accumulated Depreciation,-33393000.0,-29776000.0,-25727000.0,-22304000.0
Gross PPE,81680000.0,77398000.0,75109000.0,74762000.0
Machinery Furniture Equipment,17630000.0,16225000.0,14661000.0,13865000.0
Buildings And Improvements,60168000.0,56239000.0,55499000.0,55366000.0
Land And Improvements,3882000.0,4934000.0,4949000.0,5531000.0
Other Short Term Investments,534574000.0,559516000.0,618276000.0,585046000.0
Cash And Cash Equivalents,94842000.0,92295000.0,250389000.0,226007000.0
Cash Financial,42221000.0,39933000.0,33508000.0,27566000.0
Cash Cash Equivalents And Federal Funds Sold,94842000.0,92295000.0,250389000.0,226007000.0
