,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,760000000.0,-996000000.0,1143000000.0,802000000.0
Repayment Of Debt,-1710000000.0,-7846000000.0,-3440000000.0,-5642000000.0
Issuance Of Debt,3291000000.0,6836000000.0,2100000000.0,3455000000.0
Issuance Of Capital Stock,0.0,675000000.0,0.0,0.0
Capital Expenditure,-272000000.0,-268000000.0,-283000000.0,-309000000.0
End Cash Position,962000000.0,591000000.0,2119000000.0,1816000000.0
Beginning Cash Position,591000000.0,2119000000.0,1816000000.0,3244000000.0
Effect Of Exchange Rate Changes,9000000.0,-23000000.0,-19000000.0,16000000.0
Changes In Cash,362000000.0,-1505000000.0,322000000.0,-1444000000.0
Financing Cash Flow,1475000000.0,-474000000.0,-1513000000.0,-2294000000.0
Cash Flow From Continuing Financing Activities,1475000000.0,-474000000.0,-1513000000.0,-2294000000.0
Net Other Financing Charges,-106000000.0,-139000000.0,-173000000.0,-107000000.0
Net Common Stock Issuance,0.0,675000000.0,0.0,0.0
Common Stock Issuance,0.0,675000000.0,0.0,0.0
Net Issuance Payments Of Debt,1581000000.0,-1010000000.0,-1340000000.0,-2187000000.0
Net Short Term Debt Issuance,,,0.0,0.0
Short Term Debt Payments,,,0.0,-1000000.0
Short Term Debt Issuance,,,0.0,1000000.0
Net Long Term Debt Issuance,1581000000.0,-1010000000.0,-1340000000.0,-2187000000.0
Long Term Debt Payments,-1710000000.0,-7846000000.0,-3440000000.0,-5642000000.0
Long Term Debt Issuance,3291000000.0,6836000000.0,2100000000.0,3455000000.0
Investing Cash Flow,-2145000000.0,-303000000.0,409000000.0,-261000000.0
Cash Flow From Continuing Investing Activities,-2145000000.0,-303000000.0,409000000.0,-261000000.0
Net Other Investing Changes,5000000.0,5000000.0,669000000.0,21000000.0
Interest Received Cfi,13000000.0,0.0,27000000.0,23000000.0
Net Investment Purchase And Sale,-1000000.0,5000000.0,-4000000.0,4000000.0
Sale Of Investment,26000000.0,22000000.0,15000000.0,8000000.0
Purchase Of Investment,-27000000.0,-17000000.0,-19000000.0,-4000000.0
Net Business Purchase And Sale,-1890000000.0,-45000000.0,0.0,0.0
Purchase Of Business,-1890000000.0,-45000000.0,0.0,0.0
Net Intangibles Purchase And Sale,-57000000.0,-50000000.0,-14000000.0,-7000000.0
Purchase Of Intangibles,-57000000.0,-50000000.0,-14000000.0,-7000000.0
Net PPE Purchase And Sale,-215000000.0,-218000000.0,-269000000.0,-302000000.0
Purchase Of PPE,-215000000.0,-218000000.0,-269000000.0,-302000000.0
Operating Cash Flow,1032000000.0,-728000000.0,1426000000.0,1111000000.0
Cash Flow From Continuing Operating Activities,1032000000.0,-728000000.0,1426000000.0,1111000000.0
Change In Working Capital,-582000000.0,-396000000.0,-128000000.0,-366000000.0
Change In Payables And Accrued Expense,158000000.0,-75000000.0,121000000.0,-471000000.0
Change In Payable,158000000.0,-75000000.0,121000000.0,-471000000.0
Change In Account Payable,158000000.0,-75000000.0,121000000.0,-471000000.0
Change In Prepaid Assets,-223000000.0,-66000000.0,-4000000.0,12000000.0
Change In Inventory,-322000000.0,-198000000.0,-16000000.0,-77000000.0
Change In Receivables,-195000000.0,-57000000.0,-229000000.0,170000000.0
Changes In Account Receivables,-195000000.0,-57000000.0,-229000000.0,170000000.0
Other Non Cash Items,151000000.0,-1471000000.0,268000000.0,382000000.0
Stock Based Compensation,132000000.0,126000000.0,128000000.0,105000000.0
Provisionand Write Offof Assets,56000000.0,51000000.0,60000000.0,60000000.0
Asset Impairment Charge,547000000.0,839000000.0,703000000.0,114000000.0
Deferred Tax,51000000.0,-176000000.0,-225000000.0,-475000000.0
Deferred Income Tax,51000000.0,-176000000.0,-225000000.0,-475000000.0
Depreciation Amortization Depletion,1264000000.0,1394000000.0,1552000000.0,1825000000.0
Depreciation And Amortization,1264000000.0,1394000000.0,1552000000.0,1825000000.0
Amortization Cash Flow,1264000000.0,1394000000.0,1552000000.0,1825000000.0
Amortization Of Intangibles,1264000000.0,1394000000.0,1552000000.0,1825000000.0
Operating Gains Losses,24000000.0,-883000000.0,5000000.0,25000000.0
Gain Loss On Investment Securities,-13000000.0,-6000000.0,-20000000.0,-23000000.0
Net Foreign Currency Exchange Gain Loss,41000000.0,3000000.0,-35000000.0,-10000000.0
Net Income From Continuing Operations,-611000000.0,-212000000.0,-937000000.0,-559000000.0
