,2024-06-30,2023-06-30,2022-06-30,2021-06-30,2020-06-30
Tax Effect Of Unusual Items,-924600000.0,189813466.660436,334692000.0,-978000000.0,
Tax Rate For Calcs,0.3,0.330685,0.324,0.3,
Normalized EBITDA,26607000000.0,28037000000.0,38929000000.0,33494000000.0,
Total Unusual Items,-3082000000.0,574000000.0,1033000000.0,-3260000000.0,
Total Unusual Items Excluding Goodwill,-3082000000.0,574000000.0,1033000000.0,-3260000000.0,
Net Income From Continuing Operation Net Minority Interest,7897000000.0,12921000000.0,20245000000.0,11529000000.0,
Reconciled Depreciation,5295000000.0,5061000000.0,5683000000.0,5084000000.0,
Reconciled Cost Of Revenue,15113000000.0,15913000000.0,14914000000.0,12742000000.0,
EBITDA,23525000000.0,28611000000.0,39962000000.0,30234000000.0,
EBIT,18230000000.0,23550000000.0,34279000000.0,25150000000.0,
Net Interest Income,-1488000000.0,-1634000000.0,-1077000000.0,-804000000.0,
Interest Expense,2182000000.0,2149000000.0,1142000000.0,858000000.0,
Interest Income,709000000.0,529000000.0,81000000.0,67000000.0,
Normalized Income,10054400000.0,12536813466.660437,19546692000.0,13811000000.0,
Net Income From Continuing And Discontinued Operation,7897000000.0,12921000000.0,30900000000.0,11304000000.0,
Total Expenses,32753000000.0,32129000000.0,32211000000.0,27984000000.0,
Rent Expense Supplemental,,,,,675000000.0
Total Operating Income As Reported,17537000000.0,22932000000.0,34106000000.0,25515000000.0,
Diluted Average Shares,,2536500000.0,2535500000.0,2534529148.0,2534500000.0
Basic Average Shares,,2532000000.0,2530500000.0,2528500000.0,2528500000.0
Diluted EPS,,5.094,12.186,4.46,3.14
Basic EPS,,5.104,12.212,4.47,3.146
Diluted NI Availto Com Stockholders,7897000000.0,12921000000.0,30900000000.0,11304000000.0,
Net Income Common Stockholders,7897000000.0,12921000000.0,30900000000.0,11304000000.0,
Net Income,7897000000.0,12921000000.0,30900000000.0,11304000000.0,
Minority Interests,-1704000000.0,-1403000000.0,-2155000000.0,-2147000000.0,
Net Income Including Noncontrolling Interests,9601000000.0,14324000000.0,33055000000.0,13451000000.0,
Net Income Discontinuous Operations,0.0,0.0,10655000000.0,-225000000.0,
Net Income Continuous Operations,9601000000.0,14324000000.0,22400000000.0,13676000000.0,
Tax Provision,6447000000.0,7077000000.0,10737000000.0,10616000000.0,
Pretax Income,16048000000.0,21401000000.0,33137000000.0,24292000000.0,
Other Income Expense,-5369000000.0,1347000000.0,1327000000.0,-3841000000.0,
Other Non Operating Income Expenses,369000000.0,394000000.0,313000000.0,334000000.0,
Special Income Charges,-2975000000.0,-67000000.0,329000000.0,-2858000000.0,
Gain On Sale Of Business,915000000.0,8000000.0,840000000.0,-2000000.0,
Other Special Charges,,,-4000000.0,349000000.0,-489000000.0
Write Off,,,,577000000.0,0.0
Impairment Of Capital Assets,3890000000.0,75000000.0,515000000.0,2507000000.0,
Earnings From Equity Interest,-2656000000.0,379000000.0,-19000000.0,-915000000.0,
Gain On Sale Of Security,-107000000.0,574000000.0,704000000.0,-402000000.0,
Net Non Operating Interest Income Expense,-1488000000.0,-1634000000.0,-1077000000.0,-804000000.0,
Total Other Finance Cost,15000000.0,14000000.0,16000000.0,13000000.0,
Interest Expense Non Operating,2182000000.0,2149000000.0,1142000000.0,858000000.0,
Interest Income Non Operating,709000000.0,529000000.0,81000000.0,67000000.0,
Operating Income,22905000000.0,21688000000.0,32887000000.0,28937000000.0,
Operating Expense,17640000000.0,32129000000.0,17297000000.0,15242000000.0,
Other Operating Expenses,10295000000.0,32129000000.0,10360000000.0,8985000000.0,
Selling General And Administration,7345000000.0,7243000000.0,6937000000.0,6257000000.0,
Selling And Marketing Expense,2270000000.0,2299000000.0,2319000000.0,1900000000.0,
General And Administrative Expense,5075000000.0,4944000000.0,4618000000.0,4357000000.0,
Rent And Landing Fees,,,,,675000000.0
Salaries And Wages,5075000000.0,4944000000.0,4618000000.0,4357000000.0,
Gross Profit,40545000000.0,37904000000.0,50184000000.0,44179000000.0,
Cost Of Revenue,15113000000.0,15913000000.0,14914000000.0,12742000000.0,
Total Revenue,55658000000.0,53817000000.0,65098000000.0,56921000000.0,
Operating Revenue,55658000000.0,53817000000.0,65098000000.0,56921000000.0,
