,2024-07-31,2023-07-31,2021-08-31,2020-08-31
Free Cash Flow,2783627.0,1719939.0,868056.0,1314042.0
Repurchase Of Capital Stock,-158886.0,-75425.0,,
Repayment Of Debt,-613.0,0.0,-27244.0,27244.0
Issuance Of Debt,,2314.0,0.0,
End Cash Position,18000.0,0.0,0.0,0.0
Beginning Cash Position,0.0,39000.0,0.0,27083.0
Changes In Cash,18000.0,-39000.0,0.0,-27083.0
Financing Cash Flow,-2765627.0,-1758939.0,-868056.0,-1341125.0
Net Other Financing Charges,-1996920.0,-996930.0,3070.0,-517802.0
Cash Dividends Paid,-609208.0,-688898.0,-843882.0,-850567.0
Common Stock Dividend Paid,-609208.0,-688898.0,-843882.0,-850567.0
Net Common Stock Issuance,-158886.0,-75425.0,,
Common Stock Payments,-158886.0,-75425.0,,
Net Issuance Payments Of Debt,-613.0,2314.0,-27244.0,27244.0
Net Long Term Debt Issuance,-613.0,2314.0,-27244.0,27244.0
Long Term Debt Payments,-613.0,0.0,-27244.0,27244.0
Long Term Debt Issuance,,2314.0,0.0,
Operating Cash Flow,2783627.0,1719939.0,868056.0,1314042.0
Change In Working Capital,-46634.0,-20988.0,51501.0,26625.0
Change In Other Current Liabilities,0.0,0.0,0.0,0.0
Change In Accrued Expense,-641.0,-9892.0,23395.0,-48727.0
Change In Payable,914.0,-26381.0,5823.0,-15984.0
Change In Prepaid Assets,-37373.0,24328.0,-7006.0,-615.0
Change In Receivables,-9534.0,-9043.0,29289.0,91951.0
Other Non Cash Items,-35684.0,38459.0,259654.0,234312.0
Gain Loss On Investment Securities,2175464.0,2514097.0,-887105.0,595471.0
Net Income From Continuing Operations,690481.0,-811629.0,1444006.0,457634.0
