,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,86275000.0,-378420000.0,29600000.0,-118800000.0
Tax Rate For Calcs,0.145,0.255,0.296,0.18
Normalized EBITDA,49308000000.0,34593000000.0,36658000000.0,49567000000.0
Total Unusual Items,595000000.0,-1484000000.0,100000000.0,-660000000.0
Total Unusual Items Excluding Goodwill,595000000.0,-1484000000.0,100000000.0,-660000000.0
Net Income From Continuing Operation Net Minority Interest,20315000000.0,7559000000.0,10226000000.0,22472000000.0
Reconciled Depreciation,21457000000.0,20084000000.0,22559000000.0,22714000000.0
Reconciled Cost Of Revenue,65031000000.0,63935000000.0,64314000000.0,55158000000.0
EBITDA,49903000000.0,33109000000.0,36758000000.0,48907000000.0
EBIT,28446000000.0,13025000000.0,14199000000.0,26193000000.0
Net Interest Income,4761000000.0,3332000000.0,2130000000.0,2255000000.0
Interest Expense,3248000000.0,2913000000.0,3421000000.0,3103000000.0
Interest Income,8009000000.0,6245000000.0,5551000000.0,5358000000.0
Normalized Income,19806275000.0,8664580000.0,10155600000.0,23013200000.0
Net Income From Continuing And Discontinued Operation,20315000000.0,7559000000.0,10226000000.0,22472000000.0
Total Expenses,112742000000.0,107764000000.0,113975000000.0,92734000000.0
Total Operating Income As Reported,21856000000.0,15911000000.0,10518000000.0,14340000000.0
Diluted Average Shares,354625000.0,351125000.0,351750000.0,345829486.0
Basic Average Shares,350875000.0,347750000.0,344750000.0,334891130.0
Diluted EPS,55.12,19.84,28.08,64.98
Basic EPS,55.84,20.0,28.64,67.102404
Diluted NI Availto Com Stockholders,19554000000.0,6968000000.0,9876000000.0,22472000000.0
Average Dilution Earnings,-44000000.0,0.0,0.0,
Net Income Common Stockholders,19598000000.0,6968000000.0,9876000000.0,22472000000.0
Otherunder Preferred Stock Dividend,717000000.0,591000000.0,350000000.0,
Net Income,20315000000.0,7559000000.0,10226000000.0,22472000000.0
Minority Interests,-1234000000.0,25000000.0,2635000000.0,3446000000.0
Net Income Including Noncontrolling Interests,21549000000.0,7534000000.0,7591000000.0,19026000000.0
Net Income Continuous Operations,21549000000.0,7534000000.0,7591000000.0,19026000000.0
Tax Provision,3649000000.0,2578000000.0,3187000000.0,4064000000.0
Pretax Income,25198000000.0,10112000000.0,10778000000.0,23090000000.0
Other Income Expense,-1419000000.0,-9131000000.0,-1870000000.0,6495000000.0
Other Non Operating Income Expenses,1785000000.0,-5737000000.0,-1038000000.0,9403000000.0
Earnings From Equity Interest,-3799000000.0,-1910000000.0,-932000000.0,-2248000000.0
Gain On Sale Of Security,595000000.0,-1484000000.0,100000000.0,-660000000.0
Net Non Operating Interest Income Expense,4761000000.0,3332000000.0,2130000000.0,2255000000.0
Interest Expense Non Operating,3248000000.0,2913000000.0,3421000000.0,3103000000.0
Interest Income Non Operating,8009000000.0,6245000000.0,5551000000.0,5358000000.0
Operating Income,21856000000.0,15911000000.0,10518000000.0,14340000000.0
Operating Expense,47711000000.0,43829000000.0,49661000000.0,37576000000.0
Research And Development,24192000000.0,23315000000.0,24938000000.0,19513000000.0
Selling General And Administration,23519000000.0,20514000000.0,24723000000.0,18063000000.0
Gross Profit,69567000000.0,59740000000.0,60179000000.0,51916000000.0
Cost Of Revenue,65031000000.0,63935000000.0,64314000000.0,55158000000.0
Total Revenue,134598000000.0,123675000000.0,124493000000.0,107074000000.0
Operating Revenue,81203000000.0,74711000000.0,80695000000.0,72840000000.0
