,2023-12-31,2022-12-31,2021-12-31
Treasury Shares Number,0.0,,
Ordinary Shares Number,224418826.0,229666091.0,238185709.0
Share Issued,224418826.0,229666091.0,238185709.0
Net Debt,,,138677.0
Total Debt,,,139778.0
Tangible Book Value,2026469838.0,2026487914.0,3981652509.0
Invested Capital,,,3981792287.0
Net Tangible Assets,2026469838.0,2026487914.0,3981652509.0
Common Stock Equity,2026469838.0,2026487914.0,3981652509.0
Total Capitalization,,,3981792287.0
Total Equity Gross Minority Interest,2026469838.0,2026487914.0,3981652509.0
Stockholders Equity,2026469838.0,2026487914.0,3981652509.0
Retained Earnings,-1995737942.0,-2224584115.0,-605364783.0
Capital Stock,4022207780.0,4251072029.0,4587017292.0
Common Stock,4022207780.0,4251072029.0,4587017292.0
Total Liabilities Net Minority Interest,40694125.0,30178067.0,37539584.0
Derivative Product Liabilities,16978313.0,6641472.0,11001039.0
Long Term Debt And Capital Lease Obligation,,,139778.0
Payables,2985899.0,23017295.0,21145383.0
Other Payable,2985899.0,5299148.0,16830992.0
Accounts Payable,,17718147.0,4314391.0
Total Assets,2067163963.0,2056665981.0,4019192093.0
Investments And Advances,2066814100.0,2052480727.0,4012678645.0
Investmentin Financial Assets,2066814100.0,2052480727.0,4012678645.0
Available For Sale Securities,20831232.0,20963228.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,2045982868.0,2031517499.0,4012678645.0
Prepaid Assets,16620.0,,89817.0
Receivables,332876.0,4184919.0,6392530.0
Cash And Cash Equivalents,367.0,335.0,1101.0
Cash Financial,367.0,335.0,1101.0
Cash Cash Equivalents And Federal Funds Sold,367.0,335.0,31101.0
