,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,1235800000.0,1141100000.0,3345000000.0,3678000000.0
Repurchase Of Capital Stock,0.0,-750000000.0,-1800000000.0,-6679100000.0
Repayment Of Debt,-809900000.0,-1002200000.0,-170000000.0,-1500000000.0
Issuance Of Debt,997200000.0,0.0,0.0,2967400000.0
Capital Expenditure,-311400000.0,-243200000.0,-294900000.0,-551800000.0
Interest Paid Supplemental Data,,262500000.0,280800000.0,272700000.0
Income Tax Paid Supplemental Data,,932900000.0,247900000.0,906700000.0
End Cash Position,1049900000.0,3419300000.0,2261400000.0,1331200000.0
Beginning Cash Position,3419300000.0,2261400000.0,1331200000.0,2913700000.0
Effect Of Exchange Rate Changes,35100000.0,-55700000.0,-59800000.0,69000000.0
Changes In Cash,-2404500000.0,1213600000.0,990000000.0,-1651500000.0
Financing Cash Flow,149300000.0,-1747300000.0,-2086200000.0,-5272700000.0
Cash Flow From Continuing Financing Activities,149300000.0,-1747300000.0,-2086200000.0,-5272700000.0
Net Other Financing Charges,6300000.0,6800000.0,-115500000.0,-56400000.0
Proceeds From Stock Option Exercised,-44300000.0,-1900000.0,-700000.0,-4600000.0
Net Common Stock Issuance,0.0,-750000000.0,-1800000000.0,-6679100000.0
Common Stock Payments,0.0,-750000000.0,-1800000000.0,-6679100000.0
Net Issuance Payments Of Debt,187300000.0,-1002200000.0,-170000000.0,1467400000.0
Net Long Term Debt Issuance,187300000.0,-1002200000.0,-170000000.0,1467400000.0
Long Term Debt Payments,-809900000.0,-1002200000.0,-170000000.0,-1500000000.0
Long Term Debt Issuance,997200000.0,0.0,0.0,2967400000.0
Investing Cash Flow,-4101000000.0,1576600000.0,-563700000.0,-608600000.0
Cash Flow From Continuing Investing Activities,-4101000000.0,1576600000.0,-563700000.0,-608600000.0
Net Other Investing Changes,-11300000.0,24400000.0,12900000.0,-26900000.0
Net Investment Purchase And Sale,2359700000.0,222500000.0,-309800000.0,976600000.0
Sale Of Investment,7500400000.0,3671000000.0,3498900000.0,7374300000.0
Purchase Of Investment,-5140700000.0,-3448500000.0,-3808700000.0,-6397700000.0
Net Business Purchase And Sale,-6138000000.0,990300000.0,28100000.0,-1006500000.0
Sale Of Business,788100000.0,990300000.0,28100000.0,0.0
Purchase Of Business,-6926100000.0,0.0,0.0,-1006500000.0
Net Intangibles Purchase And Sale,-34400000.0,-2900000.0,-36800000.0,-127000000.0
Purchase Of Intangibles,-34400000.0,-2900000.0,-36800000.0,-127000000.0
Net PPE Purchase And Sale,-277000000.0,342300000.0,-258100000.0,-424800000.0
Sale Of PPE,0.0,582600000.0,0.0,0.0
Purchase Of PPE,-277000000.0,-240300000.0,-258100000.0,-424800000.0
Operating Cash Flow,1547200000.0,1384300000.0,3639900000.0,4229800000.0
Cash Flow From Continuing Operating Activities,1547200000.0,1384300000.0,3639900000.0,4229800000.0
Change In Working Capital,-648700000.0,-890300000.0,-145500000.0,-187200000.0
Change In Other Working Capital,-372900000.0,-234300000.0,86300000.0,-204600000.0
Change In Payables And Accrued Expense,-201600000.0,-113400000.0,-95400000.0,154200000.0
Change In Accrued Expense,-201600000.0,-113400000.0,-95400000.0,154200000.0
Change In Inventory,-130900000.0,-320200000.0,-462400000.0,-316300000.0
Change In Receivables,56700000.0,-222400000.0,326000000.0,179500000.0
Changes In Account Receivables,61300000.0,-203400000.0,324800000.0,2800000.0
Other Non Cash Items,304100000.0,335300000.0,337100000.0,119900000.0
Stock Based Compensation,264200000.0,254100000.0,238600000.0,198300000.0
Unrealized Gain Loss On Investment Securities,,,,-681800000.0
Provisionand Write Offof Assets,,,167600000.0,26600000.0
Asset Impairment Charge,0.0,119600000.0,629300000.0,209700000.0
Deferred Tax,-305800000.0,-168600000.0,-426800000.0,149000000.0
Deferred Income Tax,-305800000.0,-168600000.0,-426800000.0,149000000.0
Depreciation Amortization Depletion,494800000.0,518400000.0,487700000.0,457200000.0
Depreciation And Amortization,494800000.0,518400000.0,487700000.0,457200000.0
Amortization Cash Flow,240600000.0,246300000.0,252000000.0,255100000.0
Amortization Of Intangibles,240600000.0,246300000.0,252000000.0,255100000.0
Depreciation,254200000.0,272400000.0,235300000.0,201900000.0
Operating Gains Losses,277100000.0,-1745800000.0,791900000.0,-777600000.0
Earnings Losses From Equity Investments,0.0,-2600000.0,-34900000.0,-3300000.0
Gain Loss On Investment Securities,277100000.0,265900000.0,826800000.0,-681800000.0
Gain Loss On Sale Of PPE,0.0,-503700000.0,0.0,0.0
Gain Loss On Sale Of Business,0.0,-1505400000.0,0.0,-92500000.0
Net Income From Continuing Operations,1161500000.0,2961600000.0,1727600000.0,4060500000.0
