,2023-12-31,2022-12-31
Ordinary Shares Number,34167184.0,34167184.0
Share Issued,34167184.0,34167184.0
Net Debt,31414000.0,
Total Debt,53252000.0,2468000.0
Tangible Book Value,-173396000.0,-112559000.0
Invested Capital,-120338000.0,-110140000.0
Working Capital,-32862000.0,22169000.0
Net Tangible Assets,-173396000.0,-112559000.0
Capital Lease Obligations,194000.0,49000.0
Common Stock Equity,-173396000.0,-112559000.0
Total Capitalization,-165195000.0,-110307000.0
Total Equity Gross Minority Interest,-173396000.0,-112559000.0
Stockholders Equity,-173396000.0,-112559000.0
Gains Losses Not Affecting Retained Earnings,164000.0,167000.0
Other Equity Adjustments,164000.0,167000.0
Retained Earnings,-181702000.0,-117848000.0
Additional Paid In Capital,8142000.0,5122000.0
Capital Stock,0.0,0.0
Common Stock,0.0,0.0
Total Liabilities Net Minority Interest,199320000.0,140988000.0
Total Non Current Liabilities Net Minority Interest,141152000.0,135127000.0
Preferred Securities Outside Stock Equity,132722000.0,132722000.0
Derivative Product Liabilities,229000.0,153000.0
Long Term Debt And Capital Lease Obligation,8201000.0,2252000.0
Long Term Debt,8201000.0,2252000.0
Current Liabilities,58168000.0,5861000.0
Other Current Liabilities,1389000.0,24000.0
Current Deferred Liabilities,3313000.0,0.0
Current Deferred Revenue,3313000.0,0.0
Current Debt And Capital Lease Obligation,45051000.0,216000.0
Current Capital Lease Obligation,194000.0,49000.0
Current Debt,44857000.0,167000.0
Other Current Borrowings,44857000.0,167000.0
Payables And Accrued Expenses,8415000.0,5621000.0
Current Accrued Expenses,6549000.0,3360000.0
Payables,1866000.0,2261000.0
Accounts Payable,1866000.0,2261000.0
Total Assets,25924000.0,28429000.0
Total Non Current Assets,618000.0,399000.0
Other Non Current Assets,,25000.0
Investments And Advances,100000.0,0.0
Net PPE,518000.0,374000.0
Accumulated Depreciation,-419000.0,-253000.0
Gross PPE,937000.0,627000.0
Other Properties,561000.0,322000.0
Machinery Furniture Equipment,376000.0,305000.0
Current Assets,25306000.0,28030000.0
Other Current Assets,349000.0,386000.0
Restricted Cash,3313000.0,0.0
Cash Cash Equivalents And Short Term Investments,21644000.0,27644000.0
Cash And Cash Equivalents,21644000.0,27644000.0
