,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,131872066.0,110567671.0,110156269.0,67440673.0
Share Issued,131872066.0,110567671.0,110156269.0,67440673.0
Net Debt,11515000000.0,4158000000.0,3218000000.0,4428000000.0
Total Debt,12054000000.0,4603000000.0,3687000000.0,4620000000.0
Tangible Book Value,-5824000000.0,-4484000000.0,-5303000000.0,-5198000000.0
Invested Capital,11655000000.0,3484000000.0,1560000000.0,2898000000.0
Working Capital,-3555000000.0,-3066000000.0,-4187000000.0,-2174000000.0
Net Tangible Assets,-5824000000.0,-4484000000.0,-5303000000.0,-5198000000.0
Common Stock Equity,-399000000.0,-1119000000.0,-2127000000.0,-1722000000.0
Total Capitalization,10608000000.0,3130000000.0,1429000000.0,2887000000.0
Total Equity Gross Minority Interest,4068000000.0,-361000000.0,-1424000000.0,-572000000.0
Minority Interest,4467000000.0,758000000.0,703000000.0,1150000000.0
Stockholders Equity,-399000000.0,-1119000000.0,-2127000000.0,-1722000000.0
Other Equity Interest,-2379000000.0,-2379000000.0,,
Gains Losses Not Affecting Retained Earnings,473000000.0,306000000.0,,
Other Equity Adjustments,473000000.0,306000000.0,,
Retained Earnings,1115000000.0,901000000.0,,
Capital Stock,392000000.0,53000000.0,,
Common Stock,392000000.0,53000000.0,,
Total Liabilities Net Minority Interest,19841000000.0,10539000000.0,11510000000.0,9916000000.0
Total Non Current Liabilities Net Minority Interest,13482000000.0,5906000000.0,5313000000.0,7156000000.0
Other Non Current Liabilities,61000000.0,42000000.0,30000000.0,96000000.0
Derivative Product Liabilities,15000000.0,0.0,0.0,46000000.0
Non Current Deferred Liabilities,2399000000.0,1615000000.0,1727000000.0,2481000000.0
Non Current Deferred Revenue,264000000.0,77000000.0,89000000.0,76000000.0
Non Current Deferred Taxes Liabilities,2135000000.0,1538000000.0,1638000000.0,1443000000.0
Long Term Debt And Capital Lease Obligation,11007000000.0,4249000000.0,3556000000.0,4609000000.0
Long Term Debt,11007000000.0,4249000000.0,3556000000.0,4609000000.0
Long Term Provisions,,,30000000.0,20000000.0
Current Liabilities,6359000000.0,4633000000.0,6197000000.0,2760000000.0
Other Current Liabilities,4213000000.0,3498000000.0,4466000000.0,2244000000.0
Current Deferred Liabilities,255000000.0,175000000.0,1148000000.0,156000000.0
Current Deferred Revenue,255000000.0,175000000.0,153000000.0,156000000.0
Current Debt And Capital Lease Obligation,1047000000.0,354000000.0,131000000.0,11000000.0
Current Debt,1047000000.0,354000000.0,131000000.0,11000000.0
Other Current Borrowings,1047000000.0,354000000.0,131000000.0,11000000.0
Payables And Accrued Expenses,844000000.0,606000000.0,452000000.0,349000000.0
Current Accrued Expenses,759000000.0,562000000.0,413000000.0,265000000.0
Payables,85000000.0,44000000.0,39000000.0,84000000.0
Accounts Payable,85000000.0,44000000.0,39000000.0,84000000.0
Total Assets,23909000000.0,10178000000.0,10086000000.0,9344000000.0
Total Non Current Assets,21105000000.0,8611000000.0,8076000000.0,8758000000.0
Other Non Current Assets,185000000.0,17000000.0,15000000.0,101000000.0
Non Current Deferred Assets,40000000.0,43000000.0,52000000.0,43000000.0
Non Current Deferred Taxes Assets,40000000.0,43000000.0,52000000.0,43000000.0
Non Current Accounts Receivable,1239000000.0,,,
Financial Assets,65000000.0,40000000.0,,
Investments And Advances,0.0,428000000.0,30000000.0,27000000.0
Investmentin Financial Assets,,40000000.0,30000000.0,27000000.0
Long Term Equity Investment,0.0,428000000.0,0.0,
Investmentsin Associatesat Cost,0.0,428000000.0,0.0,
Goodwill And Other Intangible Assets,5425000000.0,3365000000.0,3176000000.0,3476000000.0
Other Intangible Assets,3699000000.0,2847000000.0,2687000000.0,2948000000.0
Goodwill,1726000000.0,518000000.0,489000000.0,528000000.0
Net PPE,14151000000.0,4718000000.0,4803000000.0,5111000000.0
Accumulated Depreciation,-990000000.0,-707000000.0,-673000000.0,-719000000.0
Gross PPE,15141000000.0,5425000000.0,5476000000.0,5830000000.0
Other Properties,15141000000.0,5425000000.0,5476000000.0,5830000000.0
Current Assets,2804000000.0,1567000000.0,2010000000.0,586000000.0
Hedging Assets Current,38000000.0,57000000.0,,
Prepaid Assets,51000000.0,58000000.0,46000000.0,49000000.0
Receivables,2176000000.0,1007000000.0,1495000000.0,345000000.0
Other Receivables,91000000.0,,,
Duefrom Related Parties Current,1288000000.0,566000000.0,1093000000.0,0.0
Accounts Receivable,797000000.0,441000000.0,402000000.0,345000000.0
Cash Cash Equivalents And Short Term Investments,539000000.0,445000000.0,469000000.0,192000000.0
Other Short Term Investments,,57000000.0,0.0,
Cash And Cash Equivalents,539000000.0,445000000.0,469000000.0,192000000.0
Cash Equivalents,428000000.0,441000000.0,426000000.0,184000000.0
Cash Financial,111000000.0,4000000.0,43000000.0,8000000.0
