,2024-09-30,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Tax Effect Of Unusual Items,-6431682.540115,-3731070.0,5099131.759831,4312992.902151,
Tax Rate For Calcs,0.347809,0.21,0.253121,0.226892,
Normalized EBITDA,522157000.0,378117000.0,394276000.0,211238000.0,
Total Unusual Items,-18492000.0,-17767000.0,20145000.0,19009000.0,
Total Unusual Items Excluding Goodwill,-18492000.0,-17767000.0,20145000.0,19009000.0,
Net Income From Continuing Operation Net Minority Interest,191602000.0,75022000.0,187111000.0,116437000.0,
Reconciled Depreciation,101291000.0,83413000.0,81261000.0,,46052000.0
Reconciled Cost Of Revenue,722488000.0,551275000.0,479004000.0,416477000.0,
EBITDA,503665000.0,360350000.0,414421000.0,230247000.0,
EBIT,402374000.0,276937000.0,333160000.0,230247000.0,
Net Interest Income,-128449000.0,-125325000.0,-87132000.0,-79638000.0,
Interest Expense,108592000.0,123285000.0,82636000.0,79638000.0,
Interest Income,8036000.0,2397000.0,90000.0,,
Normalized Income,203662317.459885,89057930.0,172065131.759831,101740992.902151,
Net Income From Continuing And Discontinued Operation,191602000.0,75022000.0,187111000.0,116437000.0,
Total Expenses,1363967000.0,1195168000.0,925322000.0,750888000.0,
Total Operating Income As Reported,421082000.0,260688000.0,363027000.0,230247000.0,
Diluted Average Shares,187599357.0,187825592.0,187825592.0,187825592.0,
Basic Average Shares,187599357.0,187825592.0,187825592.0,187825592.0,
Diluted EPS,1.02,0.399424,0.996195,0.619921,
Basic EPS,1.02,0.399424,0.996195,0.619921,
Diluted NI Availto Com Stockholders,191602000.0,75022000.0,187111000.0,116437000.0,
Net Income Common Stockholders,191602000.0,75022000.0,187111000.0,116437000.0,
Net Income,191602000.0,75022000.0,187111000.0,116437000.0,
Net Income Including Noncontrolling Interests,191602000.0,75022000.0,187111000.0,116437000.0,
Net Income Continuous Operations,191602000.0,75022000.0,187111000.0,116437000.0,
Tax Provision,102180000.0,78630000.0,63413000.0,34172000.0,
Pretax Income,293782000.0,153652000.0,250524000.0,150609000.0,
Other Income Expense,-18492000.0,-17767000.0,20145000.0,19009000.0,
Other Non Operating Income Expenses,,,1669000.0,-381000.0,266000.0
Gain On Sale Of Security,-18492000.0,-17767000.0,20145000.0,19009000.0,
Net Non Operating Interest Income Expense,-128449000.0,-125325000.0,-87132000.0,-79638000.0,
Total Other Finance Cost,27893000.0,4437000.0,4586000.0,,-256000.0
Interest Expense Non Operating,108592000.0,123285000.0,82636000.0,79638000.0,
Interest Income Non Operating,8036000.0,2397000.0,90000.0,,
Operating Income,440723000.0,296743000.0,317511000.0,211237000.0,
Operating Expense,619954000.0,629050000.0,432291000.0,334411000.0,
Other Operating Expenses,-612000.0,1810000.0,-1669000.0,381000.0,
Depreciation Amortization Depletion Income Statement,79766000.0,68570000.0,67234000.0,,29679000.0
Depreciation And Amortization In Income Statement,79766000.0,68570000.0,67234000.0,,29679000.0
Selling General And Administration,540800000.0,558670000.0,366726000.0,334030000.0,
Selling And Marketing Expense,314653000.0,241263000.0,181067000.0,251930000.0,
General And Administrative Expense,226147000.0,317407000.0,185659000.0,82100000.0,
Other Gand A,68521000.0,112574000.0,70364000.0,82100000.0,
Insurance And Claims,6548000.0,2965000.0,2703000.0,,1051000.0
Salaries And Wages,151078000.0,201868000.0,112592000.0,,83256000.0
Gross Profit,1060677000.0,925793000.0,749802000.0,545648000.0,
Cost Of Revenue,744013000.0,566118000.0,493031000.0,416477000.0,
Total Revenue,1804690000.0,1491911000.0,1242833000.0,962125000.0,
Operating Revenue,1800408000.0,1486621000.0,1239551000.0,962125000.0,
